"well","treatment","DIV17","DIV19","DIV21","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","30.6590802467303","19.1806531347793","28.5010586335925","27.5185309756473","27.5377314828106","26.6267050548538","34.4185231927771","30.7348177240671","33.5579891909456","31.6788147963306","29.6385501628893"
"A2","HOM","32.5485298225935","30.1255916486844","29.2262806978818","34.5783855007905","40.5484584748742","40.5789499443145","49.294179132941","49.8574015546969","48.0672686274515","52.2761176717412","49.1201591177099"
"A3","WT","20.1642744390952","18.59875369548","17.4596437669681","21.4889925184023","27.8295049503417","25.9342967208161","26.8067695058926","29.3681805864908","31.6354925571511","32.2857736534711","34.9310000677659"
"A4","HOM","47.8753399698397","38.7883834942506","40.3112530118007","48.4305756903286","52.9375149632143","50.8095095189187","54.3760494602295","50.5791248075614","45.8656228154525","59.5343545195079","46.317528832555"
"A5","WT_G","26.4957508880639","17.9040213783166","18.4997854670713","31.1288523533303","20.6394374921682","28.454593436178","28.5102969983392","32.6939071681844","29.1579205677468","31.1131358439667","24.0497791247353"
"A6","HOM_G","44.5705738497196","42.2384428887998","39.1927530434799","74.2427730678988","67.8395117929104","76.5670804469423","64.8891469664195","57.9609002181691","58.4238609521494","59.9520610596833","58.691300040357"
"A7","WT_B","41.318046386897","28.7404239598486","27.1494569324783","19.1578086692082","23.9648725384164","26.4636899196896","27.2965374059763","16.1888607210345","25.1831210655601","37.3157546198175","12.6920053664723"
"A8","HOM_B","36.0370029303897","34.7031948820151","43.185246445745","33.7761200998384","42.6015159297483","32.0282731966899","31.5090262260477","22.7095538010644","18.7058489365298","20.2464640119697","19.1440762450791"
"B1","WT","18.4773007546256","18.5336713217519","20.7601598454253","18.4090485518532","19.9346757175928","17.4647935415376","16.7822189144472","15.1590670086168","16.3006523884025","24.6453029444827","17.4740110952323"
"B2","HOM","40.1214881508362","37.9876280432579","31.6840853362952","30.4104869715494","47.5778173902982","36.9001139601758","43.7614950000791","38.4962562648452","34.3890051094427","42.7062263892136","32.3458227688489"
"B3","WT","16.9614555504757","20.0551779089875","20.3205696348438","23.2668411274237","25.727044596693","23.6855131118527","21.5717032355388","23.1497433763827","22.0157889385981","24.2529370236268","23.9845885265551"
"B4","HOM","41.8442275974686","38.3696306670791","34.4713343865927","33.3161137358569","46.3845586256398","44.9447014692917","45.5747912936248","37.7243769399105","32.1147885645425","44.3408597816309","32.968206622621"
"B5","WT_G","31.0543482880856","25.0760318128114","30.9792000383555","38.2631314519461","0","32.1570611839331","29.011895850939","26.9547237028532","19.4277593918598","22.2856116307204","34.9763784952146"
"B6","HOM_G","41.1558344566985","31.1184489733946","22.9711661118914","37.3603538159111","31.3101818391491","25.7007166408787","29.070371738545","31.5576674055476","32.8292037337549","29.2958914900194","19.4072168278517"
"B7","WT_B","33.1565994442833","31.4891581513632","31.1092000662404","14.4347207151093","25.1695159937781","27.8365761060829","19.0449572231851","13.3059416976191","18.3300227584244","16.2036497701073","10.9199549081823"
"B8","HOM_B","47.1372391091972","44.9152052234839","54.5945436717967","36.7403546334097","41.6480478018877","32.5467940004743","29.5413750808098","25.6969679420925","15.4723329653731","23.4872857424654","21.9499356937643"
"C1","WT","40.4930105985386","44.9699796643905","40.4907708902832","35.2767582726083","39.0263673118526","38.8148448944186","36.7433324093825","33.1725960054919","29.0530252984071","27.2798816447097","23.4774729032965"
"C2","HOM","30.470900795893","29.4702349922253","28.1728477228953","23.4901455665096","29.5806861698177","22.8355536999196","33.8657103249074","26.5211836097355","19.0060588218444","27.8878234583606","16.2651813755314"
