"well","treatment","DIV17","DIV19","DIV21","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","1.16348314606742","4.30887784090909","4.91109550561798","5.64346590909091","7.26292134831461","7.3742527173913","4.02408707865169","4.15175561797753","3.91622191011236","3.65724431818182","5.50716292134831"
"A2","HOM","3.22224719101124","5.78121212121212","4.11378277153558","4.67666666666667","8.66419475655431","6.54123188405797","5.4650936329588","6.14816479400749","7.09790262172285","4.60795454545455","7.13662921348315"
"A3","WT","1.01812734082397","4.32336647727273","4.18279494382022","4.62705965909091","4.08621722846442","4.62506793478261","5.12844101123595","7.23272471910112","8.13995786516854","5.20532670454545","9.96704119850187"
"A4","HOM","4.25449438202247","5.37826704545455","6.89894662921348","16.5414772727273","9.23328651685393","7.90720108695652","6.85231741573034","16.2156601123596","6.30821629213483","5.36803977272727","15.1892556179775"
"A5","WT_G","1.90024077046549","4.04058441558442","3.33483146067416","3.25146103896104","0.464606741573034","2.03608695652174","2.33563402889246","2.34181380417335","2.50882825040128","2.43563311688312","3.85601926163724"
"A6","HOM_G","3.66906367041199","10.8834848484848","7.67271268057785","7.49833333333333","6.67889245585875","5.70572463768116","5.35595505617978","3.67584269662921","8.57767790262172","4.75954545454545","6.4059925093633"
"A7","WT_B","3.18237359550562","8.39857954545455","2.84136235955056","10.2448863636364","11.3654494382022","7.9421875","6.6125","7.14150280898876","5.90828651685393","4.525","4.9500702247191"
"A8","HOM_B","2.37808988764045","6.20078125","2.97865168539326","17.4110085227273","17.5949438202247","19.4713994565217","13.9452247191011","13.6176264044944","10.0398174157303","9.51150568181818","8.56130617977528"
"B1","WT","2.11348314606742","4.43417207792208","2.8650936329588","2.99212121212121","3.34209161624892","3.16992753623188","2.52801498127341","7.08307116104869","4.8970304975923","2.47560606060606","5.72239700374532"
"B2","HOM","4.18462078651685","5.80028409090909","7.10519662921348","3.72663352272727","2.03981741573034","4.70298913043478","3.89037921348315","3.88167134831461","4.72717696629214","3.85490056818182","8.29719101123596"
"B3","WT","1.76701444622793","3.38566433566434","3.27784911717496","3.99291958041958","3.15955056179775","4.28377926421405","2.29014693171997","3.95203111495246","4.39939498703544","3.35236742424242","5.69628349178911"
"B4","HOM","3.96973314606742","5.32443181818182","6.53490168539326","5.87798295454545","5.21987359550562","6.87622282608696","6.34719101123595","6.83026685393258","7.70863764044944","5.8609375","6.5123595505618"
"B5","WT_G","3.23123595505618","7.01416666666667","5.19333333333333","4.17439393939394","0","0.577562111801242","2.15333333333333","1.9765543071161","7.3136329588015","2.13401515151515","5.76044943820225"
"B6","HOM_G","2.80688202247191","5.41598011363636","3.26530898876404","0.579119318181818","0.357022471910112","2.47629076086957","0.194681647940075","0.388164794007491","1.76348314606742","0.82734375","0.0847882454624028"
"B7","WT_B","3.54074906367041","7.26166666666667","1.71324237560193","4.85893939393939","10.139165329053","10.7616459627329","6.11733547351525","6.13258426966292","4.30168539325843","3.76071428571429","3.56413137424373"
"B8","HOM_B","3.89950842696629","7.14296875","3.55715355805243","19.0966619318182","18.8695224719101","18.1598505434783","15.9650187265918","14.2551264044944","8.73707865168539","8.76086647727273","10.1477528089888"
"C1","WT","2.93379429559205","4.82770979020979","6.81668107173725","7.63837412587413","6.19567847882455","8.09523411371237","5.74019014693172","6.39205457463884","13.1587479935795","5.79282670454545","10.9227528089888"
"C2","HOM","3.61334269662921","4.58636363636364","5.19606741573034","3.70893939393939","3.74179775280899","4.5854347826087","2.96292134831461","3.12007490636704","2.86756554307116","2.03886363636364","5.62666666666667"
"C3","WT","4.68224719101124","11.5575757575758","11.3814232209738","7.04522727272727","8.91071161048689","10.2236231884058","9.02284644194757","10.650936329588","10.0674906367041","7.42878787878788","8.72846441947565"
"C4","HOM","3.27071629213483","5.61903409090909","5.61481741573034","3.16661931818182","4.8126404494382","4.11671195652174","3.05575842696629","5.17120786516854","6.04894662921348","4.62059659090909","6.00435393258427"
"C5","WT_G","0.887851123595506","3.37088068181818","2.85456460674157","2.30291193181818","0.36247191011236","0.956521739130435","0.592766853932584","2.10161516853933","4.44466292134831","0.140757575757576","3.34044943820225"
"C6","HOM_G","4.30179775280899","9.11720779220779","5.5760834670947","2.30446428571429","1.19719101123595","1.0151397515528","1.96460674157303","1.13370786516854","0.961878009630819","0.481331168831169","5.34122191011236"
"C7","WT_B","3.85468164794008","9.46772727272727","3.12719101123596","7.08280303030303","7.5740074906367","8.92130434782609","6.83378812199037","6.93333333333333","4.40642054574639","2.85560064935065","4.51765650080257"
"C8","HOM_B","3.04621722846442","3.98643939393939","1.56243980738363","13.0584848484848","12.387191011236","10.2682608695652","8.53707865168539","11.4208988764045","7.367265917603","7.15931818181818","7.50029962546816"
"D1","WT","2.22351524879615","5.38907342657343","5.26966292134831","3.64195804195804","4.10406222990493","8.76722408026756","6.94891961970614","10.3830596369922","7.94399308556612","5.90804195804196","7.47554019014693"
"D2","HOM","2.84248595505618","5.02933238636364","5.91952247191011","8.66704545454546","7.37865168539326","5.04361413043478","6.28876404494382","6.14199438202247","4.59066011235955","4.71654829545455","5.1936095505618"
"D3","WT","4.80168539325843","8.11903409090909","7.42794943820225","3.00880681818182","8.81938202247191","8.10176630434783","3.65189606741573","8.22703651685393","7.01060393258427","5.78259943181818","7.69936797752809"
"D4","HOM","6.45842696629213","7.12926136363636","6.25035112359551","4.16690340909091","5.87668539325843","4.87710597826087","4.46973314606742","6.70449438202247","6.69304775280899","3.79978693181818","7.08174157303371"
"D5","WT_G","2.48441947565543","5.21954545454545","3.99550561797753","0.31520979020979","0.894900605012965","2.7368115942029","0.76352636127917","4.47752808988764","6.39959871589085","3.67377622377622","3.50666131621188"
"D6","HOM_G","2.93890449438202","4.26519886363636","3.13082865168539","2.70802556818182","0.642471910112359","0.697554347826087","1.75063202247191","4.39550561797753","4.91643258426966","0.459090909090909","5.55786516853933"
"D7","WT_B","3.48046672428695","8.76041666666667","2.06320224719101","5.22566287878788","9.65747623163353","10.9692934782609","6.27069288389513","6.48932584269663","6.19194756554307","4.60247933884297","5.46138917262513"
"D8","HOM_B","2.81548956661316","4.28590909090909","1.60489566613162","12.3088636363636","11.3050187265918","9.775","8.37468164794007","10.8964794007491","8.77825040128411","9.30876623376623","7.12776886035313"
"E1","WT","1.36248919619706","3.09586038961039","2.79261637239165","2.09391233766234","2.17958801498127","1.99710144927536","2.31192739844425","2.65367329299914","5.07787381158168","1.89694055944056","1.85056179775281"
"E2","HOM","5.21193820224719","8.15553977272727","9.11602996254681","7.48416666666667","5.08434456928839","6.2404347826087","4.42104868913858","5.37161048689139","4.67453183520599","3.07713068181818","6.84950842696629"
"E3","WT","2.53223314606742","4.54055397727273","3.71081460674157","3.83742897727273","3.81685393258427","3.45224184782609","5.24873595505618","4.82155898876405","7.69634831460674","3.01590909090909","5.72682584269663"
"E4","HOM","4.4714606741573","8.88833333333333","6.51176029962547","6.16954545454545","4.80808988764045","7.17804347826087","5.69550561797753","6.76696629213483","7.8501872659176","5.66795454545455","9.25857677902622"
"E5","WT_G","4.39213483146067","7.54481534090909","6.3","3.26924715909091","0.0922846441947565","0.742527173913043","0.664747191011236","2.91418539325843","3.18904494382022","5.79744318181818","3.29171348314607"
"E6","HOM_G","4.34691011235955","7.62911931818182","6.19831460674157","4.78955965909091","1.80294943820225","0.868546195652174","0.773033707865169","1.2627808988764","2.07570224719101","3.12755681818182","3.99459269662921"
"E7","WT_B","4.14681647940075","5.78787878787879","1.70666131621188","5.16674242424242","5.13475655430712","5.49275362318841","2.31420545746388","3.85609951845907","2.28218298555377","2.63993506493507","2.42158908507223"
"E8","HOM_B","2.2497191011236","6.44154829545455","1.63393258426966","11.3955255681818","11.7974016853933","11.1389855072464","10.29265917603","13.9516853932584","10.7047940074906","9.87416666666667","11.3858426966292"
"F1","WT","1.47120786516854","2.86719696969697","2.38307584269663","2.85113636363636","5.97808988764045","2.69408967391304","6.16544943820225","6.20449438202247","6.15926966292135","3.2953125","6.62865168539326"
