"well","treatment","DIV17","DIV19","DIV21","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","16","16","16","16","16","16","16","16","16","16","16"
"A2","HOM","15","15","15","15","15","15","15","15","15","15","15"
"A3","WT","15","16","16","16","15","16","16","16","16","16","15"
"A4","HOM","16","16","16","16","16","16","16","16","16","16","16"
"A5","WT_G","14","14","14","14","14","15","14","14","14","14","14"
"A6","HOM_G","15","15","14","15","14","15","15","16","15","15","15"
"A7","WT_B","16","16","16","16","16","16","16","16","16","16","16"
"A8","HOM_B","16","16","16","16","16","16","16","16","16","16","16"
"B1","WT","15","14","15","15","13","15","15","15","14","15","15"
"B2","HOM","16","16","16","16","16","16","16","16","16","16","16"
"B3","WT","14","13","14","13","12","13","13","13","13","12","13"
"B4","HOM","16","16","16","16","16","16","16","16","16","16","16"
"B5","WT_G","15","15","15","15","0","14","15","15","15","15","15"
"B6","HOM_G","16","16","16","16","16","16","15","15","16","16","13"
"B7","WT_B","15","15","14","15","14","14","14","14","12","14","13"
"B8","HOM_B","16","16","15","16","16","16","15","16","16","16","16"
"C1","WT","13","13","13","13","13","13","13","14","14","16","16"
"C2","HOM","16","16","16","15","15","15","15","15","15","15","15"
"C3","WT","15","15","15","15","15","15","15","15","15","15","15"
"C4","HOM","16","16","16","16","16","16","16","16","16","16","16"
"C5","WT_G","16","16","16","16","15","16","16","16","16","15","16"
"C6","HOM_G","15","14","14","14","14","14","14","14","14","14","16"
"C7","WT_B","15","15","15","15","15","15","14","15","14","14","14"
"C8","HOM_B","15","15","14","15","15","15","15","15","15","15","15"
"D1","WT","14","13","13","13","13","13","13","13","13","13","13"
"D2","HOM","16","16","16","16","16","16","16","16","16","16","16"
"D3","WT","16","16","16","16","16","16","16","16","16","16","16"
"D4","HOM","16","16","16","16","16","16","16","16","16","16","16"
"D5","WT_G","15","15","14","13","13","15","13","15","14","13","14"
"D6","HOM_G","16","16","16","16","15","16","16","16","16","15","16"
"D7","WT_B","13","12","12","12","13","12","12","12","12","11","11"
"D8","HOM_B","14","15","14","15","15","15","15","15","14","14","14"
"E1","WT","13","14","14","14","12","12","13","13","13","13","11"
"E2","HOM","16","16","15","15","15","15","15","15","15","16","16"
"E3","WT","16","16","16","16","16","16","16","16","16","16","16"
"E4","HOM","15","15","15","15","15","15","15","15","15","15","15"
"E5","WT_G","16","16","16","16","15","16","16","16","16","16","16"
"E6","HOM_G","16","16","16","16","16","16","16","16","16","16","16"
"E7","WT_B","15","15","14","15","15","15","14","14","14","14","14"
"E8","HOM_B","16","16","15","16","16","15","15","16","15","15","15"
"F1","WT","16","15","16","16","16","16","16","16","16","16","16"
"F2","HOM","12","13","14","14","13","13","13","14","13","14","14"
"F3","WT","16","16","16","16","16","16","16","16","16","16","16"
"F4","HOM","15","14","15","13","14","15","14","13","13","13","13"
"F5","WT_G","16","16","16","16","16","16","16","16","16","16","16"
"F6","HOM_G","16","16","16","16","15","15","16","16","16","16","16"
"F7","WT_B","14","15","13","16","15","15","15","15","15","15","15"
"F8","HOM_B","16","16","16","16","16","16","16","16","16","16","16"
