"well","treatment","DIV17","DIV19","DIV21","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","49","294","271","623","825","865","228","402","439","322","719"
"A2","HOM","216","432","306","359","430","513","383","447","494","226","406"
"A3","WT","78","336","422","502","387","493","378","735","839","270","1054"
"A4","HOM","125","222","332","930","361","399","328","1055","398","198","1164"
"A5","WT_G","142","335","296","720","165","133","141","123","152","127","418"
"A6","HOM_G","132","472","379","438","404","142","139","144","361","132","189"
"A7","WT_B","150","473","193","973","642","525","465","949","667","853","783"
"A8","HOM_B","113","356","216","1404","863","1496","1267","1302","1069","1147","1009"
"B1","WT","177","501","220","368","413","525","400","1390","1012","312","1185"
"B2","HOM","151","197","287","211","96","230","326","278","270","133","516"
"B3","WT","154","233","206","259","172","288","122","503","639","204","790"
"B4","HOM","166","178","277","278","148","230","211","378","633","240","468"
"B5","WT_G","151","408","237","882","0","120","283","295","1279","228","753"
"B6","HOM_G","153","226","194","104","59","716","37","52","192","64","10"
"B7","WT_B","179","280","103","628","688","701","440","483","456","431","559"
"B8","HOM_B","140","265","143","1493","1310","1559","1399","1167","1271","976","1384"
"C1","WT","115","149","269","419","377","543","345","379","1379","470","1503"
"C2","HOM","205","230","325","284","275","389","227","315","368","120","697"
"C3","WT","166","354","300","151","200","227","199","526","693","341","601"
"C4","HOM","147","263","195","107","239","168","131","187","415","187","469"
"C5","WT_G","72","282","215","442","157","233","76","168","572","12","460"
"C6","HOM_G","167","400","259","154","214","102","130","83","103","20","287"
"C7","WT_B","143","376","181","730","567","703","545","596","586","304","679"
"C8","HOM_B","138","139","98","1142","1062","1198","1111","1280","1092","1119","1078"
"D1","WT","104","294","435","347","400","962","886","1411","1117","559","917"
"D2","HOM","143","207","319","1177","794","248","410","539","446","297","436"
"D3","WT","142","267","187","106","385","331","155","407","418","254","450"
"D4","HOM","221","211","152","91","139","118","120","234","308","102","390"
"D5","WT_G","158","309","203","74","143","222","79","283","857","270","367"
"D6","HOM_G","181","230","280","577","114","136","182","185","359","17","440"
"D7","WT_B","182","351","185","537","779","847","562","583","749","435","603"
"D8","HOM_B","158","135","99","1337","920","1114","980","1253","1496","1299","1109"
"E1","WT","136","248","393","333","356","314","335","353","1292","239","325"
"E2","HOM","206","297","234","275","164","243","191","354","325","124","431"
"E3","WT","146","255","184","186","173","138","243","211","758","100","483"
"E4","HOM","169","302","157","206","114","251","160","228","461","188","636"
"E5","WT_G","177","319","172","331","27","110","55","151","224","422","311"
"E6","HOM_G","174","309","148","298","450","180","110","141","155","145","207"
"E7","WT_B","187","364","158","662","609","714","306","505","299","412","595"
"E8","HOM_B","111","311","69","1176","940","1111","1045","1108","1334","979","1117"
"F1","WT","126","425","389","420","897","433","909","835","1071","468","1101"
"F2","HOM","82","378","178","292","349","338","243","298","423","208","428"
"F3","WT","104","330","184","413","155","513","240","352","628","215","1408"
"F4","HOM","109","539","153","622","510","193","160","478","750","365","973"
"F5","WT_G","87","486","547","1026","269","334","137","179","125","363","454"
"F6","HOM_G","98","218","207","811","96","119","119","88","357","139","244"
"F7","WT_B","133","153","84","950","778","522","640","1241","868","911","851"
"F8","HOM_B","131","121","112","968","701","1136","1073","1558","1576","1290","1376"
