"well","treatment","DIV17","DIV19","DIV21","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","180.142857142857","103.65306122449","134.09963099631","84.3996789727127","84.6266666666667","81.2601156069364","131.881578947368","96.8432835820896","93.1845102505695","106.357142857143","78.0375521557719"
"A2","HOM","146.87037037037","126.488425925926","113.437908496732","111.813370473538","145.925581395349","117.990253411306","134.049608355091","135.181208053691","141.993927125506","198.570796460177","170.229064039409"
"A3","WT","110.294871794872","106.145833333333","79.2488151658768","84.6792828685259","88.4237726098191","90.290060851927","109.497354497354","95.1795918367347","95.0262216924911","148.759259259259","97.2675521821632"
"A4","HOM","331.528","203.324324324324","192.120481927711","186.04623655914","236.559556786704","185.233082706767","190.932926829268","166.511848341232","150.085427135678","199.919191919192","146.852233676976"
"A5","WT_G","111.014084507042","74.4119402985075","66.6385135135135","49.0708333333333","33.3454545454545","183.87969924812","192.326241134752","211.382113821138","151.934210526316","202.842519685039","73.0334928229665"
"A6","HOM_G","258.280303030303","189.16313559322","157.4327176781","202.536529680365","191.076732673267","442.464788732394","471.201438848921","282.555555555556","246.171745152355","421.795454545455","330.084656084656"
"A7","WT_B","240.793333333333","164.585623678647","117.507772020725","87.5292908530319","132.281931464174","117.329523809524","97.6021505376344","63.1053740779768","65.0569715142429","48.3012895662368","48.5606641123883"
"A8","HOM_B","232.929203539823","170.165730337079","135.37962962963","118.325498575499","207.771726535342","131.211229946524","100.397000789266","85.6482334869432","73.9214218896165","72.7070619006103","73.2547076313181"
"B1","WT","90.593220338983","64.7005988023952","88.9136363636364","63.929347826087","59.7869249394673","53.3104761904762","51.995","51.5187050359712","46.6966403162055","58.9423076923077","52.2405063291139"
"B2","HOM","266.46357615894","232.593908629442","194.449477351916","148.928909952607","178.854166666667","197.665217391304","121.147239263804","137.920863309353","158.362962962963","281.947368421053","154.792635658915"
"B3","WT","80.1038961038961","67.2789699570815","88.868932038835","87.7683397683398","93.4941860465116","88.0347222222222","91.3360655737705","63.3677932405567","55.6588419405321","76.8235294117647","53.3962025316456"
"B4","HOM","236.210843373494","224.960674157303","195.602888086643","174.640287769784","294.195945945946","260.091304347826","256","167.780423280423","114.312796208531","228.458333333333","132.051282051282"
"B5","WT_G","172.185430463576","140.740196078431","153.130801687764","58.6961451247166","0","60.4916666666667","89.4098939929329","79.3152542372881","60.5684128225176","80.8684210526316","74.4966799468792"
"B6","HOM_G","180.679738562092","180.929203539823","127.731958762887","68.9230769230769","81","48.5670391061453","67.2972972972973","90.8461538461538","108.286458333333","140.171875","78.4"
"B7","WT_B","183.279329608939","169.267857142857","109.747572815534","64.8837579617834","88.2921511627907","101.356633380884","70.975","65.3913043478261","52.5197368421053","41.1647331786543","40.0196779964222"
"B8","HOM_B","322.664285714286","254.139622641509","195.048951048951","121.405894172806","155.242748091603","124.216805644644","97.1093638313081","91.0137103684661","60.904012588513","84.4907786885246","72.8330924855491"
"C1","WT","211.486956521739","203.268456375839","175.814126394052","120.978520286396","105.36074270557","107.379373848987","108.301449275362","111.770448548813","88.6656997824511","95.7212765957447","76.1204258150366"
"C2","HOM","164.678048780488","170.9","136.689230769231","90.5140845070423","106.392727272727","87.7095115681234","103.665198237885","82.5492063492063","60.5217391304348","95.6333333333333","65.2338593974175"
"C3","WT","244.933734939759","219.590395480226","261.183333333333","290.165562913907","253.89","273.11013215859","248.180904522613","171.625475285171","130.186147186147","144.319648093842","121.915141430948"
"C4","HOM","173.040816326531","124.372623574144","161.117948717949","215.644859813084","115.970711297071","221.416666666667","164.900763358779","239.262032085561","114.901204819277","220.144385026738","114.539445628998"
"C5","WT_G","119.875","110.489361702128","106.33023255814","68.868778280543","29.6687898089172","58.9227467811159","96.1578947368421","129.988095238095","91.7045454545455","71.5833333333333","78.1652173913044"
"C6","HOM_G","235.532934131737","158.795","137.945945945946","170.357142857143","66.2523364485981","123.480392156863","157.323076923077","141.204819277108","98.6019417475728","204.65","204.588850174216"
"C7","WT_B","206.58041958042","166.175531914894","126.762430939227","90.3219178082192","103.687830687831","91.0312944523471","69.4660550458716","71.0318791946309","57.0511945392491","48.8717105263158","50.0662739322533"
"C8","HOM_B","228.449275362319","226.374100719424","125.897959183673","103.27408056042","111.984934086629","80.4983305509182","67.6903690369037","73.2578125","56.3305860805861","59.1957104557641","60.2810760667904"
"D1","WT","160.125","122.408163265306","93.783908045977","78.3631123919308","70.8025","71.6434511434511","59.5090293453725","61.7434443656981","49.503133393017","74.1484794275492","49.5714285714286"
"D2","HOM","198.468531468531","188.429951690821","142.846394984326","67.6745964316058","80.6032745591939","179.540322580645","143.141463414634","106.981447124304","100.372197309417","156.232323232323","116.967889908257"
"D3","WT","247.992957746479","195.775280898876","271.139037433155","157.783018867925","178.820779220779","184.135951661631","159.245161290323","173.577395577396","145.349282296651","175.074803149606","151.18"
"D4","HOM","292.882352941176","269.625592417062","379.309210526316","423.516483516484","432.503597122302","449.067796610169","349.483333333333","295.029914529915","209.103896103896","375.862745098039","198.897435897436"
"D5","WT_G","117.924050632911","111.116504854369","105.665024630542","45.8918918918919","67.1958041958042","133.635135135135","75.7215189873418","126.879858657244","71.6977829638273","94.9777777777778","79.3433242506812"
"D6","HOM_G","156.624309392265","138.708695652174","103.542857142857","61.4956672443674","72.6140350877193","70.8235294117647","112.478021978022","203.178378378378","133.064066852368","199.058823529412","130.259090909091"
"D7","WT_B","140.379120879121","118.752136752137","72.1297297297297","64.4283054003724","78.5327342747112","79.7319952774498","52.7153024911032","62.8696397941681","47.3631508678238","58.6781609195402","53.1724709784411"
"D8","HOM_B","185.73417721519","219.207407407407","124.313131313131","87.4734480179506","107.342391304348","75.5089766606822","63.4326530612245","78.5275339185954","50.4745989304813","58.8729792147806","50.9585211902615"
"E1","WT","95.9191176470588","80.7701612903226","50.9262086513995","52.8498498498498","44.3314606741573","50.9267515923567","50.0746268656716","52.7308781869688","37.3575851393189","66.4769874476987","41.0646153846154"
