"well","treatment","DIV17","DIV19","DIV21","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","13260","57039","65606","78035","100470","107508","47647","58204","54878","49774","77220"
"A2","HOM","41915","75179","54001","60677","113314","88710","71114","80461","92548","57919","94283"
"A3","WT","12628","56902","56320","64152","53504","67274","69040","101106","114210","66715","130969"
"A4","HOM","52645","67218","90613","231025","126642","110316","93908","228268","86462","63338","215589"
"A5","WT_G","22400","46686","39011","37845","5600","27636","29053","29039","29936","29640","47680"
"A6","HOM_G","45919","140896","93341","96686","80492","74469","71008","51267","112703","62606","82230"
"A7","WT_B","43474","115333","38564","132049","155655","81617","61666","88283","52376","25472","65514"
"A8","HOM_B","33313","87083","40267","232001","243435","278739","177088","181672","128464","121962","112391"
"B1","WT","24085","48374","32225","35879","35493","40568","31804","94037","60398","23398","75236"
"B2","HOM","50251","73011","91003","48947","23923","67210","47754","50457","61115","48169","115402"
"B3","WT","17171","25505","28729","39457","25558","45233","20059","43815","48948","29105","62295"
"B4","HOM","52611","59911","80706","76869","58771","83963","71632","93589","108847","69141","89022"
"B5","WT_G","35803","83677","53300","52262","0","7314","28589","25460","93217","24215","41766"
"B6","HOM_G","31856","64929","41697","7766","4929","34773","2552","5069","24798","11426","972"
"B7","WT_B","40008","74171","18970","61036","97188","96512","52826","65552","32960","33613","35821"
"B8","HOM_B","54791","97120","43699","257242","261179","254359","197849","178645","118702","121899","138326"
"C1","WT","29820","44333","68180","82222","66362","94587","62341","73350","160325","74018","153494"
"C2","HOM","46006","53793","63361","40319","40458","56475","31279","35944","34756","23110","74184"
"C3","WT","51015","137465","114836","83612","112724","125629","102504","138478","130672","57640","113886"
"C4","HOM","34844","54026","44686","30368","49219","51778","37114","60616","74753","51894","73512"
"C5","WT_G","10822","40647","33067","30910","3725","13694","8394","27129","61898","1468","45928"
"C6","HOM_G","49083","101163","52659","27777","14432","12962","24097","13748","11816","5570","74551"
"C7","WT_B","38189","118087","38052","89434","53924","92507","68198","75382","48906","30068","51521"
"C8","HOM_B","37706","45825","18082","163241","158918","129107","108534","141834","93146","91699","95709"
"D1","WT","23712","52893","55955","39637","45207","102387","77150","118633","89704","60436","80400"
"D2","HOM","35447","59602","71335","120199","99955","62022","73251","81645","63166","58862","69596"
"D3","WT","48627","90504","77892","38074","118100","112870","47213","113555","94850","78033","101650"
"D4","HOM","80464","73722","71929","47887","74122","64492","53534","83029","88744","45320","97218"
"D5","WT_G","26796","54889","34972","3535","10280","36430","8624","53429","75835","34937","38481"
"D6","HOM_G","32683","43602","41095","36097","8208","9898","24403","49041","63824","4248","71795"
"D7","WT_B","33478","69025","20809","52028","88702","92496","48723","54234","52607","31379","41107"
"D8","HOM_B","33091","45073","17801","154733","143659","129922","96503","135355","105538","110483","80166"
"E1","WT","15562","34766","33395","25174","22914","21578","25581","29139","58274","20470","17628"
"E2","HOM","67104","97077","96347","91990","52053","70821","50560","67888","58862","40102","96020"
"E3","WT","32120","53211","42309","43345","42432","40778","61557","61100","107209","26344","75993"
"E4","HOM","53308","100637","63434","71285","52886","82629","62627","81593","101332","64537","120593"
"E5","WT_G","47125","94995","61413","44642","1211","10755","9215","39301","44950","79119","45545"
"E6","HOM_G","51869","97325","67387","65391","24308","12399","10882","17948","28969","42329","55843"
"E7","WT_B","44710","69928","19744","58208","36702","38765","16809","33121","16152","16799","29086"
"E8","HOM_B","29011","87505","15149","154370","158966","144466","119156","173613","127361","124656","147989"
"F1","WT","20442","36360","32234","39295","83021","38580","87156","87459","86948","45526","93524"
"F2","HOM","9189","35215","24498","32983","38008","41939","36028","53635","56642","32637","58984"
"F3","WT","21872","43175","32178","48933","35677","73269","41415","53208","65987","31703","109530"
"F4","HOM","19696","71437","38013","73351","75478","59356","47035","69685","78586","59377","98113"
"F5","WT_G","17843","65841","68979","60872","11886","30730","39275","34478","33962","48369","53623"
"F6","HOM_G","29658","56840","62001","95206","4919","12713","25402","13622","59846","29449","50111"
"F7","WT_B","22703","30150","8174","125027","135178","80566","57508","89210","66567","61899","62905"
"F8","HOM_B","31670","38060","18481","140867","172724","216596","191690","186723","170392","169480","170100"
