"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31"
"A1","WT","293","319.785714285714","264.692307692308","455.820895522388","351.910112359551","346.932692307692","346.168224299065","242.006329113924"
"A2","WT","328.2","321.727272727273","339.507936507937","389.31914893617","367.412698412698","380.708333333333","328.584269662921","327.181818181818"
"A4","HOM","382.625","395.423728813559","333.254385964912","362.364705882353","298.018779342723","336.737226277372","362.611111111111","413.905172413793"
"A5","WT","215.255319148936","264.538461538462","221.769230769231","267.645161290323","287.671428571429","181.358974358974","271.050632911392","184.239234449761"
"A6","HET","3.72352342158859","3.57703404500866","7.94229249011858","23.1644204851752","21.0797202797203","2.42158671586716","0","0"
"A7","HOM","273.655172413793","331.611940298507","286.3","300.52027027027","258.922077922078","250.31862745098","242.440758293839","277.475"
"A8","HOM","242.884615384615","248.789473684211","227.277777777778","286.976744186047","277.605504587156","254.017094017094","123.408934707904","234.268421052632"
"B2","WT","318.962962962963","361.790697674419","365.348623853211","382.219858156028","486.4","376.857142857143","392.512345679012","346.062015503876"
"B3","HET","8.81669691470054","28.1674718196457","59.8981001727116","75.6126984126984","91.121875","56.8546409807356","39.7489655172414","38.5189393939394"
"B4","HOM","337.555555555556","328.348066298343","532.25641025641","457.46","253.784","267.541916167665","297.261682242991","159.553672316384"
"B5","WT","215.303797468354","294.420454545455","281.742857142857","319.182291666667","321.636363636364","204.760330578512","212.52","171.615615615616"
"B6","HET","21.0228471001757","28.8453608247423","67.4079861111111","87.1945288753799","83.2888888888889","73.3314065510597","50.7188498402556","62.3320158102767"
"B7","HOM","207.776","267.793103448276","276.672413793103","249.15923566879","317.055684454756","204.897243107769","191.048974943052","105.233333333333"
"C1","HOM","404.125","444.518518518519","508.642857142857","446.010928961749","294.509485094851","358.80487804878","452.045248868778","329.30303030303"
"C2","WT","330.635294117647","360.340707964602","378.527607361963","420.232456140351","574.637735849057","322.839650145773","408.540816326531","334.364661654135"
"C3","HET","6.47289353363815","17.3847045191193","49.3977272727273","103.239766081871","148.085714285714","88.0159362549801","52.2853598014888","21.6050096339114"
"C4","HOM","253.15953307393","404.868995633188","377.489361702128","801.007547169811","960.99512195122","619.899628252788","536.386243386243","241.937837837838"
"C5","WT","251.096551724138","265.294392523364","313.443396226415","265.735930735931","294.528662420382","262.982558139535","236.163551401869","200.223744292237"
"C6","HET","5.64692861095739","14.7207792207792","39.3201219512195","36.4855072463768","30","20.9751037344398","4.78421387651178","0"
"C7","HOM","204.490118577075","342.425806451613","342.823863636364","365.606382978723","323.059113300493","459.181102362205","511.25","382.812949640288"
"C8","WT","259.444444444444","266.714285714286","306.678571428571","335.161290322581","360.308823529412","274.794117647059","280.872727272727","247.011904761905"
"D1","WT","277.94623655914","382.229166666667","401.492063492063","357.739130434783","383.569892473118","343.630434782609","380.247126436782","335.707692307692"
"D2","WT","242.6","291.920863309353","327.677083333333","378.650406504065","381.279661016949","424.58064516129","455.538461538462","429.243902439024"
"D3","HET","11.2603636363636","28.9936775553214","76.0688073394495","116.472684085511","140.99710982659","125.604651162791","82.8176","63.740916271722"
"D4","HOM","290.853333333333","318.709523809524","482.044052863436","330.43537414966","231.348314606742","218.683544303797","214.193370165746","199.086956521739"
"D5","WT","239.994652406417","232.295918367347","238.724025974026","257.894117647059","251.604395604396","241.994897959184","186.113333333333","108.373913043478"
"D6","HET","135762","123.895140664962","268.145299145299","135090","343.589743589744","363.283582089552","241.852173913043","185.022421524664"
"D7","HOM","243.595238095238","290.390625","281.563981042654","295.368","460.642317380353","335.108974358974","264.667159763314","154.882113821138"
"D8","HOM","327.469879518072","380.904109589041","306.1375","325","319.96","324.408602150538","234.267716535433","304.123287671233"
"E2","WT","162.2375","238.611111111111","275.071428571429","272.763636363636","333.396551724138","196.56976744186","284.829931972789","223.392307692308"
"E4","HOM","303.555555555556","299.513661202186","338.371980676329","313.800766283525","258.749056603774","245.850574712644","136.594017094017","98.5896995708155"
"E5","WT","208.294117647059","207.764227642276","174.057803468208","140.943333333333","165.765432098765","206.401234567901","121.381625441696","117.855319148936"
"E6","HET","20.275307473983","43.1745810055866","38.0883482714469","36.8965163934426","32.9080717488789","34.6528066528067","23.7666362807657","13.8048103607771"
"E7","HOM","255.921875","259.671052631579","316.558282208589","237.035230352304","629.834745762712","250.373913043478","235.927272727273","323.421875"
"F1","HOM","257.35","337.260869565217","289.172413793103","379.293103448276","330.790909090909","301.469696969697","251.12","296.791304347826"
"F2","WT","195.1","250.59375","195.5","262.763157894737","269.739130434783","360.786885245902","235.262008733624","251.146153846154"
"F4","HOM","314.52380952381","410.688888888889","357.325","312.833333333333","310.44094488189","237.298319327731","305.458598726115","241.850299401198"
"F5","WT","140.170454545455","202.5","249.914285714286","244.385964912281","312.045871559633","209.560344827586","250.1875","199.131578947368"
"F6","HET","3.93132154006244","5.68112244897959","9.4814323607427","31.5318532818533","5.47787610619469","0","0","0"
"F7","HOM","283.509090909091","263.460869565217","376.016949152542","338.181818181818","361.858895705521","271.038793103448","462.123287671233","427.989247311828"
"F8","WT","229.150442477876","221.411764705882","221.590909090909","242.071428571429","239.896551724138","273.067796610169","236.973684210526","198.947368421053"
