"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31"
"A1","WT","16","16","15","16","16","16","16","16"
"A2","WT","16","16","16","16","16","16","16","16"
"A4","HOM","16","16","16","16","16","16","16","16"
"A5","WT","16","16","16","16","16","16","16","16"
"A6","HET","10","10","10","11","11","8","0","0"
"A7","HOM","16","16","16","16","16","16","16","16"
"A8","HOM","16","16","16","16","16","16","16","16"
"B2","WT","16","16","16","16","16","16","16","16"
"B3","HET","12","12","13","13","13","12","12","13"
"B4","HOM","16","16","16","16","16","16","16","16"
"B5","WT","16","16","16","16","16","16","16","16"
"B6","HET","13","15","16","16","16","15","14","15"
"B7","HOM","16","16","16","16","16","16","16","15"
"C1","HOM","16","16","16","16","16","16","16","16"
"C2","WT","16","16","16","16","16","16","16","16"
"C3","HET","14","15","16","16","16","15","11","10"
"C4","HOM","16","16","16","16","16","16","16","16"
"C5","WT","16","16","16","16","16","16","16","16"
"C6","HET","10","12","12","13","13","10","7","0"
"C7","HOM","16","16","16","16","16","16","16","16"
"C8","WT","16","16","16","16","16","16","16","16"
"D1","WT","16","16","16","16","16","16","16","16"
"D2","WT","15","16","13","14","14","14","14","16"
"D3","HET","12","12","11","13","13","14","13","14"
"D4","HOM","16","16","16","16","16","16","16","16"
"D5","WT","16","16","16","16","15","16","16","16"
"D6","HET","16","16","16","15","15","15","15","15"
"D7","HOM","16","16","16","16","16","16","16","16"
"D8","HOM","16","16","16","16","16","16","16","16"
"E2","WT","16","16","16","16","16","16","16","16"
"E4","HOM","16","16","16","16","16","16","16","16"
"E5","WT","16","16","16","16","16","16","16","16"
"E6","HET","14","14","14","13","14","14","12","9"
"E7","HOM","16","16","16","16","16","16","16","16"
"F1","HOM","16","16","16","16","16","16","16","16"
"F2","WT","16","16","16","16","16","16","16","16"
"F4","HOM","16","16","16","16","16","16","16","16"
"F5","WT","15","16","16","16","16","16","16","16"
"F6","HET","12","13","12","13","8","4","0","0"
"F7","HOM","16","16","16","16","16","16","16","16"
"F8","WT","16","16","16","16","16","16","16","16"
