"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31"
"A1","WT","16","14","24","66","88","99","105","114"
"A2","WT","35","22","63","44","94","104","67","107"
"A4","HOM","40","59","90","72","163","126","108","113"
"A5","WT","48","13","10","31","68","66","75","176"
"A6","HET","648","705","678","716","713","644","0","0"
"A7","HOM","29","67","70","144","209","183","187","139"
"A8","HOM","26","19","36","43","109","115","71","190"
"B2","WT","51","81","103","131","53","113","119","91"
"B3","HET","528","584","579","310","314","549","677","785"
"B4","HOM","34","148","86","95","329","160","158","177"
"B5","WT","75","64","61","111","114","79","200","117"
"B6","HET","444","547","577","324","493","518","626","504"
"B7","HOM","123","84","116","155","263","283","175","187"
"C1","HOM","48","108","98","153","303","218","157","130"
"C2","WT","69","208","116","159","115","269","161","208"
"C3","HET","698","602","606","173","171","220","192","261"
"C4","HOM","194","162","75","140","117","152","181","158"
"C5","WT","134","182","181","169","164","169","214","219"
"C6","HET","544","588","647","526","586","342","241","0"
"C7","HOM","250","143","170","155","189","110","120","116"
"C8","WT","18","14","28","31","47","34","55","84"
"D1","WT","93","48","63","46","173","128","142","135"
"D2","WT","81","131","94","113","62","87","72","96"
"D3","HET","1","664","654","401","344","428","608","625"
"D4","HOM","136","175","111","145","115","149","168","204"
"D5","WT","180","279","273","228","184","185","153","239"
"D6","HET","1","1","1","1","1","1","1","1"
"D7","HOM","122","124","204","166","242","316","187","222"
"D8","HOM","81","66","57","34","139","79","87","63"
"E2","WT","77","71","55","98","48","46","112","87"
"E4","HOM","55","117","91","115","311","240","435","351"
"E5","WT","51","122","110","246","172","132","287","309"
"E6","HET","572","706","779","1","892","890","1","993"
"E7","HOM","63","145","163","191","180","115","105","112"
"F1","HOM","20","45","58","58","110","1","77","97"
"F2","WT","20","32","20","38","69","99","210","100"
"F4","HOM","21","41","40","100","98","201","174","166"
"F5","WT","88","15","35","54","105","113","76","102"
"F6","HET","698","1","821","1","1","0","0","0"
"F7","HOM","110","115","118","143","149","176","142","151"
"F8","WT","94","17","21","28","58","59","38","19"
