"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31"
"A1","WT","320.375","375.571428571429","338.583333333333","507.833333333333","449.5","453.737373737374","458.933333333333","383.982456140351"
"A2","WT","368.371428571429","429.272727272727","398.634920634921","485.659090909091","847.074468085106","697.019230769231","642.268656716418","451"
"A4","HOM","426.4","463.64406779661","495.088888888889","523.125","477.269938650307","484.52380952381","477.398148148148","463.938053097345"
"A5","WT","219.666666666667","299.076923076923","348.7","292.258064516129","340.588235294118","241.742424242424","332.226666666667","221.215909090909"
"A6","HET","8.97376543209877","8.27801418439716","16.6519174041298","30.445530726257","25.2440392706872","3.53571428571429","0","0"
"A7","HOM","298.758620689655","358.477611940299","312.985714285714","337.4375","314.521531100478","310.322404371585","301.844919786096","424.374100719424"
"A8","HOM","277.346153846154","302.947368421053","274.194444444444","345.813953488372","335.174311926606","312.095652173913","316.676056338028","327.573684210526"
"B2","WT","367.117647058824","421.469135802469","419.436893203883","460.618320610687","1249.41509433962","669.327433628319","600.428571428571","578.549450549451"
"B3","HET","18.6799242424242","37.7619863013699","71.5837651122625","95.1064516129032","114.917197452229","69.4936247723133","48.5686853766617","46.8305732484076"
"B4","HOM","667.941176470588","433.418918918919","1127.40697674419","757.094736842105","614.90273556231","598.575","416.151898734177","381.022598870056"
"B5","WT","247.333333333333","491.765625","645.704918032787","586.288288288288","663.09649122807","538.012658227848","370.05","352.162393162393"
"B6","HET","33.3626126126126","39.4168190127971","85.5372616984402","106.608024691358","99.3874239350913","91.6776061776062","63.1230031948882","73.6190476190476"
"B7","HOM","248.146341463415","371.464285714286","360.26724137931","297.903225806452","590.414448669202","603.070671378092","1058.52571428571","122.898395721925"
"C1","HOM","439.5","480.527777777778","587.102040816327","620.326797385621","431.881188118812","823.977064220183","675.936305732484","674.961538461538"
"C2","WT","455.739130434783","419.653846153846","635.706896551724","664.459119496855","1271.73043478261","421.996282527881","599.819875776398","492.269230769231"
"C3","HET","14.5386819484241","29.4152823920266","63.2013201320132","127.184971098266","184.426900584795","114.913636363636","87.8697916666667","38.5977011494253"
"C4","HOM","392.59793814433","668.29012345679","1130.76","1499.60714285714","1754.42735042735","1424.90131578947","669.104972375691","868.867088607595"
"C5","WT","344.544776119403","396.978021978022","462.988950276243","409.840236686391","900.243902439024","358.639053254438","329.668224299065","305.602739726027"
"C6","HET","16.5772058823529","33.6071428571429","50.4111282843895","49.2300380228137","38.7645051194539","33.5760233918129","18.5186721991701","0"
"C7","HOM","232.148","428.951048951049","404.664705882353","481.516129032258","535.481481481482","572.654545454545","558.308333333333","463.681034482759"
"C8","WT","295.666666666667","328.214285714286","344.214285714286","382.58064516129","562.276595744681","387.205882352941","391.545454545455","309.988095238095"
"D1","WT","283.010752688172","424.645833333333","460.619047619048","484.065217391304","480.624277456647","531.140625","530.894366197183","522.903703703704"
"D2","WT","273.259259259259","340.282442748092","374.936170212766","462.699115044248","700.725806451613","535.827586206897","626.083333333333","668.21875"
"D3","HET","26254","46.6039156626506","82.6192660550459","138.952618453865","159.738372093023","147.294392523364","97.1381578947368","75.7056"
"D4","HOM","436.485294117647","450.068571428571","1168.73873873874","480.91724137931","402.573913043478","385.58389261745","356.482142857143","309.416666666667"
"D5","WT","273.233333333333","292.121863799283","331.058608058608","449.592105263158","553.532608695652","451.924324324324","281.104575163399","142.740585774059"
"D6","HET","135762","175343","130800","135090","93437","103927","148411","121858"
"D7","HOM","318.909836065574","368.475806451613","358.995098039216","438.572289156626","764.566115702479","525.060126582278","974.513368983957","318.355855855856"
"D8","HOM","356.061728395062","469.606060606061","493.157894736842","1030.47058823529","359.251798561151","433.075949367089","335.310344827586","384.555555555556"
"E2","WT","193.558441558442","276.323943661972","324.927272727273","332.65306122449","725.125","504.195652173913","398.419642857143","387.16091954023"
"E4","HOM","527.981818181818","467.948717948718","855.615384615385","698.75652173913","498.337620578778","574.054166666667","376.110344827586","475.424501424501"
"E5","WT","219.039215686275","214.065573770492","251.545454545455","227.333333333333","254.598837209302","299.030303030303","162.620209059233","161.05501618123"
"E6","HET","44.493006993007","62.1529745042493","48.0924261874198","57248","36.6928251121076","44.9865168539326","34356","16.3846928499496"
"E7","HOM","324.396825396825","297.820689655172","349.907975460123","381.701570680628","835.027777777778","425.469565217391","460.247619047619","429.857142857143"
"F1","HOM","283.85","368.844444444444","315.603448275862","455.637931034483","383.6","44241","347.714285714286","411.546391752577"
"F2","WT","216.7","265.78125","219.8","300.763157894737","326.260869565217","553.989898989899","312.904761904762","407.99"
"F4","HOM","378.142857142857","492.487804878049","436.05","369.03","495.938775510204","492.621890547264","450.304597701149","415.78313253012"
"F5","WT","144.295454545455","262.6","267.628571428571","283.62962962963","349.209523809524","243.663716814159","305.75","261.843137254902"
"F6","HET","10.285100286533","15670","19.3093788063337","49549","8384","0","0","0"
"F7","HOM","289.827272727273","282.886956521739","425.652542372881","428.545454545455","498.96644295302","463.488636363636","533.633802816901","535.397350993377"
"F8","WT","287.308510638298","321.647058823529","297.952380952381","308.25","300.310344827586","361.050847457627","327.342105263158","279.842105263158"
