"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31"
"A1","WT","4297","4018","6116","28441","26526","32595","33587","29134"
"A2","WT","10419","6374","18724","16980","56167","48368","25866","30538"
"A4","HOM","14418","21505","35069","28056","58064","42015","35943","34080"
"A5","WT","9388","3149","2616","7627","18086","13271","20124","35633"
"A6","HET","8226","8603","12033","16794","13925","2818","0","0"
"A7","HOM","7363","20706","18806","40167","54473","46952","46398","56888"
"A8","HOM","5884","4403","7445","11263","26789","26981","35149","38921"
"B2","WT","16090","28771","36593","49097","84612","73039","56720","39294"
"B3","HET","10972","17350","32850","22769","26979","31662","26006","28189"
"B4","HOM","16142","43762","74617","63136","104024","69064","56267","22378"
"B5","WT","15758","24251","25251","58487","70462","68357","76363","43294"
"B6","HET","13510","16850","34665","27643","39460","34899","27403","28544"
"B7","HOM","24183","20526","27652","34318","101633","65748","29612","16648"
"C1","HOM","17865","44063","43311","72155","89228","90209","84658","89547"
"C2","WT","25748","76400","55381","89210","137822","92916","75346","84366"
"C3","HET","8781","15604","27953","16652","25229","22552","20499","12477"
"C4","HOM","60235","67892","90715","205988","203011","155563","96694","75860"
"C5","WT","34408","50928","58433","57205","36868","38033","42359","33473"
"C6","HET","12484","21154","24402","19541","18714","10689","7963","0"
"C7","HOM","47502","47880","53897","61167","50592","23279","58273","49253"
"C8","WT","4251","3431","7966","9537","22015","8469","13965","18924"
"D1","WT","24675","16734","21799","14091","65968","57499","59216","55170"
"D2","WT","19159","37279","28257","43323","47113","38310","30647","47830"
"D3","HET","18466","27394","47901","47802","47696","52315","51572","39574"
"D4","HOM","38998","59998","97797","43643","17428","29130","32869","35265"
"D5","WT","41722","62795","63216","34354","34527","36697","24728","22014"
"D6","HET","45274","46913","28456","23993","26504","22965","54673","38903"
"D7","HOM","27949","32922","50712","65454","175748","140743","38643","28834"
"D8","HOM","25207","25176","20867","23632","25042","23367","26272","19458"
"E2","WT","11707","15503","13775","28027","38851","30518","38484","22771"
"E4","HOM","21971","51907","60183","70260","60684","68630","76820","89172"
"E5","WT","9906","23853","27671","35195","33987","30222","30221","23547"
"E6","HET","23362","29682","26589","33624","26290","32131","24759","14411"
"E7","HOM","14570","36175","45362","78219","145896","24123","19612","19092"
"F1","HOM","4705","14248","15185","19605","32704","18194","25325","32562"
"F2","WT","3609","7355","3581","8989","16760","41256","50171","31439"
"F4","HOM","6051","17466","13005","29439","35680","50192","50326","35546"
"F5","WT","11478","2871","7970","12578","32002","22440","18682","20883"
"F6","HET","9028","13561","15613","31405","6886","0","0","0"
"F7","HOM","29621","27810","38684","48144","48802","54364","39976","72665"
"F8","WT","23990","3356","4214","6286","12032","13870","8233","3475"
