"recording time (s): [445.50254636 ,1346]"
" "
"Spike statistics for wells"
"","treatment","nAE","nspikes_by_well","meanfiringrate_by_well","meanfiringrate_by_all_ectctordes","meanfiringrate_by_active_electordes","sdfiringrate_by_active_electordes","meanisis","sdisis"
"A1","WT","16","14732","16.3553408634156","1.02220880396347","1.02220880396347","0.831108007028823","0.955233982012775","4.11129441215233"
"A2","WT","15","47788","53.0538303815439","3.31586439884649","3.53692202543626","4.97681514819528","0.27794404360036","2.17856793410438"
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4","HOM","16","20368","22.6123800370655","1.41327375231659","1.41327375231659","1.01430032569915","0.698051747817905","2.92760659631098"
"A5","WT","16","19609","21.769744704773","1.36060904404831","1.36060904404831","2.99450068724502","0.725181480612974","3.23420549673444"
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A7","HOM","15","10016","11.1196778501202","0.694979865632511","0.741311856674679","0.676097295899683","1.32400003641636","4.13095305737442"
"A8","HOM","14","8081","8.97145733893982","0.560716083683738","0.640818381352844","0.758064658473251","1.52212571482335","5.15637765408903"
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","WT","14","52278","58.0385901206652","3.62741188254158","4.14561358004752","7.08086634919115","0.24083384986683","0.850291462424443"
"B3","HET","5","842","0.934781225020087","0.0584238265637555","0.186956245004017","0.145546483922606","5.25272779502987","7.7071853292884"
"B4","HOM","16","47075","52.2622638572691","3.26639149107932","3.26639149107932","3.29066497997603","0.304968913686861","1.14225655084014"
"B5","WT","16","48539","53.8875841820071","3.36797401137545","3.36797401137545","6.07045945831533","0.294974046913216","1.36273105198878"
"B6","HET","4","2550","2.83098827054777","0.176936766909236","0.707747067636943","0.632358738217727","1.40678566546347","2.57228372498971"
"B7","HOM","15","29649","32.9160671503807","2.05725419689879","2.19440447669205","4.18855809050522","0.452302569367281","2.27638526561844"
"B8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","HOM","16","26805","29.758682585111","1.85991766156944","1.85991766156944","1.57813624155987","0.532570779665908","2.16518858454983"
"C2","WT","16","54566","60.5787082238077","3.78616926398798","3.78616926398798","4.55989247315469","0.263645409027864","0.698641869006885"
"C3","HET","4","315","0.349710315773548","0.0218568947358468","0.087427578943387","0.0975258613645223","11.2364410875241","17.9364474286008"
"C4","HOM","16","32888","36.5119773497157","2.28199858435723","2.28199858435723","3.50025594913545","0.433843932395047","1.58745528730153"
"C5","WT","15","70594","78.3728572435487","4.8983035777218","5.22485714956992","7.26803088782803","0.190645907521926","1.04976842553962"
"C6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7","HOM","15","27600","30.6412848106347","1.91508030066467","2.04275232070898","1.77868192528742","0.484538894933478","2.20249021073782"
"C8","WT","15","9385","10.4191470270944","0.651196689193403","0.694609801806296","1.44545996627315","1.3947063143714","6.54482309084856"
"D1","WT","15","12194","13.5376748906116","0.846104680663223","0.902511659374105","0.842812140589338","1.07065328442647","3.8775256013195"
"D2","WT","15","16836","18.6911837344872","1.16819898340545","1.24607891563248","1.11258064095707","0.798029652262053","1.82983143876702"
"D3","HET","7","3190","3.54151081688133","0.221344426055083","0.505930116697333","0.543445897285403","1.93736790273013","5.27488484819179"
"D4","HOM","16","68864","76.4522259854908","4.77826412409318","4.77826412409318","5.56626788983467","0.208606442214153","0.728947086914284"
"D5","WT","16","65075","72.2457104729005","4.51535690455628","4.51535690455628","5.10334265439968","0.220065741292365","0.916456949610437"
"D6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D7","HOM","16","47874","53.1493068487074","3.32183167804421","3.32183167804421","3.68336343043571","0.300215449437085","1.28666119780391"
"D8","HOM","15","11678","12.9648160876301","0.810301005476884","0.864321072508676","1.35368121207716","1.12758877120038","4.82629730400631"
"E1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2","WT","11","16189","17.9728898478031","1.12330561548769","1.63389907707301","2.93880237601465","0.609463826489059","2.15083374926593"
"E3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E4","HOM","13","38129","42.3304908893004","2.64565568058127","3.25619160686926","4.16765449802457","0.305043321053101","1.22154466011912"
"E5","WT","14","16528","18.3492447590641","1.14682779744151","1.31066033993315","1.54505752646703","0.752750494205523","3.50631423113891"
"E6","HET","4","2163","2.4013441683117","0.150084010519481","0.600336042077924","0.70565944095802","1.57170325161649","7.61362072358431"
"E7","HOM","15","39611","43.975794660654","2.74848716629088","2.9317196440436","5.60771094186484","0.338895123674109","1.41489533869742"
"E8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F1","HOM","15","26531","29.4544901199619","1.84090563249762","1.96363267466413","3.29097291675245","0.504756560912279","2.80628913389057"
"F2","WT","15","40279","44.7174025683897","2.79483766052435","2.98116017122598","7.39987691261288","0.32725394897725","2.29164831964533"
"F3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F4","HOM","16","40744","45.2336416059601","2.82710260037251","2.82710260037251","6.09062303494037","0.348205744561481","1.94747302288984"
"F5","WT","13","13690","15.1985213426663","0.949907583916642","1.16911702635894","1.31556108940913","0.842660581740879","4.06157732381301"
"F6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F7","HOM","15","26692","29.633230948024","1.8520769342515","1.97554872986826","3.86794789610011","0.496161862561383","2.58589337160393"
"F8","WT","15","22433","24.9049254404699","1.55655784002937","1.66032836269799","3.27212168983395","0.59044388111696","3.7264070388778"
" "
"Spike statistics for electrodes"
"electrode","nspikes","meanfiringrate","meanisis","sdisis"
"A1_11","116","0.128782211522957","7.24930750843478","15.5343103646654"
"A1_12","1198","1.33000939141813","0.737826509348371","1.8057258188152"
"A1_13","1075","1.19345583954465","0.826858253882682","1.80036046721442"
"A1_14","142","0.157647189967758","5.91172914992908","15.2062566707297"
"A1_21","824","0.914797778404456","1.08913789650061","2.00218818148437"
"A1_22","58","0.0643911057614787","14.9984986977193","27.8942864011571"
"A1_23","2379","2.64114552769927","0.377832631139613","0.874576342217352"
"A1_24","656","0.728285609991897","1.3448297740458","3.27412031280325"
"A1_31","837","0.929230267626856","1.04629568742823","3.77189833406471"
"A1_32","1616","1.79406942949223","0.554112241585139","1.3615480145317"
"A1_33","762","0.845965906728393","1.16953248467806","2.53912228917333"
"A1_34","776","0.861508587429439","1.15572848485161","2.29643713522689"
"A1_41","74","0.0821541694198177","11.5472815747945","28.1743265496804"
"A1_42","212","0.235360593472991","4.23387265919431","6.69088222936675"
"A1_43","2024","2.24702755277988","0.444845014775087","0.967841550852989"
"A1_44","1983","2.20150970215538","0.452387579969728","0.841812408310005"
"A2_11","393","0.43630525110795","2.26415307375","4.33707512402237"
"A2_12","75","0.0832643608984638","11.5946356191892","14.7457455812834"
"A2_13",NA,NA,NA,NA
"A2_14","17","0.0188732551369851","53.5968306725","47.0865091028449"
"A2_21","3086","3.42605090310213","0.291842858359806","0.399205161514229"
"A2_22","17001","18.8743653284638","0.0529828297347059","0.0481912076404218"
"A2_23","1987","2.20595046806997","0.451798044410876","0.76494874790333"
"A2_24","28","0.0310853614020932","30.4610909337037","47.3153207533717"
"A2_31","263","0.291980358883947","3.27319884614504","7.73394477359237"
"A2_32","442","0.490704633561613","2.03347116643991","2.34552665378354"
"A2_33","1541","1.71080506859377","0.584532720149351","0.880527152454606"
"A2_34","6909","7.67031292596649","0.130367293206427","0.114387888652339"
"A2_41","4979","5.52764337217935","0.180874795685014","0.223539576027371"
"A2_42","4249","4.71720359276764","0.211807156574859","0.25133328005226"
"A2_43","6098","6.76994763678443","0.147661172950631","0.340099365847652"
"A2_44","720","0.799337864625253","1.25009531344923","2.01988693481858"
"A3_11",NA,NA,NA,NA
"A3_12",NA,NA,NA,NA
"A3_13",NA,NA,NA,NA
"A3_14",NA,NA,NA,NA
"A3_21",NA,NA,NA,NA
"A3_22",NA,NA,NA,NA
"A3_23",NA,NA,NA,NA
"A3_24",NA,NA,NA,NA
"A3_31",NA,NA,NA,NA
"A3_32",NA,NA,NA,NA
"A3_33",NA,NA,NA,NA
"A3_34",NA,NA,NA,NA
"A3_41",NA,NA,NA,NA
"A3_42",NA,NA,NA,NA
"A3_43",NA,NA,NA,NA
"A3_44",NA,NA,NA,NA
"A4_11","1641","1.82182421645839","0.547754554676829","1.18210125380981"
"A4_12","860","0.954764671635719","1.04741849526193","1.71257328646771"
"A4_13","1376","1.52762347461715","0.653152103970909","1.77345720721985"
"A4_14","151","0.167638913275574","5.8892454796","12.0822034702823"
"A4_21","2087","2.31696961593459","0.430115310877277","0.895968630898394"
"A4_22","3735","4.1465651727435","0.241075466754151","0.407881628183768"
"A4_23","1219","1.3533234124697","0.737226628045977","1.31456871028558"
"A4_24","16","0.017763063658339","51.5592114166667","56.8309280198921"
"A4_31","1358","1.50764002800152","0.662384411628592","1.73801484211724"
"A4_32","918","1.0191557773972","0.980768261962923","2.45274586860898"
"A4_33","1098","1.21899024355351","0.805456280319052","2.80566118078491"
"A4_34","1459","1.61976936734478","0.617654449869685","0.956888989277317"
"A4_41","670","0.743828290692944","1.33745651572496","3.2282844422942"
"A4_42","2266","2.51569389061225","0.397248800763797","0.669984532770157"
"A4_43","1285","1.42659605006035","0.699533861066978","0.931639763328213"
"A4_44","229","0.254233848609976","3.87468168179825","9.02154067513423"
"A5_11","983","1.0913182235092","0.914500076558045","1.19796332964285"
"A5_12","1606","1.78296751470577","0.558633958080997","1.41366433322305"
"A5_13","242","0.268666337832377","3.7193074719917","8.86795688619998"
"A5_14","221","0.245352316780807","4.04033056936364","4.93089278377898"
"A5_21","163","0.180961211019328","5.52538878932099","8.54582543187985"
"A5_22","2356","2.61561112369041","0.381529716203822","0.686588009166963"
"A5_23","11046","12.2631750731258","0.0815239776713445","0.117796630900891"
"A5_24","348","0.386346634568872","2.56872159342939","4.19097095684056"
"A5_31","132","0.146545275181296","6.47916628938931","14.2671026036972"
"A5_32","203","0.225368870165175","4.43607865509901","6.01967428491075"
"A5_33","41","0.0455178506244936","21.1014330605","22.4745930612132"
"A5_34","516","0.572858802981431","1.74221227190291","1.78432321472852"
"A5_41","1145","1.27116924304988","0.783359621835664","1.74703835118231"
"A5_42","334","0.370803953867826","2.63720758396396","4.35730499808179"
"A5_43","208","0.230919827558406","4.32716405801932","9.75495570791533"
"A5_44","65","0.072162446112002","13.8590991620313","17.3288086317601"
"A6_11",NA,NA,NA,NA
"A6_12",NA,NA,NA,NA
"A6_13",NA,NA,NA,NA
"A6_14",NA,NA,NA,NA
"A6_21",NA,NA,NA,NA
"A6_22",NA,NA,NA,NA
"A6_23",NA,NA,NA,NA
"A6_24",NA,NA,NA,NA
"A6_31",NA,NA,NA,NA
"A6_32",NA,NA,NA,NA
"A6_33",NA,NA,NA,NA
"A6_34",NA,NA,NA,NA
"A6_41",NA,NA,NA,NA
"A6_42",NA,NA,NA,NA
"A6_43",NA,NA,NA,NA
"A6_44",NA,NA,NA,NA
"A7_11","113","0.125451637087019","7.97293970321429","10.4387611283672"
"A7_12","653","0.724955035555958","1.37597240756135","2.50122838809755"
