"file= Kcnt1Y777H_20170817_500659_DIV19"
" "
"recording time (s): [5.91e-06 ,903]"
" "
"Network Spike analysis at well level"
"well","n","peak.m","peak.sd","durn.m","durn.sd","percent.of.spikes.in.ns","mean.spikes.in.ns","mean.insis","peak.min","peak.max","treatment","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92","t93","t94","t95","t96","t97","t98","t99","t100","t101","t102","t103","t104","t105","t106","t107","t108","t109","t110","t111","t112","t113","t114","t115","t116","t117","t118","t119","t120","t121","t122","t123","t124","t125","t126","t127","t128","t129","t130","t131","t132","t133","t134","t135","t136","t137","t138","t139","t140","t141","t142","t143","t144","t145","t146","t147","t148","t149","t150","t151","t152","t153","t154","t155","t156","t157","t158","t159","t160","t161","t162","t163","t164","t165","t166","t167","t168","t169","t170","t171","t172","t173","t174","t175","t176","t177","t178","t179","t180","t181","t182","t183","t184","t185","t186","t187","t188","t189","t190","t191","t192","t193","t194","t195","t196","t197","t198","t199","t200","t201"
"A1","49","9.30612244897959","5.05883748846451","0.0449684674735695","0.0270859762052547","13.4558720359197","19.5714285714286","17.568125","4","16","WT","0.0612244897959184","0.0204081632653061","0.0204081632653061","0","0","0.0204081632653061","0.122448979591837","0.0408163265306122","0.0204081632653061","0","0.0204081632653061","0.0816326530612245","0.0612244897959184","0.0204081632653061","0","0","0.0204081632653061","0.0204081632653061","0","0.0204081632653061","0.0204081632653061","0.285714285714286","0.346938775510204","0.489795918367347","0.510204081632653","0.36734693877551","0.428571428571429","0.204081632653061","0.142857142857143","0.183673469387755","0.428571428571429","0.428571428571429","0.387755102040816","0.408163265306122","0.36734693877551","0.326530612244898","0.244897959183673","0.244897959183673","0.244897959183673","0.448979591836735","0.448979591836735","0.428571428571429","0.510204081632653","0.530612244897959","0.510204081632653","1.04081632653061","1.10204081632653","1.16326530612245","1.18367346938776","1.20408163265306","1.71428571428571","1.48979591836735","1.3265306122449","1.81632653061224","1.85714285714286","2.20408163265306","2.22448979591837","3.06122448979592","3.18367346938776","2.89795918367347","2.69387755102041","2.91836734693878","2.89795918367347","2.44897959183673","2.77551020408163","3.10204081632653","2.89795918367347","2.91836734693878","2.85714285714286","3.44897959183673","3.22448979591837","3.08163265306122","3.10204081632653","3.24489795918367","3.18367346938776","3.22448979591837","3.44897959183673","3.14285714285714","3","2.6530612244898","2.79591836734694","2.87755102040816","3.12244897959184","2.6734693877551","2.77551020408163","2.69387755102041","2.10204081632653","2.14285714285714","1.85714285714286","1.6530612244898","1.6530612244898","1.38775510204082","0.816326530612245","1.22448979591837","0.979591836734694","0.775510204081633","0.959183673469388","1.20408163265306","1.73469387755102","4.79591836734694","9.30612244897959","7.30612244897959","6.6734693877551","5.73469387755102","5.26530612244898","4.38775510204082","3.40816326530612","3.02040816326531","2.40816326530612","2.3265306122449","1.87755102040816","1.6530612244898","1.57142857142857","1.18367346938776","1.44897959183673","1.69387755102041","1.46938775510204","1.81632653061224","1.81632653061224","1.89795918367347","2","1.57142857142857","1.20408163265306","1.38775510204082","1.22448979591837","1.14285714285714","0.979591836734694","1.02040816326531","1","0.897959183673469","1.06122448979592","1.24489795918367","1.22448979591837","1.18367346938776","0.693877551020408","0.897959183673469","0.959183673469388","0.63265306122449","0.653061224489796","0.755102040816326","0.836734693877551","0.877551020408163","1.24489795918367","0.918367346938776","0.938775510204082","1.10204081632653","1.08163265306122","1.10204081632653","1.02040816326531","0.918367346938776","0.673469387755102","0.591836734693878","0.244897959183673","0.571428571428571","0.693877551020408","0.63265306122449","0.510204081632653","0.428571428571429","0.428571428571429","0.448979591836735","0.653061224489796","0.469387755102041","0.326530612244898","0.183673469387755","0.306122448979592","0.244897959183673","0.326530612244898","0.326530612244898","0.326530612244898","0.428571428571429","0.551020408163265","0.612244897959184","0.469387755102041","0.326530612244898","0.285714285714286","0.36734693877551","0.489795918367347","0.551020408163265","0.653061224489796","0.489795918367347","0.428571428571429","0.428571428571429","0.387755102040816","0.346938775510204","0.285714285714286","0.244897959183673","0.204081632653061","0.204081632653061","0.224489795918367","0.183673469387755","0.122448979591837","0.244897959183673","0.163265306122449","0.285714285714286","0.428571428571429","0.408163265306122","0.408163265306122","0.122448979591837","0.102040816326531","0.163265306122449","0.163265306122449"
"A2","41","11.0243902439024","5.48401223958357","0.0494296171308366","0.0281383805908294","12.9287853898927","32.6341463414634","19.70825","4","16","WT","0","0","0","0","0.024390243902439","0","0","0","0","0","0","0","0","0","0.024390243902439","0","0.024390243902439","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.024390243902439","0","0","0","0","0.024390243902439","0","0","0","0","0","0.024390243902439","0","0.024390243902439","0","0","0","0","0","0.024390243902439","0.365853658536585","0.658536585365854","0.75609756097561","0.780487804878049","0.829268292682927","1","1.07317073170732","1.07317073170732","1.26829268292683","1.82926829268293","2.04878048780488","2.36585365853659","2.39024390243902","2.63414634146341","2.8780487804878","3.36585365853659","3.78048780487805","3.75609756097561","4.29268292682927","4.24390243902439","4","3.85365853658537","3.19512195121951","2.73170731707317","2.36585365853659","2.48780487804878","2.41463414634146","2.02439024390244","2.26829268292683","2.09756097560976","2.36585365853659","2.36585365853659","2.46341463414634","2.29268292682927","2.48780487804878","2.1219512195122","2.51219512195122","2.04878048780488","2","1.63414634146341","1.65853658536585","1.36585365853659","1.53658536585366","1.24390243902439","1.5609756097561","2.04878048780488","4.51219512195122","7.60975609756098","11.0243902439024","9.48780487804878","9.09756097560976","8.46341463414634","6.8780487804878","5.5609756097561","4.04878048780488","3.24390243902439","2.97560975609756","2.17073170731707","2.09756097560976","2.24390243902439","2.26829268292683","2.75609756097561","3","3.34146341463415","2.97560975609756","3.07317073170732","2.92682926829268","2.65853658536585","2.70731707317073","2.14634146341463","2.63414634146341","2.04878048780488","1.90243902439024","1.65853658536585","1.68292682926829","1.26829268292683","1.60975609756098","1.34146341463415","1.39024390243902","1.31707317073171","1.09756097560976","0.975609756097561","0.707317073170732","0.878048780487805","0.829268292682927","0.804878048780488","0.780487804878049","0.463414634146341","0.390243902439024","0.463414634146341","0.609756097560976","0.390243902439024","0.414634146341463","0.341463414634146","0.195121951219512","0.439024390243902","0.268292682926829","0.219512195121951","0.219512195121951","0.292682926829268","0.0487804878048781","0.0487804878048781","0.0731707317073171","0","0.0975609756097561","0.121951219512195","0.0731707317073171","0.0487804878048781","0.121951219512195","0.0975609756097561","0.0975609756097561","0.0975609756097561","0.0975609756097561","0.0731707317073171","0","0.0731707317073171","0","0.024390243902439","0.024390243902439","0","0.024390243902439","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.024390243902439","0","0","0.024390243902439","0","0","0","0","0","0","0","0","0","0"
"A3","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A4","98","11.4183673469388","5.77396122560579","0.0612576805280887","0.0385052152492009","9.56389389327204","31.4183673469388","9.18505154639175","4","16","HOM","0.13265306122449","0.122448979591837","0.0612244897959184","0.142857142857143","0.13265306122449","0.204081632653061","0.23469387755102","0.285714285714286","0.224489795918367","0.23469387755102","0.295918367346939","0.387755102040816","0.377551020408163","0.336734693877551","0.479591836734694","0.438775510204082","0.387755102040816","0.36734693877551","0.316326530612245","0.26530612244898","0.255102040816327","0.255102040816327","0.316326530612245","0.438775510204082","0.520408163265306","0.530612244897959","0.551020408163265","0.551020408163265","0.540816326530612","0.551020408163265","0.520408163265306","0.438775510204082","0.418367346938776","0.397959183673469","0.408163265306122","0.387755102040816","0.428571428571429","0.326530612244898","0.326530612244898","0.346938775510204","0.244897959183673","0.316326530612245","0.163265306122449","0.102040816326531","0.163265306122449","0.204081632653061","0.193877551020408","0.204081632653061","0.102040816326531","0.13265306122449","0.0816326530612245","0.102040816326531","0.142857142857143","0.102040816326531","0.122448979591837","0.112244897959184","0.0510204081632653","0.0918367346938776","0.0408163265306122","0.0714285714285714","0.0714285714285714","0.0306122448979592","0.0510204081632653","0.0816326530612245","0.0408163265306122","0.0612244897959184","0.0612244897959184","0.0714285714285714","0.112244897959184","0.0816326530612245","0.163265306122449","0.214285714285714","0.26530612244898","0.459183673469388","0.561224489795918","0.785714285714286","0.959183673469388","1.05102040816327","1.03061224489796","0.989795918367347","1","0.959183673469388","0.836734693877551","0.653061224489796","0.520408163265306","0.489795918367347","0.408163265306122","0.377551020408163","0.26530612244898","0.387755102040816","0.428571428571429","0.479591836734694","0.408163265306122","0.663265306122449","0.642857142857143","0.714285714285714","1.1530612244898","1.52040816326531","2.85714285714286","7.07142857142857","11.4183673469388","10.1530612244898","9.97959183673469","10","9.86734693877551","9.38775510204082","7.86734693877551","6.08163265306122","4.76530612244898","3.87755102040816","3.43877551020408","3.27551020408163","3.35714285714286","3.21428571428571","3.18367346938776","3.18367346938776","3.14285714285714","2.89795918367347","2.76530612244898","2.53061224489796","2.30612244897959","2.11224489795918","1.93877551020408","1.81632653061224","1.60204081632653","1.57142857142857","1.35714285714286","1.06122448979592","1.16326530612245","0.969387755102041","0.775510204081633","0.663265306122449","0.561224489795918","0.540816326530612","0.387755102040816","0.428571428571429","0.255102040816327","0.193877551020408","0.336734693877551","0.26530612244898","0.193877551020408","0.153061224489796","0.13265306122449","0.163265306122449","0.142857142857143","0.0816326530612245","0.112244897959184","0.102040816326531","0.0918367346938776","0.204081632653061","0.153061224489796","0.214285714285714","0.204081632653061","0.438775510204082","0.377551020408163","0.438775510204082","0.469387755102041","0.397959183673469","0.428571428571429","0.397959183673469","0.336734693877551","0.295918367346939","0.285714285714286","0.26530612244898","0.346938775510204","0.214285714285714","0.244897959183673","0.255102040816327","0.224489795918367","0.204081632653061","0.275510204081633","0.224489795918367","0.193877551020408","0.255102040816327","0.23469387755102","0.26530612244898","0.520408163265306","0.540816326530612","0.530612244897959","0.479591836734694","0.642857142857143","0.642857142857143","0.571428571428571","0.561224489795918","0.510204081632653","0.510204081632653","0.469387755102041","0.479591836734694","0.448979591836735","0.581632653061224","0.5","0.530612244897959","0.622448979591837","0.693877551020408","0.642857142857143","0.693877551020408","0.724489795918367","0.744897959183674","0.806122448979592","0.704081632653061","0.63265306122449"
"A5","28","10.4642857142857","5.37126885386769","0.0477314213564214","0.0185336396925814","17.3817863397548","28.3571428571429","28.3618518518519","4","16","WT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.392857142857143","0.571428571428571","0.571428571428571","0.571428571428571","0.571428571428571","0.428571428571429","0.357142857142857","0.25","0.142857142857143","0.142857142857143","0.107142857142857","0.0714285714285714","0.107142857142857","0.0714285714285714","0.0714285714285714","0.571428571428571","0.678571428571429","0.964285714285714","1.14285714285714","1.42857142857143","1.96428571428571","2.35714285714286","2.67857142857143","2.89285714285714","3.32142857142857","3.17857142857143","2.67857142857143","2.35714285714286","2.17857142857143","1.42857142857143","1.25","1.46428571428571","1.89285714285714","2.67857142857143","3.46428571428571","3.42857142857143","3","2.5","2","1.5","1.42857142857143","1.17857142857143","0.928571428571429","0.785714285714286","0.892857142857143","0.714285714285714","0.857142857142857","0.714285714285714","0.5","0.75","0.785714285714286","0.678571428571429","0.571428571428571","0.428571428571429","0.464285714285714","0.857142857142857","0.5","0.464285714285714","0.642857142857143","0.464285714285714","1","1.28571428571429","1.42857142857143","1.42857142857143","1.42857142857143","1.28571428571429","1.21428571428571","0.964285714285714","0.571428571428571","0.75","0.535714285714286","0.464285714285714","0.25","0.392857142857143","0.142857142857143","0.428571428571429","0.428571428571429","0.821428571428571","2.96428571428571","7.64285714285714","10.4642857142857","9.25","8.42857142857143","7.28571428571429","4.89285714285714","3.53571428571429","2.57142857142857","1.71428571428571","1.17857142857143","1.14285714285714","1.10714285714286","1.17857142857143","1.03571428571429","1.10714285714286","1.25","1.28571428571429","1.42857142857143","1","1.25","0.964285714285714","0.928571428571429","0.821428571428571","0.642857142857143","0.821428571428571","0.428571428571429","0.642857142857143","0.285714285714286","0.571428571428571","0.464285714285714","0.464285714285714","0.75","0.642857142857143","0.357142857142857","0.571428571428571","0.607142857142857","0.75","0.571428571428571","0.428571428571429","0.607142857142857","0.714285714285714","0.392857142857143","0.464285714285714","0.392857142857143","0.5","0.535714285714286","0.607142857142857","0.678571428571429","0.678571428571429","0.607142857142857","0.25","0.107142857142857","0.178571428571429","0.0714285714285714","0.178571428571429","0.321428571428571","0.607142857142857","0.607142857142857","0.678571428571429","0.964285714285714","0.714285714285714","0.642857142857143","0.607142857142857","0.357142857142857","0.428571428571429","0.357142857142857","0.107142857142857","0.0714285714285714","0.0357142857142857","0.0357142857142857","0.0714285714285714","0.142857142857143","0.142857142857143","0.107142857142857","0.0357142857142857","0.0714285714285714","0.0357142857142857","0.0714285714285714","0.178571428571429","0.0714285714285714","0.214285714285714","0.178571428571429","0.178571428571429","0.0714285714285714","0.107142857142857","0.107142857142857","0","0.0714285714285714","0","0.0357142857142857","0","0.0357142857142857","0.0357142857142857","0","0","0.107142857142857","0.0357142857142857","0.0714285714285714","0.0714285714285714","0.0357142857142857","0","0"
"A6","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"HET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A7","104","11.9903846153846","5.47100954867589","0.0620163534382284","0.0332381684717169","13.1873407437498","34.3365384615385","8.66902912621359","4","16","HOM","0.163461538461538","0.0961538461538462","0.105769230769231","0.0865384615384615","0.0865384615384615","0.0673076923076923","0.0673076923076923","0.0384615384615385","0.0480769230769231","0.115384615384615","0.0865384615384615","0.0673076923076923","0.0576923076923077","0.0480769230769231","0.0288461538461538","0.0769230769230769","0.134615384615385","0.259615384615385","0.230769230769231","0.192307692307692","0.192307692307692","0.240384615384615","0.173076923076923","0.144230769230769","0.163461538461538","0.144230769230769","0.105769230769231","0.0576923076923077","0.0480769230769231","0.0480769230769231","0.115384615384615","0.0192307692307692","0.0673076923076923","0.0769230769230769","0.153846153846154","0.221153846153846","0.201923076923077","0.182692307692308","0.182692307692308","0.115384615384615","0.0384615384615385","0.115384615384615","0.0673076923076923","0.0480769230769231","0.0384615384615385","0.0288461538461538","0.0192307692307692","0.0288461538461538","0.0288461538461538","0.0673076923076923","0.0769230769230769","0.115384615384615","0.105769230769231","0.0961538461538462","0.0961538461538462","0.0769230769230769","0.201923076923077","0.0961538461538462","0.163461538461538","0.307692307692308","0.480769230769231","0.644230769230769","0.778846153846154","0.798076923076923","0.788461538461538","0.769230769230769","0.730769230769231","0.701923076923077","0.538461538461538","0.375","0.269230769230769","0.278846153846154","0.317307692307692","0.519230769230769","0.576923076923077","0.634615384615385","0.730769230769231","0.692307692307692","0.778846153846154","1.15384615384615","1.71153846153846","2.5","3.27884615384615","3.65384615384615","4.19230769230769","4.29807692307692","4.14423076923077","3.92307692307692","3.56730769230769","3.10576923076923","2.45192307692308","2.04807692307692","1.65384615384615","1.20192307692308","1.05769230769231","0.884615384615385","1.16346153846154","2.17307692307692","5.42307692307692","8.96153846153846","11.9903846153846","10.8557692307692","10.8653846153846","10.3076923076923","9.55769230769231","8.07692307692308","6.31730769230769","4.46153846153846","2.74038461538462","1.76923076923077","1.43269230769231","1.03846153846154","0.980769230769231","0.913461538461538","1.10576923076923","1.28846153846154","1.15384615384615","1.28846153846154","1.39423076923077","1.00961538461538","1.125","0.865384615384615","0.711538461538462","0.711538461538462","0.548076923076923","0.634615384615385","0.605769230769231","0.528846153846154","0.278846153846154","0.451923076923077","0.307692307692308","0.336538461538462","0.269230769230769","0.230769230769231","0.134615384615385","0.25","0.201923076923077","0.105769230769231","0.25","0.201923076923077","0.105769230769231","0.144230769230769","0.240384615384615","0.221153846153846","0.298076923076923","0.259615384615385","0.221153846153846","0.134615384615385","0.0673076923076923","0.0961538461538462","0.0769230769230769","0.105769230769231","0.0673076923076923","0.115384615384615","0.0865384615384615","0.105769230769231","0.115384615384615","0.144230769230769","0.182692307692308","0.25","0.201923076923077","0.173076923076923","0.288461538461538","0.25","0.432692307692308","0.394230769230769","0.394230769230769","0.336538461538462","0.307692307692308","0.221153846153846","0.269230769230769","0.25","0.240384615384615","0.182692307692308","0.153846153846154","0.211538461538462","0.0961538461538462","0.192307692307692","0.125","0.192307692307692","0.25","0.336538461538462","0.326923076923077","0.375","0.259615384615385","0.269230769230769","0.153846153846154","0.259615384615385","0.25","0.221153846153846","0.153846153846154","0.240384615384615","0.230769230769231","0.269230769230769","0.221153846153846","0.230769230769231","0.221153846153846","0.211538461538462","0.269230769230769","0.230769230769231","0.230769230769231"
"A8","32","12.09375","5.25086398420728","0.0453877632783883","0.015734420443091","17.599627849279","35.46875","28.2654838709677","4","16","HOM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.125","0.46875","0.5","0.5","0.5","0.46875","0.34375","0.125","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.0625","0.1875","0.59375","1","1.15625","1.75","1.625","1.8125","2","2.34375","2.3125","2.3125","2.65625","2.375","1.90625","1.96875","1.34375","1.1875","1.25","1.46875","1.5625","1.5","1.21875","1.375","1.375","1","0.90625","0.90625","1.125","0.9375","0.90625","0.84375","0.84375","0.6875","0.625","0.71875","0.75","0.9375","4.59375","9.3125","12.09375","10.90625","10.40625","8.15625","4.0625","2.15625","1.5625","1.5","1.28125","1.5","1.5","1.3125","1.4375","1.28125","1.5625","1.65625","2","2.125","2.09375","2.28125","1.34375","0.8125","0.96875","1.1875","0.96875","0.78125","0.875","0.8125","0.78125","0.9375","0.8125","0.71875","0.5","0.625","0.46875","0.375","0.53125","0.25","0.21875","0.03125","0","0.09375","0.0625","0.03125","0.03125","0","0.0625","0.1875","0.15625","0.1875","0.125","0.15625","0.21875","0.34375","0.34375","0.28125","0.1875","0.0625","0.03125","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03125","0.03125","0.09375","0.09375","0","0.125","0.03125","0.03125","0","0.0625","0","0.03125","0","0","0","0","0","0","0.03125","0","0","0","0","0","0","0","0","0","0"
"B1","4","4.25","0.5","0.0120833333333334","0.00209717623201965","0.108053136718998","4.25","188.39","4","5","","0","0","0.25","0","0","0","0.25","0.5","0","0","0.25","0","0","0.25","0","0","0.5","0","0.25","0.25","0.25","0","0.25","0.5","0","0","0.25","0","0.5","0.25","0","0.25","0","0","0.5","0.5","0.5","0.75","0","0.5","0","0.25","0.25","0.25","0","0.25","0.25","0","0.25","0.25","0.25","0.25","0","0","0","0.25","0.5","0","0","0.25","0","0","0","0","0.25","0","0.25","0.75","0.25","0.25","0.5","0","0.25","0","0","0.25","0.25","0","0.75","1","0.25","0.25","0.75","0.25","0.25","0.5","0.25","0.5","0","0.25","0.25","0.25","0.25","0.5","0.25","0.5","0.5","1","0.25","0.75","4.25","0.25","1","1","0","0.75","0.5","0.5","0","0.5","0.25","0","0.25","0","0","0","0","0.25","0.75","0","0.25","0","0.25","0","0","0","0.25","0","0.25","0.25","0","0","0.5","0","0","0","0","0.25","0","0","0","0","0","0.25","0","0","0","0.25","0.25","0","0","0","0","0","0","0.5","0.25","0","0.25","0","0.5","0.25","0","0","0.25","0.25","0","0","0","0","0","0","0","0","0","0.25","0.25","0.25","0","0.5","0","0","0.25","0","0.25","0.25","0","0","0","0","0.25","0","0","0.25","0","0.25","0","0","0.25","0","0.5"
"B2","98","14.5612244897959","3.68352791038843","0.0768662030996215","0.02356918375814","10.8519589797528","42.1122448979592","9.13030927835051","4","16","WT","0.102040816326531","0.142857142857143","0.112244897959184","0.153061224489796","0.112244897959184","0.112244897959184","0.183673469387755","0.0714285714285714","0.0204081632653061","0.0408163265306122","0.112244897959184","0.0612244897959184","0.102040816326531","0.0408163265306122","0.0510204081632653","0.0102040816326531","0.0510204081632653","0.0510204081632653","0.0816326530612245","0.0714285714285714","0.0408163265306122","0.224489795918367","0.204081632653061","0.224489795918367","0.183673469387755","0.193877551020408","0.193877551020408","0.193877551020408","0.13265306122449","0.122448979591837","0.255102040816327","0.224489795918367","0.244897959183673","0.295918367346939","0.295918367346939","0.275510204081633","0.295918367346939","0.255102040816327","0.346938775510204","0.418367346938776","0.530612244897959","0.551020408163265","0.561224489795918","0.561224489795918","0.489795918367347","0.438775510204082","0.428571428571429","0.438775510204082","0.438775510204082","0.520408163265306","0.520408163265306","0.571428571428571","0.551020408163265","0.459183673469388","0.428571428571429","0.357142857142857","0.336734693877551","0.306122448979592","0.275510204081633","0.275510204081633","0.224489795918367","0.224489795918367","0.316326530612245","0.346938775510204","0.346938775510204","0.387755102040816","0.295918367346939","0.326530612244898","0.244897959183673","0.23469387755102","0.295918367346939","0.275510204081633","0.336734693877551","0.663265306122449","0.785714285714286","0.877551020408163","1.04081632653061","1.09183673469388","1.08163265306122","1.04081632653061","0.908163265306122","0.918367346938776","1.02040816326531","0.826530612244898","0.877551020408163","0.724489795918367","0.806122448979592","0.714285714285714","0.704081632653061","0.653061224489796","0.489795918367347","0.551020408163265","0.357142857142857","0.408163265306122","0.540816326530612","0.673469387755102","0.76530612244898","1.63265306122449","4.77551020408163","9.75510204081633","14.5612244897959","14.0204081632653","13.9285714285714","13.6326530612245","12.9183673469388","11.6122448979592","9.18367346938776","6.72448979591837","4.37755102040816","3.31632653061224","2.81632653061224","2.42857142857143","2.83673469387755","2.80612244897959","2.5","2.43877551020408","2.09183673469388","1.61224489795918","1.59183673469388","1.31632653061224","1.1734693877551","0.908163265306122","0.877551020408163","0.693877551020408","0.663265306122449","0.612244897959184","0.551020408163265","0.469387755102041","0.357142857142857","0.346938775510204","0.418367346938776","0.316326530612245","0.306122448979592","0.336734693877551","0.306122448979592","0.295918367346939","0.346938775510204","0.357142857142857","0.244897959183673","0.275510204081633","0.214285714285714","0.193877551020408","0.23469387755102","0.224489795918367","0.224489795918367","0.183673469387755","0.193877551020408","0.326530612244898","0.428571428571429","0.36734693877551","0.36734693877551","0.469387755102041","0.357142857142857","0.428571428571429","0.336734693877551","0.408163265306122","0.428571428571429","0.489795918367347","0.540816326530612","0.520408163265306","0.612244897959184","0.612244897959184","0.63265306122449","0.622448979591837","0.581632653061224","0.530612244897959","0.540816326530612","0.520408163265306","0.510204081632653","0.520408163265306","0.479591836734694","0.530612244897959","0.448979591836735","0.479591836734694","0.408163265306122","0.438775510204082","0.377551020408163","0.479591836734694","0.418367346938776","0.540816326530612","0.418367346938776","0.479591836734694","0.479591836734694","0.428571428571429","0.448979591836735","0.357142857142857","0.336734693877551","0.316326530612245","0.306122448979592","0.23469387755102","0.255102040816327","0.23469387755102","0.13265306122449","0.193877551020408","0.102040816326531","0.214285714285714","0.102040816326531","0.142857142857143","0.0714285714285714","0.13265306122449","0.112244897959184"
