"recording time (s): [303.00088628 ,1204]"
" "
"Spike statistics for wells"
"","treatment","nAE","nspikes_by_well","meanfiringrate_by_well","meanfiringrate_by_all_ectctordes","meanfiringrate_by_active_electordes","sdfiringrate_by_active_electordes","meanisis","sdisis"
"A1","WT","16","70776","78.5746568744521","4.91091605465326","4.91091605465326","1.68399250405343","0.202981641116591","0.875881896862923"
"A2","WT","16","44553","49.4622002900342","3.09138751812714","3.09138751812714","1.81095901939471","0.319631421495835","1.63361461446774"
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A4","HOM","16","46748","51.899062670494","3.24369141690588","3.24369141690588","1.4404094750859","0.303601542463836","1.59503734745654"
"A5","WT","16","41648","46.2371045199952","2.8898190324997","2.8898190324997","1.76814075400025","0.343266372711616","1.28610135164432"
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A7","HOM","16","69539","77.201354475988","4.82508465474925","4.82508465474925","2.44763689445889","0.206913279911684","0.937343816802672"
"A8","HOM","16","101324","112.488676008067","7.03054225050422","7.03054225050422","8.72074360981703","0.141068149304004","0.92948460902934"
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","WT","16","146633","162.790178329823","10.1743861456139","10.1743861456139","6.83230467220925","0.0981854524116576","0.419590977769724"
"B3","HET","7","13148","14.5967501495605","0.912296884347533","2.08525002136579","1.70391388687919","0.45615771428354","2.26312853653567"
"B4","HOM","16","98234","109.058195481589","6.8161372175993","6.8161372175993","4.01361951519578","0.145824041219023","0.722380193461263"
"B5","WT","16","86760","96.319899830839","6.01999373942744","6.01999373942744","4.79377695606099","0.165214449485959","0.636866841819784"
"B6","HET","10","15472","17.1768267655918","1.07355167284949","1.71768267655918","1.36791273121511","0.552635871218471","2.38694574678757"
"B7","HOM","15","37070","41.154664439018","2.57216652743863","2.74364429593453","1.77299265862913","0.364416333552287","1.44488277700178"
"B8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1","HOM","16","222841","247.395375728492","15.4622109830308","15.4622109830308","5.09696909607631","0.0646191917553686","0.311583938699811"
"C2","WT","16","187418","208.069190715724","13.0043244197327","13.0043244197327","7.46199727880007","0.076868179276155","0.321254870087899"
"C3","HET","7","17024","18.8998383439396","1.18123989649623","2.69997690627709","2.29312926412913","0.324272292013281","3.12850129241648"
"C4","HOM","16","181465","201.460242309857","12.5912651443661","12.5912651443661","8.128984685721","0.0790414770333262","0.530337319195919"
"C5","WT","16","129621","143.903662240355","8.99397889002218","8.99397889002218","8.69525699510431","0.110989995920065","0.530100652927091"
"C6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7","HOM","16","86800","96.3643073457449","6.02276920910906","6.02276920910906","3.75300057151666","0.164884534426968","0.910697428532556"
"C8","WT","16","41946","46.567940506044","2.91049628162775","2.91049628162775","4.47074974599122","0.340787017601479","1.83063205140759"
"D1","WT","16","113769","126.304964083157","7.89406025519733","7.89406025519733","5.03137379000229","0.12606613457333","0.657476374578304"
"D2","WT","16","93906","104.253302368773","6.51583139804833","6.51583139804833","3.47966249153045","0.152925029727021","0.720787738756494"
"D3","HET","7","15764","17.5010016244046","1.09381260152529","2.50014308920066","2.61887852087839","0.39924077022847","2.94094330076976"
"D4","HOM","16","118102","131.115408135336","8.1947130084585","8.1947130084585","4.08252959314061","0.121854578054469","0.482951150583016"
"D5","WT","16","83693","92.9149536254312","5.80718460158945","5.80718460158945","6.1591228381701","0.170264524517729","1.00141070788328"
"D6","HET","15","90760","100.760651321426","6.29754070758915","6.71737675476176","7.29123413658305","0.140341346556725","0.999168388122638"
"D7","HOM","16","100872","111.986871089631","6.99917944310194","6.99917944310194","6.27397805121931","0.142674493348537","0.904715803586408"
"D8","HOM","16","59153","65.670943230678","4.10443395191737","4.10443395191737","3.33027807694388","0.24137935622436","1.04235544377844"
"E1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2","WT","16","101559","112.749570158139","7.04684813488372","7.04684813488372","6.89204452470063","0.141583275424401","0.670790798189562"
"E3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E4","HOM","16","142469","158.167356028121","9.88545975175758","9.88545975175758","4.41279929635537","0.100902806527978","0.500342976772963"
"E5","WT","16","68770","76.3476200019225","4.77172625012016","4.77172625012016","6.42284614922738","0.209029364604532","0.75529500247051"
"E6","HET","5","6654","7.38719010459201","0.461699381537001","1.4774380209184","0.811481039856884","0.675253164453301","1.24526483147233"
"E7","HOM","16","102679","113.992980575504","7.124561285969","7.124561285969","4.09792120801659","0.139153188727682","0.801863641822034"
"E8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F1","HOM","16","65153","72.332070466559","4.52075440415994","4.52075440415994","4.89425174633013","0.219647271619203","0.729857365044869"
"F2","WT","16","87250","96.863891888436","6.05399324302725","6.05399324302725","6.76105918845077","0.164721413226724","0.866049253584101"
"F3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F4","HOM","16","118463","131.516185957362","8.21976162233509","8.21976162233509","5.33023575098802","0.121463762934899","0.470505021793958"
"F5","WT","16","42904","47.6315004880396","2.97696878050248","2.97696878050248","2.89488748805725","0.335005801717963","1.46221040808589"
"F6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"F7","HOM","16","139486","154.855665604016","9.67847910025099","9.67847910025099","5.84494400584532","0.102712894220764","0.619394531641874"
"F8","WT","16","50649","56.2299055616893","3.51436909760558","3.51436909760558","2.22847455996431","0.28275123855213","1.07584780717905"
" "
"Spike statistics for electrodes"
"electrode","nspikes","meanfiringrate","meanisis","sdisis"
"A1_11","3974","4.4118866058985","0.225913449718097","0.949561351457388"
"A1_12","5637","6.25812903811018","0.159237918250532","0.829359965819446"
"A1_13","4664","5.17791623802482","0.192421460859961","0.882061333423495"
"A1_14","6199","6.8820546225377","0.14490874321394","0.675387083423952"
"A1_21","2532","2.81099569354178","0.354594362931648","1.30131886135636"
"A1_22","1360","1.50985550679969","0.66024035924209","1.62591750962927"
"A1_23","3592","3.98779483854742","0.2501107660401","0.91055186013671"
"A1_24","3566","3.9589299538586","0.251751891248247","1.07385790780496"
"A1_31","5048","5.6042283811212","0.178008206500892","0.680485301333435"
"A1_32","5678","6.3036467408887","0.158093126299102","0.862243770358113"
"A1_33","2956","3.28171535154403","0.303681757204738","1.09516555561032"
"A1_34","5654","6.27700223194518","0.158879057921458","0.692050499679853"
"A1_41","2691","2.98751556529262","0.333605396282528","1.22228070697466"
"A1_42","5277","5.85846140395733","0.170126923910159","0.746762344230089"
"A1_43","6705","7.443809686097","0.133895786033711","0.659289428580058"
"A1_44","5243","5.82071501628733","0.17133106958222","0.647255127573584"
"A2_11","1916","2.12711996399133","0.464245067806788","2.0474692294829"
"A2_12","681","0.756037941272492","1.30627920242647","3.4937201406693"
"A2_13","545","0.605052390592523","1.63315180185662","3.85244866948248"
"A2_14","396","0.439634397568145","2.24878062379747","4.40620121771843"
"A2_21","4655","5.167924547171","0.190931065195531","1.38093614213239"
"A2_22","4621","5.130178159501","0.194302617034632","0.675090365489004"
"A2_23","2762","3.06633890425055","0.321835237519015","1.76941924081568"
"A2_24","1518","1.68526519067789","0.585750513454186","2.37741783762364"
"A2_31","3964","4.40078472717204","0.224220222424931","1.23376629578618"
"A2_32","1311","1.45545630104","0.678105280770992","2.5886229291765"
"A2_33","1814","2.01388080098135","0.490050099851076","2.19111416790721"
"A2_34","3087","3.42714996286077","0.28793169301685","1.66944698438285"
"A2_41","4778","5.30447765550656","0.186018698526272","1.3251622782078"
"A2_42","3795","4.21316297669472","0.234228569275171","1.19441130278183"
"A2_43","5067","5.62532195070149","0.177024970248717","0.559740689709678"
"A2_44","3643","4.0444144200524","0.244364891076332","1.41555027590949"
"A3_11",NA,NA,NA,NA
"A3_12",NA,NA,NA,NA
"A3_13",NA,NA,NA,NA
"A3_14",NA,NA,NA,NA
"A3_21",NA,NA,NA,NA
"A3_22",NA,NA,NA,NA
"A3_23",NA,NA,NA,NA
"A3_24",NA,NA,NA,NA
"A3_31",NA,NA,NA,NA
"A3_32",NA,NA,NA,NA
"A3_33",NA,NA,NA,NA
"A3_34",NA,NA,NA,NA
"A3_41",NA,NA,NA,NA
"A3_42",NA,NA,NA,NA
"A3_43",NA,NA,NA,NA
"A3_44",NA,NA,NA,NA
"A4_11","2292","2.54455060410654","0.390382157525098","2.05559847894838"
"A4_12","4842","5.37552967935595","0.185893377178269","0.518790058810404"
"A4_13","5758","6.39246177070045","0.156445300887615","0.355314011390201"
"A4_14","4445","4.93478509391516","0.202672440920342","0.319191983399052"
"A4_21","2805","3.11407698277436","0.313726337603424","1.83953132800681"
"A4_22","3818","4.2386972977656","0.235962687712863","1.14341314226211"
"A4_23","2464","2.73550291820179","0.357164659366626","1.96576126008952"
"A4_24","1193","1.32445413206767","0.73795990159396","2.79706502009785"
"A4_31","2381","2.6433573247721","0.369686656415966","1.98435633301344"
"A4_32","1691","1.87732769264579","0.520513840319527","2.37571366137112"
"A4_33","3859","4.28421500054412","0.231899700811301","1.4962505596585"
"A4_34","2018","2.2403591270013","0.436159571313832","2.10078578438595"
"A4_41","1587","1.76186815389052","0.55463794575662","2.22740187490574"
"A4_42","2080","2.30919077510541","0.423118439066859","2.13077464046125"
"A4_43","2149","2.38579373831804","0.409522342099628","2.11339244087884"
"A4_44","3366","3.73689237932923","0.261425993013373","1.66245789163532"
"A5_11","3145","3.49154085947428","0.284084856211832","1.06206993292564"
"A5_12","2066","2.29364814488835","0.432430311782082","1.57171841684946"
"A5_13","1337","1.48432118572881","0.66843056010479","1.95102114780252"
"A5_14","2665","2.9586506806038","0.335204409380631","1.38965497357304"
"A5_21","1698","1.88509900775432","0.527192674266352","1.36691346848694"
"A5_22","4145","4.60172873212111","0.215707343371139","0.834289673265698"
"A5_23","6201","6.884274998283","0.144064213812903","0.688949011247134"
"A5_24","3394","3.76797763976334","0.263214100671972","0.987727912623167"
"A5_31","793","0.880378983008937","1.12734481041667","2.79555342278854"
"A5_32","2572","2.85540320844765","0.34733418571762","1.25072372554665"
"A5_33","603","0.669443287206039","1.47828414215947","3.14811129436283"
"A5_34","502","0.557314312068709","1.78216971996008","3.31459205680487"
"A5_41","5226","5.80184182245234","0.170981242687081","0.751040337293012"
"A5_42","1928","2.14044221846309","0.463372828437986","1.61596351220301"
"A5_43","2528","2.80655494205119","0.353338275053423","1.15285198458721"
"A5_44","2845","3.15848449768023","0.315075979110408","0.763214595746669"
"A6_11",NA,NA,NA,NA
"A6_12",NA,NA,NA,NA
"A6_13",NA,NA,NA,NA
"A6_14",NA,NA,NA,NA
"A6_21",NA,NA,NA,NA
"A6_22",NA,NA,NA,NA
"A6_23",NA,NA,NA,NA
"A6_24",NA,NA,NA,NA
"A6_31",NA,NA,NA,NA
"A6_32",NA,NA,NA,NA
"A6_33",NA,NA,NA,NA
"A6_34",NA,NA,NA,NA
"A6_41",NA,NA,NA,NA
"A6_42",NA,NA,NA,NA
"A6_43",NA,NA,NA,NA
"A6_44",NA,NA,NA,NA
"A7_11","6102","6.77436639889096","0.147562592202918","0.702372086565082"
"A7_12","3517","3.9045307480989","0.256052273680319","0.97619207707711"
"A7_13","3562","3.95448920236801","0.25279301625667","1.03071496440562"
"A7_14","446","0.495143791200486","2.00039272858427","4.36730973090126"
"A7_21","3512","3.89897980873567","0.256445673346625","0.911183430210252"
"A7_22","5411","6.007226578892","0.16643510457671","0.769547419029576"
"A7_23","3668","4.07216911686857","0.245511407496591","0.959967720292034"
"A7_24","2690","2.98640537741997","0.334772361271848","1.15913949929008"
"A7_31","5450","6.05052390592523","0.165240433118003","0.681500521154493"
"A7_32","3027","3.36053869050196","0.297537984332452","0.956596281006002"
"A7_33","5985","6.64447441779128","0.150471769346591","0.729763569081886"
"A7_34","8420","9.34778188768631","0.10694033663618","0.620634355252661"
"A7_41","759","0.842632595338944","1.17465400434037","2.75828999638445"
"A7_42","7669","8.51403079532854","0.117429027068336","0.605821178418339"
"A7_43","3677","4.0821608077224","0.244901414257345","0.966779055320264"
"A7_44","5644","6.26590035321871","0.159564818899522","0.749351437682276"
"A8_11","7624","8.46407234105944","0.118056901462679","0.476344212276194"
