"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33"
"A1","WT","0.0334988764044944","0.0272733333333333","0.0245932584269663","0.0164202247191011","0.0526933333333333","0.040476404494382","0.0535662921348315","0.0696966292134831","0.176939325842697"
"A2","Hom","0.0358134831460674","0.0387377777777778","0.0347797752808989","0.0316426966292135","0.0256355555555556","0.0394988764044944","0.049361797752809","0.0501887640449438","0.0383662921348315"
"A3","WT","0.0652202247191011","0.0963622222222222","0.0693213483146067","0.0263033707865169","0.0958244444444444","0.0596539325842697","0.0754337078651685","0.0454808988764045","0.0283033707865169"
"A4","Hom","0.0497730337078652","0.0347822222222222","0.0359056179775281","0.0405887640449438","0.0642933333333333","0.0498898876404494","0.034038202247191","0.0565191011235955","0.0388202247191011"
"A5","WT","0.0444022471910112","0.0687466666666667","0.0636224719101124","0.0421078651685393","0.0596822222222222","0.0597168539325843","0.0504943820224719","0.0746898876404494","0.0542943820224719"
"A6","Hom_G","0.0349955056179775","0.0350222222222222","0.0382606741573034","0.999912359550562","0.999971111111111","0.0477078651685393","0.0296876404494382","0.0276674157303371","0.0315460674157303"
"A7","WT_G","0.0521460674157303","0.0765355555555556","0.0683370786516854","0.0770674157303371","0.0572533333333333","0.0560831460674157","0.0612044943820225","0.0867528089887641","0.0530988764044944"
"A8","Hom_CTRL","0.0352449438202247","0.03534","0.0571797752808989","0.00621573033707865","0.0631933333333333","0.0224606741573034","0.0304808988764045","0.0393168539325843","0.0228404494382022"
"B1","Hom","0.039285393258427","0.0401777777777778","0.0622247191011236","0.0589932584269663","0.0581288888888889","0.0603460674157303","0.030838202247191","0.0545820224719101","0.0465213483146067"
"B2","WT","0.0310494382022472","0.06074","0.0422539325842697","0.0346808988764045","0.0860844444444444","0.0791056179775281","0.0573775280898876","0.0896629213483146","0.0660696629213483"
"B3","Hom","0.999995505617977","0.04742","0.034723595505618","0.027047191011236","0.0261711111111111","0.0519078651685393","0.0330988764044944","0.0290606741573034","0.0243325842696629"
"B4","WT","0.0277707865168539","0.0485022222222222","0.0541325842696629","0.0324404494382022","0.0573822222222222","0.0650786516853933","0.0663415730337079","0.0713505617977528","0.0625056179775281"
"B5","Hom","0.0346674157303371","0.0386933333333333","0.0410606741573034","0.0523056179775281","0.0520266666666667","0.0578808988764045","0.0684","0.0448786516853933","0.0493842696629213"
"B6","WT_G","0.0268292134831461","0.01402","0.0152089887640449","0.0293033707865169","0.0360133333333333","0.0512157303370787","0.0563550561797753","0.054238202247191","0.0583955056179775"
"B7","Hom_G","0.0219797752808989","0.0267733333333333","0.0282966292134831","0.0198898876404494","0.0526088888888889","0.0479415730337079","0.0330786516853933","0.0382786516853933","0.0394359550561798"
"B8","WT_CTRL","0.057323595505618","0.0792844444444444","0.0147865168539326","0.0134674157303371","0.0487177777777778","0.0165685393258427","0.0503370786516854","0.0135325842696629","0.0180696629213483"
"C1","WT","0.0455685393258427","0.0440577777777778","0.0593460674157303","0.0312314606741573","0.05656","0.0157415730337079","0.0297393258426966","0.0659955056179775","0.0298044943820225"
