"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33"
"A1","WT","212.871422629727","242.188446133885","222.643046068251","130.839455529428","237.079203218254","226.524037751595","199.783102582462","169.080861109912","141.121261368493"
"A2","Hom","137.070192080701","157.729812898787","166.560935507111","221.334311882738","148.550367351393","163.1284921404","206.746371913106","197.777198527312","195.182914922105"
"A3","WT","197.540572562711","252.573672418653","260.910302763264","206.698486668745","233.470146441844","235.907046531273","252.566132575025","170.206748888114","231.685229793958"
"A4","Hom","155.449319164388","211.810900227303","225.652580417083","217.524364195717","213.471269871783","206.983495537458","185.954861834304","189.105967768574","146.553180090813"
"A5","WT","189.422185690018","201.649164003255","237.13064869386","213.680841402291","238.444515315734","228.504907957546","223.139181788341","238.556857337428","228.501659727234"
"A6","Hom_G","118.680601105075","139.252194949478","150.340526511595","150.730040619336","178.785242943702","150.434482861183","117.408043568585","102.988485299983","109.756862290959"
"A7","WT_G","202.190819742342","231.620375042842","228.823375505598","214.283746777156","172.474187347678","175.249384928364","171.491882194326","162.782171359991","138.266338053236"
"A8","Hom_CTRL","132.48650340459","160.309308609246","202.344072678479","135.605207739447","208.838547019482","131.183220592793","162.146299952668","167.110573969265","129.058854945405"
"B1","Hom","140.449969958521","147.294535622897","178.824470351077","207.402942368507","181.622662252288","198.728770910683","151.442111520421","179.924642343603","161.033146665827"
"B2","WT","211.221618216232","218.914217132766","244.856533884998","238.177225832935","249.322573743227","238.029508482252","208.390856718726","200.682862821982","175.149306626398"
"B3","Hom","91.4128633903552","155.971130388268","180.240360268909","156.025024376033","189.623328854648","166.161832000488","165.708354814802","204.601551496712","209.669171569506"
"B4","WT","199.587507110928","253.415972063817","247.068304176441","210.487286891183","235.660963501435","233.025432502398","235.011190986002","230.871517745248","181.715269186789"
"B5","Hom","132.337094303871","161.951256408528","146.327541940605","142.443841147694","182.126325826902","180.549023021963","187.903215726695","168.056864766093","187.698050004155"
"B6","WT_G","227.086811126505","240.545352520483","192.320472613823","164.286417841824","162.102534971899","176.903627141365","212.074984098639","157.81926889659","215.768299584677"
"B7","Hom_G","182.913582235643","202.627188855116","227.807067067058","204.453988768356","222.524053620119","213.061448616535","191.506676738223","188.34023781462","162.029151151746"
"B8","WT_CTRL","159.64665195577","202.735713346107","144.482477094022","144.887648471931","199.486036021734","124.504463891083","210.784709510443","87.4056773817011","80.5524940883745"
"C1","WT","172.631882632309","215.230115770048","238.636924538911","209.439808916614","220.577443395605","142.394355606687","162.149151509142","213.689855429221","154.862700036472"
"C2","Hom","207.476111951779","199.189645393711","231.972033082542","253.295103689365","241.259789811172","208.052663356889","202.518316598448","207.199688238806","187.316371712785"
"C3","WT","218.99826801163","203.600057881063","264.028290962461","232.431220953621","185.967725999438","204.491942721629","242.848930914267","208.276810663534","193.755490473294"
"C4","Hom","176.695161456564","156.91895989289","173.449892932129","211.282822317305","215.22090014817","205.310770201344","188.967626028551","136.689067698038","133.056728639024"
"C5","WT","222.200532372659","240.122737418052","209.900123756888","220.233606889352","220.698670307197","229.741525940682","193.556867759061","175.625046898929","126.662808806821"
"C6","Hom_G","144.852992621707","175.821487478415","204.909326561777","207.555157356356","226.364219560372","209.565635172291","194.533301104018","225.239691462274","217.340245266277"
"C7","WT_G","182.612733503134","197.433676695255","203.63926342755","174.112859438814","191.100617523902","160.688370183666","174.952863679491","149.673456989683","141.736274751819"
"C8","Hom_CTRL","133.712784027996","169.810070881217","184.856983794084","165.225610935013","171.679684701507","171.576709731528","166.104217368624","167.625796764971","167.756512358605"
"D1","Hom","120.226918302642","124.583430693084","135.899507094508","179.852350481264","170.737915538948","163.238014313409","213.638621807939","172.552394793973","167.79754434558"
"D2","WT","234.824057591326","253.90789863272","234.307257876252","186.037521018788","209.211391575905","193.575109253398","186.630497368305","223.393772779482","207.385531684482"
"D3","Hom","186.568367666526","235.474197406089","247.84966142712","222.165376219543","240.790377645602","234.017232860102","180.987306379764","149.874197983802","133.881770927017"
"D4","WT","246.589206008309","251.929394656517","243.942218787715","208.511844024158","224.806462075451","245.38953941135","254.609668768613","213.490204365238","121.750383283599"
"D5","Hom","175.623466584065","174.96737880425","223.085684827468","232.463356748709","208.817735891778","176.356542347209","176.312145774702","217.192175348477","208.769133591769"
"D6","WT_G","179.301514117345","221.392037760487","226.997245713625","152.839689494744","181.904426551101","181.175509776813","153.710502069273","162.477638730785","142.013705165946"
"D7","Hom_G","204.147637819577","224.913410447619","232.369974862298","229.444527235714","244.682319636455","218.215327501767","206.461877359897","214.587366252014","154.732143245166"
"D8","WT_CTRL","165.945645673412","207.808403747434","210.232224461403","188.852178801869","209.190832012616","192.664042142044","189.179796255623","187.425712879025","180.678800944493"
"E1","WT","166.252789151978","156.768460577879","192.545858752127","201.473098178122","213.958613513831","203.851571315849","196.90584462365","201.370924054207","206.009550854835"
"E2","Hom","165.556875069914","203.948692093955","196.375230996837","204.074034818475","211.378403757048","216.734460901653","174.283554125773","186.954701640311","167.035090132411"
"E3","WT","173.48256761498","210.078875395685","141.992879394089","154.411556826285","177.090789079596","233.399305540841","184.127568955936","214.812874661677","144.735575866585"
"E4","Hom","201.010477954581","224.98492673625","218.213967027784","244.398247786068","226.96836265794","199.551726648946","195.237632816087","169.054831798673","152.203832743925"
"E5","WT","214.109575868353","214.244788285893","240.155939098995","169.749495513533","211.85566222177","210.752511265715","205.292434908729","194.552730220991","177.298576845206"
"E6","Hom_G","185.919886135862","187.692629986604","230.685666049381","172.582063463353","209.506341515821","162.699890812712","150.984382305775","135.544996883874","121.795318707053"
"E7","WT_G","222.910580488705","254.000392605924","229.87209463383","191.823937438129","196.172959399444","200.532338896226","183.74610413273","221.783174320116","136.770671068135"
"E8","Hom_CTRL","130.799072856761","150.514747194428","161.579807409172","188.00259499137","194.156278772915","193.119353941535","192.715499154453","164.090961594716","177.147606437289"
"F1","Hom","24.0728815323226","84.8256796414019","132.054224411529","148.557085316814","134.9507390026","155.579965122334","156.526509763107","151.316598666915","131.074097070181"
"F2","WT","229.315658356868","257.882111063484","244.336303870623","230.799076949401","222.966213782301","253.294141443181","249.906984861313","217.933592341907","219.797152567066"
"F3","Hom","160.983627803248","171.205617498984","175.829743998985","240.99207983487","224.17444693621","197.663257878911","202.07165547699","211.403770740783","186.252543339397"
"F4","WT","211.189436381027","244.054886658969","245.503103143441","153.787402210981","254.76452680626","231.765598948589","231.600265096278","238.280288680635","200.368959506473"
"F5","Hom","127.872697108368","144.290460135224","148.789415552371","162.822182460639","186.982780259337","195.917719481794","176.610313786507","128.519505205476","144.915107910157"
"F6","WT_G","172.22187468383","211.042852399121","211.263762866711","155.014402939766","133.982157522721","137.780936735003","147.618869179613","121.807013699042","174.770509736244"
"F7","Hom_G","113.644856149333","121.8167919076","134.587309907241","148.27179616043","188.975893414248","160.623953192643","156.074185820436","165.148506214566","131.456572429417"
"F8","WT_CTRL","129.993476388199","154.630756344099","121.279601650893","175.738772202368","208.250772102369","124.455526889377","117.078678388919","171.235537030542","169.381218407626"
