well,treatment,DIV17,DIV19,DIV21,DIV23,DIV25,DIV27,DIV29,DIV31,DIV33
A1,WT,47.81028596,59.5753775,46.19131765,50.135598,63.95860575,52.22503949,51.39964736,53.92539954,34.33497071
A2,HOM,45.97596193,57.5921736,67.40172347,55.02222744,91.24607813,73.6894537,54.1380008,62.09493688,68.63900185
A3,WT,44.80343498,48.02714559,49.69751079,57.17074174,82.76097518,60.33898005,64.18094425,64.84583897,60.89398178
A4,HOM,45.31666522,58.18805522,60.02944219,53.33623473,63.50851723,66.80433215,70.61876363,75.2656387,75.95782438
A5,WT,47.84897968,42.84368002,43.68651781,42.98876545,52.54329604,47.74293155,45.10306108,54.14934945,56.73344204
A6,HOM_G,40.10381684,53.33212916,57.21455065,4.531576925,8.238293551,71.26671879,72.64761996,70.71084942,63.62998527
A7,WT_G,45.59550026,44.04224676,50.1677126,60.39161019,77.31306204,66.34468326,68.76739874,65.76273468,61.35381992
A8,HOM_CTRL,47.23590289,58.01397332,41.80047482,56.80415689,44.84335763,51.29720085,54.35288753,59.56332473,56.06710496
B1,HOM,48.06741972,60.99351145,55.47751595,47.27778705,67.09962938,54.27534904,55.71355754,67.00200206,57.64382261
B2,WT,50.69161109,49.07258508,61.28854098,63.45968954,70.85253268,69.68869838,71.56747013,73.35320436,78.84224108
B3,HOM,6.087025752,50.51421929,51.94122076,63.31298295,74.11821528,53.50770603,67.38808269,70.38810245,69.57252639
B4,WT,53.90132696,54.28294636,55.06807727,62.65304072,65.87085864,59.97787282,57.93596723,63.19106054,58.27150683
B5,HOM,38.75958107,41.69306421,49.40969732,58.00514495,64.14987755,52.41334606,52.94925975,64.61382986,57.71265558
B6,WT_G,49.32679586,66.17037578,63.83050237,78.58358139,78.38144991,66.94446829,60.69667427,68.0930325,58.38372771
B7,HOM_G,54.37871942,61.81535873,61.59843526,78.24846475,68.3740878,66.69284257,71.65187725,82.23589611,86.3863935
B8,WT_CTRL,36.77180737,42.49734587,57.77373766,61.83128339,56.19412578,61.39555345,55.14733272,67.4788075,62.20127459
C1,WT,42.27158283,55.77739156,47.48150062,55.1986889,51.85038165,63.83723278,57.00161085,58.32395645,61.31821323
C2,HOM,54.83858131,5.601509441,5.356546933,4.704094922,6.933363927,110.540168,102.1417288,101.1937916,107.8267722
C3,WT,75.86296278,79.54549457,77.33593012,86.06411865,94.51482015,75.15207414,69.96702526,64.90818437,54.1149689
C4,HOM,43.30219093,55.99992831,68.41819207,58.72478147,70.56169994,63.82214463,62.54158293,71.31683564,62.54663894
C5,WT,45.59733781,51.45117656,64.46627283,60.17880184,52.65561879,46.64927444,39.05223232,43.07137378,34.69683156
C6,HOM_G,46.11217841,42.38307466,44.11469851,61.12116761,56.52491799,56.00892865,61.30547266,60.68127988,61.50012238
C7,WT_G,56.32398335,43.63355085,49.68952102,83.35861039,53.61665447,65.8313968,48.87744652,66.45641212,61.20305041
C8,HOM_CTRL,42.93253379,49.18012426,54.05115458,53.9574524,4.42674478,64.55198913,61.12974986,65.52341353,70.8810243
D1,HOM,45.52083287,51.36683936,70.19824182,56.48867804,67.29152153,69.36211937,50.94549435,69.14407965,4.917233351
D2,WT,65.03951316,84.07120801,87.59858283,104.1153041,101.0481248,64.77087906,75.09030961,71.99112701,39.65036415
D3,HOM,48.19996652,47.48803435,55.18275821,59.25303183,64.50677424,67.67929647,60.26875259,64.97263731,68.26605209
D4,WT,49.33279142,54.3998941,55.89728694,79.09596879,63.06022375,61.85724005,60.12830454,62.82800917,44.43680275
D5,HOM,43.77254279,55.59732194,61.07141486,60.9270373,77.41540324,76.76226552,76.98244183,66.62056259,62.36121459
D6,WT_G,48.86213585,57.44108162,62.49423606,78.66528576,63.37371776,70.55039363,64.06498427,71.17930461,73.76576781
D7,HOM_G,41.67192136,50.41580629,65.02711146,5.786514234,9.001142808,61.82654229,66.26016922,78.83359249,98.60592442
D8,WT_CTRL,31.94250484,33.31374783,35.38939269,37.38276662,41.2044859,35.45931389,34.38907616,42.06966711,39.85934932
E1,WT,41.59682527,42.97452968,46.28762687,42.57032967,67.39658081,61.96013775,51.53107944,50.96171263,55.21122437
E2,HOM,46.7079897,47.53343316,66.2836088,70.61707337,79.68395663,65.45665971,57.2136878,61.08761506,82.6423117
E3,WT,56.60989193,58.85794287,68.97812038,65.35901674,77.55807627,62.9275758,61.97180405,59.32627495,44.04098441
E4,HOM,56.99472802,67.4616842,73.5233904,60.83588945,87.87789922,75.34255575,79.98265607,85.17090964,73.91355924
E5,WT,56.74127075,62.94682466,64.38544453,69.62494125,78.13814186,60.99447494,59.82455891,55.58612647,46.95706318
E6,HOM_G,60.79604867,60.03869888,57.17142789,75.80815754,63.96309802,63.81482127,67.3760573,64.88351567,70.51026402
E7,WT_G,53.7623957,60.30298546,61.1461438,81.20525717,82.16742703,68.71929173,72.5039433,69.16541969,72.13873826
E8,HOM_CTRL,36.02689042,54.61833685,56.38188524,47.08064326,54.97090161,51.62491832,46.20437961,64.2095266,55.70274847
F1,HOM,4.658459077,5.12011378,36.04707476,37.92801209,44.3599029,49.2106971,48.38423026,47.68290288,6.805499063
F2,WT,3.678362665,3.175635433,2.224056583,2.846642433,3.50707554,6.489881142,5.672874026,10.5289447,8.188508307
F3,HOM,53.5657487,49.17882509,67.80041148,53.94980974,79.73770645,7.434904817,85.49272968,8.49166691,9.679350831
F4,WT,41.49369902,49.74908636,60.91156337,59.36849619,58.00609559,56.5448998,56.7419389,59.02037759,68.46685612
F5,HOM,4.176844615,51.71673165,56.46220939,61.36523066,61.01773363,63.91471254,60.60146651,67.86690492,65.8294907
F6,WT_G,45.27972268,52.8326161,52.96010247,60.57338335,51.57806098,54.83441047,64.73200185,54.95757921,52.96972433
F7,HOM_G,44.05820052,52.32179035,67.13329237,50.85984246,45.70310807,49.50100566,49.15717251,54.60881054,57.22190146
F8,WT_CTRL,42.20879152,41.17166328,49.17745192,39.50954922,52.50199032,49.99467297,48.65214177,49.57341627,40.17939206
