"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33"
"A1","WT","299.322580645161","341.020833333333","282.292682926829","348.448275862069","325.371134020619","274.265625","249.141509433962","188.683615819209","149.322738386308"
"A2","Hom","233.605263157895","239.450980392157","231.607476635514","337.824561403509","180.61","232.030864197531","356.790697674419","398.549450549451","435.850746268657"
"A3","WT","268.658914728682","335.75","348.666666666667","306.78","363.133891213389","377.081632653061","399.1875","410.256097560976","310.714285714286"
"A4","Hom","224.701754385965","331.909090909091","370.507936507937","376.144927536232","409.271186440678","450.689655172414","448.612903225806","434.046296296296","568.31746031746"
"A5","WT","248.239130434783","267.75572519084","300.481481481481","271","326.77","296.27","277.964285714286","335.806451612903","320.022988505747"
"A6","Hom_G","216.153846153846","274.573529411765","255.390243902439","364.4375","307.455357142857","333.650793650794","274.924369747899","527.297872340426","298.904109589041"
"A7","WT_G","286.03","311.909090909091","341.698275862069","454.511278195489","491.45045045045","472.152173913043","488.141414141414","425.444444444444","231.194968553459"
"A8","Hom_CTRL","186.445544554455","221.789473684211","286.37","296.714285714286","286.666666666667","358.282051282051","375.921568627451","373.142857142857","385"
"B1","Hom","207.612068965517","203.480225988701","255.662420382166","325.759615384615","307.798850574713","374.831683168317","392.52","370.889830508475","388.227848101266"
"B2","WT","285.701492537313","293.286885245902","375.65","410.847457627119","419.959064327485","433.897260273973","474.918367346939","349.121621621622","334.384615384615"
"B3","Hom","147.239726027397","244.010989010989","244.8","176","248.5","207.457746478873","212.362831858407","305","310.489361702128"
"B4","WT","293.6","354.512195121951","357.587628865979","400.446428571429","389.070707070707","339.587155963303","340.114035087719","300.593220338983","225.291390728477"
"B5","Hom","189.475","220.921348314607","170.97005988024","164.580357142857","249.192052980132","258.390243902439","280.852941176471","259.282051282051","252.25"
"B6","WT_G","321.586956521739","343.576923076923","391.214285714286","596.354166666667","349.357142857143","478.635294117647","309.565656565657","249.409395973154","315.779220779221"
"B7","Hom_G","271.765957446808","314.64406779661","381.941176470588","551.611111111111","487.612903225806","444.681818181818","503.175438596491","570.753846153846","450.133333333333"
"B8","WT_CTRL","206.073170731707","267.4","373.76","403.772727272727","317.345679012346","289.564102564103","292.086956521739","345.235294117647","329.098039215686"
"C1","WT","222.582524271845","285.960396039604","322.23","358.25","329.354166666667","395.142857142857","386.764705882353","387.783783783784","448.489795918367"
"C2","Hom","272.817391304348","274.166666666667","319.173913043478","451.619047619048","427.240310077519","384.29197080292","460.48275862069","582.68085106383","523.473684210526"
"C3","WT","371.405063291139","313.12925170068","480.661538461538","532.009259259259","348.369458128079","287.411042944785","350.91452991453","280.397849462366","235.682926829268"
"C4","Hom","249.49358974359","198.521531100478","246.007692307692","344.451923076923","454.602272727273","401.960396039604","303.795275590551","467.180327868852","246.089820359281"
"C5","WT","306.456140350877","344.652173913043","311.844827586207","360.291044776119","340.618604651163","296.816513761468","255.986013986014","253.843434343434","195.703821656051"
"C6","Hom_G","204.518796992481","223.531818181818","265.459893048128","421.493670886076","420.372413793103","383.513157894737","386.614285714286","409.970802919708","412.230769230769"
"C7","WT_G","246.485148514851","255.921933085502","311.450704225352","505.368421052632","412.153153153153","421.48717948718","331.909090909091","493.288461538462","447.784615384615"
"C8","Hom_CTRL","225.579710144928","275.3125","318.630769230769","362.894736842105","386.942857142857","378.760563380282","419.549019607843","447.25","356.905263157895"
"D1","Hom","187.415094339623","154.205555555556","163.342391304348","215.88125","202.614107883817","211.190265486726","313.473684210526","284.75","319.641304347826"
"D2","WT","349.412844036697","442.813953488372","371.104575163399","364.832167832168","460.686390532544","261.191588785047","248.047244094488","305.844660194175","231.625"
"D3","Hom","240.393063583815","314.042944785276","371.79746835443","315.068292682927","382.039106145251","436.694444444444","405.787878787879","470.510638297872","415"
"D4","WT","332.649214659686","350.576612903226","354.552727272727","289.846153846154","312.822580645161","357.460674157303","348.233644859813","296.090909090909","232.381107491857"
"D5","Hom","240.378151260504","225.364705882353","324.560747663551","376.975308641975","376.480620155039","267.868571428571","244.603773584906","336.152380952381","295.583333333333"
"D6","WT_G","250.022099447514","343.989304812834","363.325301204819","459.595744680851","488.030769230769","505.978723404255","437.446808510638","501.701492537313","395.876404494382"
"D7","Hom_G","276.036231884058","310.19209039548","437.030769230769","446.871794871795","430.697297297297","426.882882882883","473.030303030303","542.632183908046","706.789473684211"
"D8","WT_CTRL","205.418181818182","248.897590361446","244.822784810127","221.65","258.054347826087","214.781818181818","205.02","211.78125","183.891891891892"
"E1","WT","260","216.567567567568","257.5875","260.59756097561","292.514285714286","258.072916666667","249.728971962617","262.581967213115","281.469879518072"
"E2","Hom","219.574324324324","284.848739495798","298.989010989011","297.194029850746","364.70297029703","389.779816513761","383.894736842105","429.078947368421","367.244680851064"
"E3","WT","220.445454545455","291.280701754386","478.185185185185","479.340909090909","375.973214285714","340.935483870968","253.524752475248","315.676470588235","187.277777777778"
"E4","Hom","294.260869565217","329.824561403509","299","364.496453900709","351.464730290456","439.373626373626","547.514705882353","581.25","461.314285714286"
"E5","WT","286.628205128205","308.779411764706","375.326315789474","379.155963302752","287.506024096386","274.6","270.232","243.887005649718","201.283653846154"
"E6","Hom_G","258.203703703704","236.403100775194","345.223880597015","441.541666666667","458.41935483871","282.69512195122","413.52","483.666666666667","311.5"
"E7","WT_G","339.989473684211","392.698795180723","378.037735849057","590.62","581.035714285714","435.648148148148","452.681818181818","484.446428571429","403.322580645161"
"E8","Hom_CTRL","182.159420289855","225.5625","200.75","273.953125","318.492957746479","284.234375","273.647887323944","240.747826086957","266.415094339623"
"F1","Hom","40.9181494661922","133.515463917526","203.358490566038","228.014084507042","189.711111111111","247.978723404255","254.69387755102","226.042553191489","200.490196078431"
"F2","WT","318.30612244898","359.940298507463","309.777777777778","304.608695652174","266.757575757576","374.827868852459","335.659340659341","294.276515151515","288.872"
"F3","Hom","220.559748427673","220.687179487179","215.725118483412","343.912","354.6","292.898550724638","346.645161290323","439.52380952381","346.774038461538"
"F4","WT","259.093333333333","329.180412371134","373.608695652174","448.735294117647","364.775510204082","311.296296296296","320.833333333333","307.163636363636","349.052325581395"
"F5","Hom","233.25","266.328947368421","287.768115942029","260.850574712644","331.47","356.768115942029","322.068965517241","445.156862745098","317.493333333333"
"F6","WT_G","241.520547945205","322.433962264151","316.528301886792","447.023255813953","370.675213675214","410.464285714286","272.204678362573","288.519230769231","245.440677966102"
"F7","Hom_G","170.4","176.627450980392","166.366120218579","310.981481481481","299.281407035176","315.253164556962","302.607142857143","296.837837837838","340.293103448276"
"F8","WT_CTRL","173.828571428571","196.575268817204","310.533333333333","236.333333333333","313.874015748031","333.12","312.846153846154","205.574468085106","182.860465116279"
