"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33"
"A1","WT","1.84494382022472","1.78555555555556","1.19964887640449","0.86060393258427","3.34819444444444","2.29157303370787","3.19613764044944","4.42352528089888","6.97324438202247"
"A2","Hom","2.98188202247191","3.50305555555556","3.00301966292135","2.35702247191011","4.15861111111111","3.79431179775281","3.21776685393258","3.94129213483146","3.59887640449438"
"A3","WT","3.58075842696629","4.91506944444444","3.69550561797753","1.78883426966292","7.98506944444444","3.77605337078652","4.9747191011236","3.14613764044944","2.20393258426966"
"A4","Hom","3.73602528089888","2.95138888888889","2.64817415730337","2.51987359550562","4.77027777777778","3.89129213483146","2.74115168539326","4.84438202247191","4.31615168539326"
"A5","WT","2.59375","3.31569444444444","3.12577247191011","1.94599719101124","3.22326388888889","2.88806179775281","2.32907303370787","4.21018258426966","3.44522471910112"
"A6","Hom_G","4.08686797752809","5.36","4.04761235955056","4.5311797752809","8.23805555555556","6.27296348314607","4.26376404494382","4.24459269662921","4.99466292134831"
"A7","WT_G","2.89529494382022","3.59458333333333","3.57261235955056","4.82780898876404","4.81888888888889","3.97872191011236","4.66987359550562","6.14943820224719","4.97956460674157"
"A8","Hom_CTRL","1.9497191011236","2.878125","2.50084269662921","0.407092696629213","2.99326388888889","1.35414325842697","1.92858146067416","2.64789325842697","1.48216292134831"
"B1","Hom","4.42724719101124","5.34145833333333","3.90779494382022","3.13370786516854","5.38395833333333","4.13082865168539","2.56439606741573","4.96165730337079","4.45168539325843"
"B2","WT","2.10189606741573","3.44805555555556","2.98623595505618","2.42141853932584","6.35743055555556","5.95252808988764","4.43553370786517","7.60667134831461","7.59241573033708"
"B3","Hom","6.08699839486356","5.37428571428571","2.85072231139647","2.34052969502408","3.28111111111111","3.88443017656501","3.20369181380417","3.35072231139647","3.09686998394864"
"B4","WT","1.80554775280899","2.78791666666667","3.09445224719101","2.08967696629213","3.98847222222222","4.09023876404494","4.54564606741573","6.78714887640449","6.2810393258427"
"B5","Hom","2.24206460674157","2.47930555555556","2.96594101123596","3.31537921348315","4.421875","4.17191011235955","4.20519662921348","4.34712078651685","4.55351123595506"
"B6","WT_G","1.64536516853933","1.17083333333333","1.04705056179775","2.58574438202247","3.36888888888889","3.97668539325843","3.9810393258427","5.53384831460674","5.41467696629214"
"B7","Hom_G","2.21622191011236","2.41590277777778","1.96102528089888","1.76411516853933","4.26291666666667","3.6372893258427","2.66488764044944","3.86095505617978","4.47205992509363"
"B8","WT_CTRL","2.46537921348315","3.45041666666667","0.944452247191011","0.891643258426966","2.81736111111111","1.10505617977528","2.98672752808989","1.01348314606742","1.42844101123596"
"C1","WT","2.56685393258427","2.81180555555556","2.96987359550562","1.80955056179775","3.09576388888889","1.21093632958802","1.8750702247191","4.14585674157303","2.18223314606742"
"C2","Hom","4.8060393258427","5.60111111111111","5.3563904494382","4.70386235955056","6.93319444444444","6.69648876404494","5.49185393258427","7.90758426966292","8.88588483146067"
"C3","WT","3.56644194756554","4.88392592592593","6.26037453183521","5.91887640449438","8.59725925925926","7.54516853932584","6.612734082397","11.3969288389513","8.792734082397"
"C4","Hom","4.18075842696629","4.53388888888889","3.16566011235955","3.55526685393258","5.29972222222222","4.65323033707865","4.63876404494382","5.30863764044944","7.5434691011236"
"C5","WT","3.59592696629213","5.31548611111111","5.46137640449438","5.26123595505618","7.44263888888889","3.47710674157303","3.4377106741573","6.68181179775281","6.7127808988764"
"C6","Hom_G","4.44073033707865","4.75409722222222","4.09641853932584","2.63904494382022","4.88777777777778","2.64845505617978","2.675","5.62233146067416","5.82942415730337"
"C7","WT_G","2.63251404494382","5.81201388888889","2.16207865168539","0.820294943820225","3.55430555555556","1.4310393258427","2.24122191011236","2.5314606741573","2.98265449438202"
