"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33"
"A1","WT","16","16","16","16","16","16","16","16","16"
"A2","Hom","16","16","16","16","16","16","16","16","16"
"A3","WT","16","16","16","16","16","16","16","16","16"
"A4","Hom","16","16","16","16","16","16","16","16","16"
"A5","WT","16","16","16","16","16","16","16","16","16"
"A6","Hom_G","16","16","16","16","16","16","16","16","16"
"A7","WT_G","16","16","16","16","16","16","16","16","16"
"A8","Hom_CTRL","16","16","16","16","16","16","16","16","16"
"B1","Hom","16","16","16","16","16","16","16","16","16"
"B2","WT","16","16","16","16","16","16","16","16","16"
"B3","Hom","14","14","14","14","14","14","14","14","14"
"B4","WT","16","16","16","16","16","16","16","16","16"
"B5","Hom","16","16","16","16","16","16","16","16","16"
"B6","WT_G","16","16","16","16","16","16","16","16","16"
"B7","Hom_G","16","16","16","16","16","16","16","16","15"
"B8","WT_CTRL","16","16","16","16","16","16","16","16","16"
"C1","WT","16","16","16","16","16","15","16","16","16"
"C2","Hom","16","16","16","16","16","16","16","16","16"
"C3","WT","15","15","15","15","15","15","15","15","15"
"C4","Hom","16","16","16","16","16","16","16","16","16"
"C5","WT","16","16","16","16","16","16","16","16","16"
"C6","Hom_G","16","16","16","16","16","16","16","16","16"
"C7","WT_G","16","16","16","16","16","16","16","16","16"
"C8","Hom_CTRL","16","16","16","16","16","16","16","16","16"
"D1","Hom","16","16","16","15","15","15","15","15","15"
"D2","WT","16","16","16","15","16","15","16","16","15"
"D3","Hom","16","16","16","16","16","16","16","16","16"
"D4","WT","16","16","16","16","16","16","16","16","15"
"D5","Hom","16","16","16","16","16","16","16","16","15"
"D6","WT_G","16","16","16","16","16","16","16","16","16"
"D7","Hom_G","16","16","16","16","16","16","16","16","16"
"D8","WT_CTRL","16","16","16","16","16","16","16","16","16"
"E1","WT","16","16","16","16","16","16","16","16","15"
"E2","Hom","16","16","16","16","16","16","15","16","16"
"E3","WT","16","16","15","16","16","16","16","16","16"
"E4","Hom","16","16","16","16","16","16","16","16","16"
"E5","WT","16","16","16","16","15","16","16","16","15"
"E6","Hom_G","15","15","15","16","16","15","15","16","15"
"E7","WT_G","16","16","16","16","16","16","16","16","16"
"E8","Hom_CTRL","16","16","16","16","16","16","16","16","16"
"F1","Hom","15","15","16","16","16","16","16","16","16"
"F2","WT","16","16","16","16","16","16","16","16","16"
"F3","Hom","16","16","16","16","16","16","16","16","16"
"F4","WT","16","16","16","16","16","16","16","16","16"
"F5","Hom","16","16","16","16","16","16","16","16","15"
"F6","WT_G","16","16","15","16","16","16","15","16","15"
"F7","Hom_G","15","15","15","15","15","15","15","15","15"
"F8","WT_CTRL","16","16","16","16","16","16","16","16","16"
