"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33"
"A1","WT","1.48930032870464","1.74130204513974","1.51434576023392","1.60585739701656","1.941084682861","1.67271818787475","1.64764861350002","1.52642269869418","1.07442403921867"
"A2","Hom","1.4549789797327","1.71254015603488","1.8076500613814","1.76173567218237","2.46133841886269","2.01655572623315","1.76513702995539","2.05811766812931","2.22204650617935"
"A3","WT","1.45239982083175","1.55526601019302","1.59491701244813","1.83716360529688","2.39781081143758","1.93189181044225","2.04042540514776","2.075695439498","1.95037713378325"
"A4","Hom","1.41396902794709","1.84442882698697","1.9352234322193","1.74039419776326","2.07569473247615","2.18575739831539","2.2391232587311","2.31108107033518","2.44208393632417"
"A5","WT","1.47482160028342","1.41524437548487","1.40251483469907","1.37613405913118","1.68231745913542","1.52811018288553","1.44348019581664","1.73321900291843","1.81581888166881"
"A6","Hom_G","1.29358505104989","1.69384517766497","1.741806648655","0.145010461591016","0.263625393622482","2.2753179463024","2.31678146998713","2.26811241065627","2.04601795127511"
"A7","WT_G","1.44524886877828","1.41395429865567","1.61660637948043","1.95162560139962","2.48583294519485","2.12477461233321","2.21251285063886","2.02898588265769","1.73845698082864"
"A8","Hom_CTRL","1.33454475899005","1.6832044268377","1.35142464138338","1.82574114244396","1.43527798290959","1.64462231115558","1.74218519610734","1.91009373571102","1.79643841007477"
"B1","Hom","1.51241276741792","1.82179203539823","1.59599133261105","1.53047386865763","2.10562734153987","1.75158263201013","1.80478029585368","2.13973403598337","1.85194667181915"
"B2","WT","1.64051530723022","1.58548274978963","2.0047332872414","2.04814358841444","2.21524084877898","2.24859382989603","2.27717072024439","2.22651629072682","2.41318322506037"
"B3","Hom","0.170436721063915","1.39444210131684","1.41425058244887","1.47773346626786","1.93181625201664","1.45417550543314","1.75185009165592","1.87001237240953","1.95733284078315"
"B4","WT","1.74397151642661","1.74988545771099","1.77354809249035","2.01364643945691","2.11052590814035","1.93111187845304","1.87033398821218","1.96526093666341","1.80064713284199"
"B5","Hom","1.18363907435017","1.28928325292901","1.4816112084063","1.4820415879017","1.88548607551683","1.64192258415188","1.63226887443327","1.94211606829903","1.76742810338551"
"B6","WT_G","1.57827288717648","2.0464415913774","2.04787234042553","2.51725460122699","2.51314328026657","2.15773770347944","1.94481218597974","2.17359960225389","1.86996844454706"
"B7","Hom_G","1.65801042838156","1.93061088977424","1.98371982210928","2.53801830301661","2.20478161696376","2.15533889565951","2.30998641304348","2.58312786192321","2.54322183600205"
"B8","WT_CTRL","1.15884589752636","1.33048377151186","1.91899696048632","1.9969964959119","1.79742735939424","1.98372439983724","1.76517857142857","2.16306874792428","2.06951871657754"
"C1","WT","1.32024854522142","1.67426611520226","1.51872467719338","1.76975104331558","1.65931950337891","1.92405424696645","1.82650748073145","1.88419368019613","1.9637336952424"
"C2","Hom","1.7034188034188","0.179248302101483","0.171409501850616","0.150531037489494","0.22186764565356","3.04007521447879","2.9637423574577","3.18087682242028","3.26268564356436"
"C3","WT","2.20152724349773","2.24987008487788","2.3207928802589","2.58429577716595","2.74689192411186","2.20089660065794","2.10260177532905","1.93033077796706","1.60426599749059"
"C4","Hom","1.4042540514776","1.6880548986159","2.06352459016393","1.85923588901374","2.28284786725584","2.05190325460596","1.88704224204652","2.21463540324659","1.87447014203912"
"C5","WT","1.48246418742502","1.6511304847672","1.97848909327444","1.92243937951504","1.69037321241716","1.50034725667229","1.25606390318985","1.36928142552779","1.07428972580112"
"C6","Hom_G","1.39894697949381","1.28691691967982","1.35617647058824","1.97110445205479","1.82052314964013","1.81439291691411","2.00689952565761","1.94453333333333","1.96988893459482"
"C7","WT_G","1.60338480417221","1.39271410832648","1.59039157267504","2.68255114320096","1.71625893347993","2.11566504639859","1.57184867666849","2.12905202941978","1.95897657346432"
"C8","Hom_CTRL","1.39323936309058","1.59731048570132","1.71598439338577","1.73796116504854","0.14165583297221","2.08031973183781","1.98528356066045","2.13779821073559","2.23295197100136"
"D1","Hom","1.35250529287227","1.51518015357354","1.91064682753835","1.49592539695875","1.8052214489722","1.9517191632604","1.5440513699996","1.90283999076426","0.147517000534848"
"D2","WT","2.05974789200238","2.56421052631579","2.54433255091997","2.63325365205843","2.86670273022338","1.82474332386","2.16180898470432","2.19306533138079","1.2040789570718"
"D3","Hom","1.5004597482482","1.54575313168347","1.76736957873093","1.84400665087923","2.04626913501122","2.1771237410584","1.91125132680741","2.0822293642706","2.18885501355014"
"D4","WT","1.58664501141013","1.75764607359073","1.83501069815358","2.36094810723737","1.87132119333592","1.99737743750264","1.93367949020533","1.96908666221756","1.34101816607895"
"D5","Hom","1.38604948966141","1.69671472826711","1.88215764056571","1.95756283773735","2.40215653314747","2.29049317943337","2.31348297449992","2.13854529294126","1.86891033854389"
"D6","WT_G","1.48266454473116","1.82359593766257","2.00048026545582","2.52702412868633","2.04368201805138","2.26123517512197","2.05260970744681","2.27851726149441","2.33942940746159"
"D7","Hom_G","1.3633614234959","1.63251612291351","2.10071311667056","0.185168455495029","0.288036569864085","1.98750482608543","2.12680775029315","2.53040755004444","3.04972216899789"
"D8","WT_CTRL","1.01801214393415","1.07253578051448","1.13279289712411","1.19880624426079","1.31891405675035","1.13517121687471","1.10074517825833","1.35639986860834","1.27205623901582"
"E1","WT","1.3241116751269","1.34751251780054","1.47029585798817","1.38273319799124","1.93736298152208","1.72579977529419","1.56463618411059","1.61317647058824","1.63459361557618"
"E2","Hom","1.43285127929725","1.54968761051515","1.93632839804283","2.02186426740193","2.26625121491053","2.019722366684","1.71991188839196","1.95707424454673","2.55320207548511"
"E3","WT","1.74250141482739","1.79706362153344","2.11448848419925","2.09236882653475","2.41454302868579","2.0270088535246","1.8751902587519","1.90015205271161","1.36684151277814"
"E4","Hom","1.76493554028224","2.03998007787739","2.07977317138588","1.91333134703877","2.43703371734374","2.33519269776876","2.53887337057728","2.68189043775984","2.37520203186331"
"E5","WT","1.70746927198235","1.97148597480875","1.93463155185725","2.07724763229947","2.14106450475855","1.77912950077056","1.72579899884482","1.72435982662802","1.3700414446418"
"E6","Hom_G","1.65944957659738","1.63354442168001","1.73739180611656","2.47659398573938","2.06362470524966","1.93699741276834","2.02763859705835","2.08313208248189","2.0766485232444"
"E7","WT_G","1.69608870967742","1.93067968784061","1.95685497191939","2.60578703703704","2.63334645152827","2.21987625676721","2.31893870082342","2.22880148447596","2.30963687150838"
"E8","Hom_CTRL","1.11767571329158","1.56978856353993","1.56445667125172","1.48148387932151","1.77219833763256","1.62025948103792","1.48455723542117","1.8838564282966","1.72362582631531"
"F1","Hom","0.139753772300058","0.153603413409187","1.1579023195505","1.21798772351214","1.42409130142898","1.57689422355589","1.55363100731171","1.52850416515755","0.217775970013079"
"F2","WT","0.117707605283088","0.10162033384522","0.0711698106423239","0.091092557841628","0.112226417274628","0.207676196554498","0.181531968826686","0.33692623024506","0.262032265821107"
"F3","Hom","1.57944926604522","1.49051171312655","1.92471625704254","1.74198270126414","2.33328453796889","0.237916954130832","2.4430102915952","0.271733341124068","0.309739226578933"
"F4","WT","1.3416449270966","1.62269636884332","1.96503836593537","1.90104785567679","1.8563637057096","1.80977525047387","1.81600059983505","1.88884590586718","2.13019585740454"
"F5","Hom","0.133659027681023","1.65252152521525","1.83467876442725","1.94069089900111","1.95955271034253","2.0719806763285","1.9855102897942","2.17642312206573","1.9818858560794"
"F6","WT_G","1.38616641143441","1.69243557772236","1.59135573910567","1.99211257506498","1.65069995484162","1.77113812154696","1.83305861156898","1.74835074878413","1.58223447614481"
"F7","Hom_G","1.25616580310881","1.46232231862655","1.78113424447567","1.54418751979728","1.37121007820626","1.4955096971434","1.4896869367866","1.65538213526782","1.73785190294062"
"F8","WT_CTRL","1.189897737837","1.20509257860875","1.65157958687728","1.26468743466444","1.63148083788822","1.58925556408289","1.55778894472362","1.51793160967473","1.27597984800615"
