"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33"
"A1","WT","60","48","41","27","97","67","101","187","375"
"A2","Hom","74","91","93","57","117","145","86","89","66"
"A3","WT","125","172","117","43","236","98","128","73","42"
"A4","Hom","108","64","61","69","114","87","59","105","61"
"A5","WT","87","131","108","71","100","100","84","124","87"
"A6","Hom_G","66","66","79","96","189","90","84","39","48"
"A7","WT_G","98","132","117","133","95","92","100","153","129"
"A8","Hom_CTRL","91","96","100","10","108","37","51","65","37"
"B1","Hom","92","108","141","103","141","101","50","107","79"
"B2","WT","68","122","78","58","169","144","97","213","171"
"B3","Hom","148","91","68","84","75","131","101","54","44"
"B4","WT","56","82","94","54","98","108","113","119","135"
"B5","Hom","75","82","108","196","139","118","133","101","94"
"B6","WT_G","45","24","24","48","59","85","92","80","78"
"B7","Hom_G","43","53","49","34","91","84","55","64","77"
"B8","WT_CTRL","118","149","23","21","81","29","88","18","24"
"C1","WT","94","91","101","52","96","26","49","111","49"
"C2","Hom","113","139","94","60","120","125","74","85","80"
"C3","WT","79","133","130","107","161","147","117","98","81"
"C4","Hom","151","174","109","101","85","99","113","54","127"
"C5","WT","113","162","159","135","213","110","143","199","308"
"C6","Hom_G","116","214","187","72","145","72","66","137","142"
"C7","WT_G","97","264","71","15","111","33","77","52","65"
"C8","Hom_CTRL","64","74","62","38","63","65","51","60","82"
"D1","Hom","100","137","98","145","170","159","96","112","80"
"D2","WT","109","128","151","140","161","189","218","181","255"
"D3","Hom","165","163","79","201","174","106","65","47","39"
"D4","WT","193","249","274","162","238","85","108","166","311"
"D5","Hom","116","153","105","76","109","147","136","105","129"
"D6","WT_G","176","183","83","69","130","93","43","66","71"
"D7","Hom_G","138","176","65","117","185","108","66","87","34"
"D8","WT_CTRL","108","166","79","40","92","55","50","32","34"
"E1","WT","47","109","76","83","65","93","101","112","78"
"E2","Hom","131","114","86","120","87","103","57","76","82"
"E3","WT","84","162","27","44","99","94","100","68","162"
"E4","Hom","114","106","156","139","227","88","67","64","61"
"E5","WT","75","60","93","99","157","211","123","176","195"
"E6","Hom_G","52","115","66","36","187","55","22","38","38"
"E7","WT_G","94","83","53","48","55","49","19","112","23"
"E8","Hom_CTRL","68","72","103","62","66","64","70","97","94"
"F1","Hom","223","98","53","71","47","47","49","48","95"
"F2","WT","98","67","36","46","67","120","87","248","1"
"F3","Hom","147","194","181","124","135","195","140","139","181"
"F4","WT","224","194","70","34","98","54","48","55","171"
"F5","Hom","56","74","61","71","97","69","81","46","65"
"F6","WT_G","72","51","53","42","117","84","140","70","57"
"F7","Hom_G","80","171","116","48","199","79","56","108","54"
"F8","WT_CTRL","91","174","13","36","128","22","23","42","40"
