"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33"
"A1","WT","339.2","384.333333333333","336.878048780488","385.185185185185","384.020618556701","342","304.326732673267","249.085561497326","186.410666666667"
"A2","Hom","268.554054054054","293.406593406593","291.268817204301","383.263157894737","293.384615384615","266.834482758621","396.058139534884","448.584269662921","484.863636363636"
"A3","WT","301.36","360.139534883721","379.820512820513","419.372093023256","411.656779661017","441.244897959184","459.140625","485.698630136986","473.142857142857"
"A4","Hom","260.111111111111","386.796875","439.032786885246","413.173913043478","469.333333333333","493.126436781609","504.915254237288","489.380952380952","609.885245901639"
"A5","WT","287.965517241379","301.12213740458","328.453703703704","317.084507042254","371.83","340.12","317.297619047619","384.556451612903","387.954022988506"
"A6","Hom_G","242.712121212121","318.30303030303","321.037974683544","383.260416666667","391.962962962963","463.555555555556","373.452380952381","653.461538461538","505.604166666667"
"A7","WT_G","314.673469387755","338.871212121212","374.683760683761","474.345864661654","600.736842105263","498.315217391304","503.51","448.18954248366","301.550387596899"
"A8","Hom_CTRL","223.461538461538","273.65625","317.87","444.5","334","391.675675675676","404.470588235294","436.584615384615","436.594594594595"
"B1","Hom","267.282608695652","300.342592592593","299.581560283688","361.339805825243","384.028368794326","410.574257425743","424.24","435.495327102804","413.075949367089"
"B2","WT","308.308823529412","322.713114754098","428.371794871795","474.810344827586","466.443786982249","488.041666666667","517.381443298969","391.455399061033","400.649122807018"
"B3","Hom","166.27027027027","274.340659340659","284.823529411765","216.369047619048","298.306666666667","244.251908396947","260.366336633663","385.518518518519","401.863636363636"
"B4","WT","349.642857142857","394.634146341463","410.372340425532","469","476.84693877551","428.944444444444","387.398230088496","414.823529411765","277.896296296296"
"B5","Hom","223.68","257.731707317073","248.259259259259","194.704081632653","301.712230215827","315.745762711864","326.458646616541","350.49504950495","337.595744680851"
"B6","WT_G","361.222222222222","453.166666666667","488.083333333333","613.020833333333","617.169491525424","508.6","437.858695652174","526.8125","437.358974358974"
"B7","Hom_G","333.581395348837","389.603773584906","447.020408163265","619.735294117647","529.758241758242","500.630952380952","548.054545454545","605.984375","535.727272727273"
"B8","WT_CTRL","232.381355932203","293.362416107383","430.652173913043","457.380952380952","379.555555555556","425.965517241379","363.284090909091","696.666666666667","705.333333333333"
"C1","WT","258.627659574468","335.318681318681","353.534653465347","407.826923076923","384.333333333333","449.5","419.69387755102","430.189189189189","460.183673469388"
"C2","Hom","312.433628318584","302.856115107914","400.882978723404","509.866666666667","487.6","441.344","551.864864864865","663.823529411765","625.0375"
"C3","WT","418.53164556962","369.270676691729","537.384615384615","581.084112149533","463.968944099379","412.380952380952","467.675213675214","333.989795918367","276.148148148148"
"C4","Hom","285.092715231788","244.32183908046","303.018348623853","389.138613861386","512.882352941176","446.949494949495","370.522123893805","557.055555555556","357.464566929134"
"C5","WT","335.646017699115","377.512345679012","373.911949685535","428.02962962963","385.713615023474","334.563636363636","283.321678321678","284.21608040201","217.590909090909"
"C6","Hom_G","246.775862068966","246.53738317757","284.310160427807","489.416666666667","445.310344827586","434.638888888889","436.5","457.240875912409","454.823943661972"
"C7","WT_G","285.474226804124","279.666666666667","361.492957746479","682.066666666667","427.171171171171","524.69696969697","362.12987012987","519.230769230769","471.076923076923"
