"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33"
"A1","WT","20352","18448","13812","10400","37250","22914","30737","46579","69904"
"A2","Hom","19873","26700","27088","21846","34326","38691","34061","39924","32001"
"A3","WT","37670","61944","44439","18033","97151","43242","58770","35456","19872"
"A4","Hom","28092","24755","26781","28509","53504","42902","29790","51385","37203"
"A5","WT","25053","39447","35473","22513","37183","34012","26653","47685","33752"
"A6","Hom_G","16019","21008","25362","36793","74081","41720","31370","25485","24269"
"A7","WT_G","30838","44731","43838","63088","57070","45845","50351","68573","38900"
"A8","Hom_CTRL","20335","26271","31787","4445","36072","14492","20628","28378","16154"
"B1","Hom","24590","32437","42241","37218","54148","41468","21212","46598","32633"
"B2","WT","20965","39371","33413","27539","78829","70278","50186","83380","68511"
"B3","Hom","24608","24965","19368","18175","22373","31997","26297","20818","17682"
"B4","WT","19580","32360","38575","25326","46731","46326","43776","49364","37516"
"B5","Hom","16776","21134","26812","38162","41938","37258","43419","35400","31734"
"B6","WT_G","16255","10876","11714","29425","36413","43231","40283","42145","34114"
"B7","Hom_G","14344","20649","21904","21071","48208","42053","30143","38783","41251"
"B8","WT_CTRL","27421","43711","9905","9605","30744","12353","31969","12540","16928"
"C1","WT","24311","30514","35707","21207","36896","11687","20565","47751","22549"
"C2","Hom","35305","42097","37683","30592","58512","55168","40838","56425","50003"
"C3","WT","33064","49113","69860","62176","74699","60620","54718","32731","22368"
"C4","Hom","43049","42512","33029","39303","43595","44248","41869","30081","45398"
"C5","WT","37928","61157","59452","57784","82157","36802","40515","56559","67018"
"C6","Hom_G","28626","52759","53166","35238","64570","31294","28809","62642","64585"
"C7","WT_G","27691","73832","25666","10231","47416","17315","27884","27000","30620"
"C8","Hom_CTRL","17527","24323","23192","14867","28655","28104","23263","28778","35508"
"D1","Hom","21457","27707","25822","36458","46977","44949","34116","39360","31372"
"D2","WT","42385","63903","63426","56010","83513","62138","70658","78026","73023"
"D3","Hom","44596","55732","33067","69827","75818","52962","28403","23122","21491"
"D4","WT","68853","93701","106476","58672","87571","34714","43020","59853","82850"
"D5","Hom","31919","41695","39459","34913","52639","53563","46443","48049","49523"
"D6","WT_G","49327","70977","36459","44200","66415","50447","21643","36038","39863"
"D7","Hom_G","42287","61348","31433","55228","86221","50473","33343","50511","27987"
"D8","WT_CTRL","24285","44047","21684","10646","28088","13744","11903","8447","8136"
"E1","WT","13745","26736","22609","23514","22505","27460","28939","35292","25875"
"E2","Hom","34389","36521","28885","41112","37950","45956","22870","34714","34833"
"E3","WT","25225","54187","13478","22104","46281","39011","30098","25319","35234"
"E4","Hom","38136","41629","52863","55083","89796","42132","38545","39015","35109"
"E5","WT","24593","23435","40495","42341","57250","66842","37040","51874","45248"
"E6","Hom_G","15443","32307","25943","22695","91626","24617","10876","19509","19922"
"E7","WT_G","35503","36973","23438","31221","34820","25090","10791","58546","13627"
"E8","Hom_CTRL","14156","19570","27294","20149","26386","21645","22819","30475","31615"
"F1","Hom","13169","14899","12341","18565","11190","14491","15560","14701","23057"
"F2","WT","33894","26818","13009","17246","21022","52093","34072","85139","116602"
"F3","Hom","38812","49229","48928","47575","56934","66004","56487","69355","74926"
"F4","WT","62069","68788","30870","15698","41788","22412","19427","24285","67464"
"F5","Hom","14891","23418","21903","24018","37893","30604","31410","24208","25912"
"F6","WT_G","19507","19142","19237","20391","46127","35928","46039","29453","21352"
"F7","Hom_G","16506","38058","29072","17873","65262","26797","18499","37743","21638"
"F8","WT_CTRL","18780","38426","4840","10499","45682","8694","8622","13787","10180"
