"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","0.0128876404494382","0.0140786516853933","0.0120966292134831","0.0145348314606742","0.0154483516483516","0.0178516853932584","0.0124831460674157","0.00805777777777778","0.0189101123595506","0.0143123595505618","0.00908409090909091","0.0131370786516854"
"A2","HOM","0.0176247191011236","0.0163393258426966","0.0250022471910112","0.0193820224719101","0.0702021978021978","0.0614606741573034","0.0574561797752809","0.0253044444444444","0.121768539325843","0.0605730337078652","0.100093181818182","0.14696404494382"
"A3","WT_H","0.0051752808988764","0.00472584269662921","0.0028561797752809","0.00424719101123596","0.00507692307692308","0.00376179775280899","0.00335056179775281","0.00769333333333333","0.00351011235955056","0.00403820224719101","0.00235454545454545","0.00542022471910112"
"A4","HOM_H","0.00507191011235955","0.00198876404494382","0.00279775280898876","0.00456629213483146","0.0047956043956044","0.0036247191011236","0.00406741573033708","0.00777777777777778","0.00290112359550562","0.00370561797752809","0.00347954545454545","0.00737752808988764"
"A5","WT","0.0148943820224719","0.00963820224719101","0.0208202247191011","0.016047191011236","0.0131406593406593","0.0225640449438202","0.0225865168539326","0.0251466666666667","0.0230022471910112","0.0208224719101124","0.03595","0.0352876404494382"
"A6","HOM","0.0167595505617978","0.0235168539325843","0.0266516853932584","0.0324044943820225","0.0298813186813187","0.167177528089888","0.042038202247191","0.07762","0.117676404494382","0.0968224719101124","0.0819045454545455","0.188321348314607"
"A7","WT_H","0.00447191011235955","0.00274831460674157","0.00382696629213483","0.00304943820224719","0.00264615384615385","0.00161348314606742","0.00224719101123596","0.00221111111111111","0.0022","0.0015123595505618","0.00256818181818182","0.00548988764044944"
"A8","HOM_H","0.00635056179775281","0.00498202247191011","0.00288539325842697","0.00259550561797753","0.00416483516483517","0.00152359550561798","0.000975280898876404","0.00197333333333333","0.00180224719101124","0.00490337078651685","0.0015","0.00222696629213483"
"B1","WT","0.0223910112359551","0.0258719101123596","0.0207483146067416","0.0234943820224719","0.0202483516483517","0.0140561797752809","0.0835325842696629","0.0558111111111111","0.0277483146067416","0.0185797752808989","0.0163590909090909","0.0398539325842697"
"B2","HOM","0.0167550561797753","0.0173550561797753","0.0351550561797753","0.0237505617977528","0.0445604395604396","0.0249280898876404","0.0530269662921348","0.0787111111111111","0.0760494382022472","0.0541213483146067","0.0393636363636364","0.0438696629213483"
"B3","WT_H","0.00605393258426966","0.00475280898876405","0.00495056179775281","0.00407415730337079","0.00402857142857143","0.00288539325842697","0.00378426966292135","0.00294888888888889","0.000919101123595506","0.0145775280898876","0.00159545454545455","0.00247640449438202"
"B4","HOM_H","0.00344269662921348","0.00273033707865169","0.00266292134831461","0.00219101123595506","0.00106813186813187","0.00123370786516854","0.000743820224719101","0.0102288888888889","0.00210786516853933","0.00946067415730337","0.0261727272727273","0.098476404494382"
"B5","WT","0.0143393258426966","0.0116651685393258","0.00480449438202247","0.0169168539325843","0.0345582417582418","0.0206876404494382","0.0138337078651685","0.0196533333333333","0.00878426966292135","0.0111460674157303","0.00898636363636364","0.0102044943820225"
"B6","HOM","0.0111078651685393","0.010876404494382","0.00727191011235955","0.0135775280898876","0.00621978021978022","0.0149483146067416","0.0319662921348315","0.0114866666666667","0.00944719101123595","0.00596629213483146","0.00615227272727273","0.0108404494382022"
"B7","WT_H","0.00444269662921348","0.00345393258426966","0.00365168539325843","0.00351910112359551","0.00354945054945055","0.00824494382022472","0.00350112359550562","0.00337111111111111","0.00368314606741573","0.0143550561797753","0.0116590909090909","0.0845213483146067"
"B8","HOM_H","0.00476179775280899","0.00391910112359551","0.00376629213483146","0.00290337078651685","0.00225274725274725","0.00275056179775281","0.00162921348314607","0.00399333333333333","0.00253483146067416","0.00742696629213483","0.000468181818181818","0.00179325842696629"
"C1","WT","0.0163033707865169","0.0245483146067416","0.0312224719101124","0.0435280898876405","0.045378021978022","0.0199033707865169","0.0297887640449438","0.0440133333333333","0.0379573033707865","0.0462786516853933","0.180165909090909","0.1482"
"C2","HOM","0.034723595505618","0.0348","0.0463168539325843","0.0973415730337079","0.0674285714285714","0.0785033707865169","0.0971101123595506","0.0354911111111111","0.034314606741573","0.0235887640449438","0.0506409090909091","0.0325797752808989"
"C3","WT_H","0.0074876404494382","0.00293483146067416","0.0039123595505618","0.00350112359550562","0.0030021978021978","0.00527640449438202","0.00545393258426966","0.00880444444444444","0.0435438202247191","0.0125932584269663","0.00351590909090909","0.0270516853932584"
"C4","HOM_H","0.00419550561797753","0.00348089887640449","0.0023752808988764","0.00344269662921348","0.00381098901098901","0.00397977528089888","0.00521797752808989","0.00814888888888889","0.0726134831460674","0.0163191011235955","0.0241727272727273","0.0228202247191011"
"C5","WT","0.00330561797752809","0.0121730337078652","0.0111797752808989","0.0114741573033708","0.00617802197802198","0.00871460674157303","0.00825168539325843","0.00763333333333333","0.00624269662921348","0.00427191011235955","0.00281590909090909","0.00736404494382023"
"C6","HOM","0.0150943820224719","0.0106696629213483","0.0131258426966292","0.0533056179775281","0.0473274725274725","0.0598044943820225","0.0471820224719101","0.0535311111111111","0.027685393258427","0.0251595505617978","0.031625","0.0440629213483146"
"C7","WT_H","0.00433707865168539","0.00418426966292135","0.00331460674157303","0.0037685393258427","0.00442637362637363","0.00649213483146067","0.00264719101123596","0.00221777777777778","0.00311685393258427","0.0106067415730337","0.00296363636363636","0.050123595505618"
"C8","HOM_H","0.00310786516853933","0.00352584269662921","0.00248089887640449","0.00254606741573034","0.0020989010989011","0.00184494382022472","0.00108539325842697","0.00241555555555556","0.00125168539325843","0.0191707865168539","0.00293181818181818","0.00119325842696629"
"D1","WT","0.0105865168539326","0.0178943820224719","0.019114606741573","0.0130719101123596","0.0193076923076923","0.0208561797752809","0.0958044943820225","0.0331222222222222","0.0395820224719101","0.0383325842696629","0.036625","0.0485213483146067"
"D2","HOM","0.0204337078651685","0.0289550561797753","0.0501640449438202","0.0499640449438202","0.0500637362637363","0.0266426966292135","0.0406831460674157","0.0378022222222222","0.0733280898876404","0.0279910112359551","0.0744136363636364","0.0372674157303371"
"D3","WT_H","0.00732584269662921","0.00453483146067416","0.00532584269662921","0.00337752808988764","0.00313186813186813","0.00211011235955056","0.00425393258426966","0.00404222222222222","0.0022","0.00490337078651685","0.000481818181818182","0.00238651685393258"
"D4","HOM_H","0.00452808988764045","0.00202247191011236","0.00140898876404494","0.00278876404494382","0.0032967032967033","0.00200898876404494","0.0023752808988764","0.00189777777777778","0.0966674157303371","0.0105078651685393","0.00585681818181818","0.0112247191011236"
"D5","WT","0.00712584269662921","0.00629213483146068","0.00516179775280899","0.0058314606741573","0.00467252747252747","0.00822921348314607","0.0058876404494382","0.00747111111111111","0.00636404494382022","0.00552134831460674","0.008475","0.00754157303370786"
"D6","HOM","0.0201887640449438","0.0325033707865169","0.060514606741573","0.0825415730337079","0.0824241758241758","0.0836337078651685","0.110020224719101","0.0964866666666667","0.0818629213483146","0.0806044943820225","0.0749113636363636","0.0423977528089888"
"D7","WT_H","0.00386966292134831","0.00384269662921348","0.0023752808988764","0.0016314606741573","0.00216703296703297","0.00679101123595506","0.00360449438202247","0.00269333333333333","0.00439550561797753","0.00866741573033708","0.00390909090909091","0.000991011235955056"
"D8","HOM_H","0.00381573033707865","0.00310786516853933","0.00376179775280899","0.00319325842696629","0.00132967032967033","0.00103595505617978","0.00225842696629214","0.00298444444444444","0.00201797752808989","0.00254157303370787","0.000988636363636364","0.00831460674157303"
"E1","WT","0.0201797752808989","0.00785168539325843","0.00686741573033708","0.010476404494382","0.0145054945054945","0.0166876404494382","0.0200966292134831","0.0160177777777778","0.0210808988764045","0.0109168539325843","0.0119704545454545","0.0147438202247191"
"E2","HOM","0.0192","0.0156696629213483","0.075152808988764","0.0853955056179775","0.0725912087912088","0.065085393258427","0.0780314606741573","0.0821066666666667","0.0731685393258427","0.0286561797752809","0.0793431818181818","0.0715662921348315"
"E3","WT_H","0.00800674157303371","0.0037685393258427","0.00240449438202247","0.00204494382022472","0.00331428571428571","0.00184494382022472","0.0377662921348315","0.0149111111111111","0.0315191011235955","0.0551123595505618","0.0545659090909091","0.0364539325842697"
"E4","HOM_H","0.00640224719101124","0.0035752808988764","0.00258651685393258","0.00320449438202247","0.00218681318681319","0.00622921348314607","0.00435730337078652","0.00369777777777778","0.0202067415730337","0.0399056179775281","0.00607272727272727","0.00934831460674157"
"E5","WT","0.00510337078651685","0.0101505617977528","0.00607415730337079","0.00262696629213483","0.0156703296703297","0.011485393258427","0.00719550561797753","0.0100733333333333","0.00981123595505618","0.00831460674157303","0.004525","0.00619325842696629"
"E6","HOM","0.0188494382022472","0.0147685393258427","0.0200696629213483","0.0974988764044944","0.0200461538461538","0.0477280898876404","0.0846157303370787","0.01072","0.0539056179775281","0.0111730337078652","0.011175","0.0292292134831461"
"E7","WT_H","0.00602696629213483","0.00221348314606742","0.00173932584269663","0.00172584269662921","0.00235604395604396","0.00371011235955056","0.0115415730337079","0.0147022222222222","0.0218449438202247","0.0255955056179775","0.0213022727272727","0.0243752808988764"
"E8","HOM_H","0.00377752808988764","0.00197303370786517","0.0034314606741573","0.00259550561797753","0.00130989010989011","0.0013438202247191","0.00505393258426966","0.00514666666666667","0.00219775280898876","0.106521348314607","0","0"
"F1","WT","0.00850112359550562","0.015752808988764","0.0233483146067416","0.0173820224719101","0.0141912087912088","0.0182292134831461","0.0265258426966292","0.0359733333333333","0.0255595505617978","0.0472404494382022","0.0615613636363636","0.0374157303370787"
"F2","HOM","0.0224269662921348","0.0369056179775281","0.0455955056179775","0.0216202247191011","0.045010989010989","0.0975977528089888","0.115426966292135","0.0293822222222222","0.0946494382022472","0.0267438202247191","0.0402522727272727","0.241885393258427"
"F3","WT_H","0.00548539325842697","0.00364719101123596","0.0042876404494382","0.00591460674157303","0.00477142857142857","0.00495955056179775","0.00477078651685393","0.00298666666666667","0.00484719101123595","0.00307865168539326","0.0017","0.00147640449438202"
"F4","HOM_H","0.00448089887640449","0.00217977528089888","0.00187865168539326","0.0027685393258427","0.00272307692307692","0.00341797752808989","0.00241123595505618","0.00245555555555556","0.00273033707865169","0.00450337078651685","0.00165","0.00258651685393258"
"F5","WT","0.00845168539325843","0.0169280898876405","0.0136606741573034","0.0104337078651685","0.0161538461538462","0.0121191011235955","0.0124067415730337","0.0168488888888889","0.0148337078651685","0.15996404494382","0.236420454545455","0"
"F6","HOM","0.0119123595505618","0.0062","0.0246337078651685","0.0109191011235955","0.0177340659340659","0.00999550561797753","0.00703820224719101","0.00632444444444445","0.00707640449438202","0.00444269662921348","0.00913409090909091","0.00708988764044944"
"F7","WT_H","0.0131707865168539","0.00249887640449438","0.00448988764044944","0.00260674157303371","0.00305714285714286","0.00956404494382023","0.00808539325842697","0.0104488888888889","0.0111932584269663","0.00695280898876405","0.0160977272727273","0"
"F8","HOM_H","0.00386067415730337","0.00445842696629213","0.00530786516853933","0.00350561797752809","0.00451648351648352","0.0291910112359551","0.0148426966292135","0.0151044444444444","0","0","0","0"
