"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","41.1923563290931","50.650806747994","50.4445214684175","52.6224395757733","38.5609706536973","42.1914609865593","37.4584556080649","47.3788981354746","56.0710793900897","46.3415819793816","46.5829376076643","46.3452397787204"
"A2","HOM","35.250246306502","36.4108219655294","37.0763397966061","41.683780742735","30.1007981295247","35.1474476479778","30.2807215632257","34.9443277104688","30.5722931636585","40.8003982323693","33.7257085716704","35.2764497219135"
"A3","WT_H","37.5848113163859","26.6509264813844","25.804893815784","23.1625913881246","20.6908716968636","21.6179919093924","16.1531917893309","29.6250738511028","25.782164966763","17.6190198434968","24.1250034650227","25.6240331082578"
"A4","HOM_H","34.6488918714014","25.9951625037551","28.144618747884","23.4729184368726","21.3201910380982","22.7791500680469","17.0643569020842","27.5647281239568","29.4906073188055","19.3215676167724","26.4249696710178","24.1326512365842"
"A5","WT","28.29433524646","28.7185681782162","33.064523477521","43.0192848493179","50.2766646942844","37.6009544608006","44.1140265444363","44.8692971916515","36.9005230690418","43.5054136159106","51.5456180350612","42.4520978186274"
"A6","HOM","37.7366633598823","31.6421364679184","34.6881754637547","43.574622054705","45.3612683434492","38.8844444171716","56.5239962754215","39.9559600980217","51.35913473536","43.5553667996789","32.3802749334524","32.749890634233"
"A7","WT_H","42.5965483911782","36.177931255298","38.544017663569","32.0180532306758","20.1417973910946","26.2218087762783","18.1076364534024","28.7117693048849","33.666641358194","24.1614237471754","28.2428807293279","36.6683383373204"
"A8","HOM_H","39.9950620356783","39.5908762167081","30.8564794028319","25.787168246919","20.0251055409954","27.5788193949584","20.0421794912859","22.5426922938426","22.3264374260354","25.2834633800472","33.2173265010698","28.7611364267699"
"B1","WT","38.3968386090396","43.7157940981986","47.5376560530906","61.3550584062737","50.2428056743934","55.8024924559527","34.5432679978476","39.5059438873684","41.707179749053","48.4096788357751","57.8108516935004","38.9515101728826"
"B2","HOM","43.3965262468389","41.8072881719045","29.9414726496072","36.0552329360976","35.5831099069754","41.2280509831975","37.4639265812447","32.7669447233135","38.7904872891288","32.9409112636847","32.8932030878838","28.657935586883"
"B3","WT_H","59.2980783071805","53.5253181055904","43.0467501705118","40.2464588921242","34.377277735445","32.8915637787399","25.7257109497667","38.4308937653827","35.970746130257","40.0886313410432","35.6538283264321","30.7538725602399"
"B4","HOM_H","32.0834805930494","32.6880057147686","32.6916526283709","32.4045462460326","25.8601839425764","30.0521041545829","25.1082251082251","26.3077981188702","30.8115458652827","23.3535981128973","25.5602941552705","2.18838897049179"
"B5","WT","14.0759486564594","28.8664326855489","30.1308152657515","36.7315009273703","39.2312537803095","38.1731507080498","40.4591655908634","34.0808258329235","42.9409078272826","30.318006634576","36.7483669970993","29.6313701117341"
"B6","HOM","25.5174756996472","35.5316727774646","37.6977208170359","33.116799286597","46.083464914687","43.6357914588235","38.3008354091503","48.4234437475907","34.279266211904","41.5507067137772","43.5593226798586","40.2239746315974"
"B7","WT_H","33.3294628007697","29.5107138577452","37.4852048055001","34.5253612846709","28.5078717998974","32.6616932126903","21.2773754922913","27.9293548990619","28.3714219596055","27.3902936026026","28.4387545155075","6.81031564161654"
"B8","HOM_H","47.5166858961963","57.8107551661975","54.4147735887184","43.239226527362","34.9777001219769","42.439014013946","23.7606070622734","31.2410101779485","32.4803773585251","32.0815924075778","2.31705612415364","35.5773411332488"
"C1","WT","47.7931399539755","52.0159531291627","51.1752563193058","53.4341466108183","68.4239641482722","51.8459940923379","56.1203304919104","42.8766334666596","57.1917890021628","42.830435576107","46.1086818954927","56.5476977581188"
"C2","HOM","45.2943715355719","52.4169092980255","37.8423645217498","76.8847603156445","53.02082213308","56.1277399061625","42.0041933527583","40.9521936577435","45.5655155604558","48.0578140154273","68.7590786119115","47.8448759858055"
"C3","WT_H","56.0895395717272","41.3688373189833","38.8331921907582","38.724639758867","29.5873567582987","38.2227409443876","28.3137447770583","40.1547479608712","31.9105835883763","39.4366076680143","37.438675006456","34.7455098283595"
"C4","HOM_H","30.7741148656071","34.1498908155264","34.7187947132521","36.1452538595536","23.3609793170057","29.3515383493714","24.7153588042671","34.1962224137372","17.2339587858642","23.0220048693418","27.5150351760452","22.5575682412338"
