"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","21.5245253164557","29.8644480519481","36.7013888888889","54.8252551020408","44.43","58.7152777777778","35.5094178082192","33.43875","27.9046391752577","24.1517857142857","27.1061320754717","19.21875"
"A2","HOM","49.6071428571429","36.4523026315789","50.3838443396226","35.9546875","39.4926108374384","24.9801724137931","20.5422354948805","32.6969827586207","25.7493702770781","43.7347440944882","33.5541943521595","62.9412006578947"
"A3","WT_H","19.40625","14.6209677419355","13.9444444444444","12.7019230769231","11.2384259259259","11.8075","8.99147727272727","22.8392857142857","18.1180555555556","9.7275","13.6328125","14.9618055555556"
"A4","HOM_H","19.125","13.9807692307692","14.5032894736842","12.5770833333333","11.6175","12.6666666666667","9.47355769230769","19.0868055555556","23.725","11.0625","19.625","27"
"A5","WT","13.6466836734694","16.2627118644068","14.3997641509434","24.8115671641791","26.5764925373134","29.843137254902","20.4461538461538","18.5253496503496","21.2853084415584","16.859623015873","20.707301980198","16.5991279069767"
"A6","HOM","36.2816558441558","23.1445610687023","40.2267045454545","23.0583881578947","28.4253941441441","72.6019230769231","26.090625","23.0138888888889","26.5105485232068","20.5605392156863","48.0269183168317","72.5369094488189"
"A7","WT_H","21.3080357142857","15.34375","19.3966346153846","17.140625","10.9852941176471","14.7430555555556","9.91346153846154","16.4097222222222","23.8125","13.3819444444444","15.81875","26.9772727272727"
"A8","HOM_H","19.7107558139535","19.3492647058824","16.3190789473684","13.9375","10.6986607142857","15.33125","11.1625","13.2272727272727","13.0555555555556","13.0359848484848","20.421875","27.1666666666667"
"B1","WT","17.8323275862069","25.6734601449275","28.9620098039216","54.5527597402597","41.6690051020408","42.07734375","30.068","23.2848053892216","26.9493715083799","29.055619266055","32.753591954023","15.7469387755102"
"B2","HOM","21.1174768518519","29.1704545454545","23.498427672956","28.3178571428571","26.0819444444444","28.3017857142857","18.8822623239437","24.3647342995169","22.6344221105528","18.5592105263158","28.1586334745763","24.3948675496689"
"B3","WT_H","24.6084558823529","21.1931818181818","19.6174242424242","22.3916666666667","18.8055555555556","18.1484375","13.8880208333333","22.5","20.9583333333333","26.3340517241379","20.921875","22.9375"
"B4","HOM_H","15.6086956521739","14.8639705882353","14.9708333333333","14.9114583333333","15.4666666666667","17.6979166666667","15.0666666666667","16.9724264705882","19.2875","20.4464285714286","19.1482843137255","0.641541038525963"
"B5","WT","7.16626213592233","14.7152777777778","17.7109375","17.5614919354839","16.5751953125","16.5645833333333","18.0011299435028","12.5375438596491","16.0401785714286","11.4555555555556","16.113475177305","15.6125"
"B6","HOM","10.8557692307692","18.3989361702128","20.875","17.8882352941176","23.5821428571429","18.875","19.9502551020408","18.7782258064516","19.2567307692308","21.4761904761905","22.7272727272727","26.4778225806452"
"B7","WT_H","18.5338541666667","15.2173913043478","15.23","14.8619791666667","10.8677884615385","18.6899038461538","10.703125","16.0875","15.4007352941176","20.4609375","18.9157608695652","3.38503228782288"
"B8","HOM_H","24.04375","20.0509259259259","19.8269230769231","18.0296052631579","17.3068181818182","23.7916666666667","13.4553571428571","17.0048076923077","19.1171875","27.4816176470588","2038.875","23.015625"
"C1","WT","47.7702127659574","51.0225108225108","23.8407185628743","61.58125","26.7112121212121","33.6720720720721","28.4388888888889","18.9161538461538","29.1861356932153","22.3212598425197","28.7464755077658","36.1093333333333"
"C2","HOM","34.736865942029","49.9703947368421","24.1953571428571","43.5929166666667","25.9751838235294","34.7106741573034","21.5011748120301","19.8584905660377","24.1221590909091","24.3569630872483","20.2816091954023","22.5718911917098"
"C3","WT_H","26.0290178571429","19.5625","19.5277777777778","18.53125","16.1830357142857","21.264880952381","15.7410714285714","23.3352272727273","24.9611650485437","26.4086538461538","28","31.2685810810811"
"C4","HOM_H","16.295","14.2447916666667","14.8258928571429","14.8970588235294","12.2265625","16.6052631578947","16.2242647058824","24.7132352941176","9.52059925093633","21.9440789473684","19.0639204545455","14.7137096774194"
"C5","WT","10.7907608695652","7.50372023809524","9.77306547619048","11.0726102941176","13.965625","15.4177631578947","17.6472303206997","16.3057065217391","14.7109375","16.8333333333333","19.2053571428571","16.2705167173252"
"C6","HOM","19.9659090909091","27.2015306122449","29.2091666666667","46.8968023255814","32.695","26.5595238095238","18.2367125984252","11.6660079051383","18.1745","14.109980620155","14.1790048543689","17.882225433526"
"C7","WT_H","20.8375","16.3491379310345","16.0859375","14.8995535714286","16.6428571428571","16.2986111111111","13.13671875","20.3958333333333","20.55","24.8786764705882","21.4821428571429","20.1680672268908"
"C8","HOM_H","16.56875","16.866847826087","14.97265625","16.3583333333333","15.0267857142857","18.2678571428571","17.2333333333333","17.90625","19.3125","25.265243902439","22.5416666666667","1860.25"
"D1","WT","33.6288265306122","51.3425925925926","34.897619047619","58.8612132352941","53.6038043478261","42.9086956521739","42.8106481481481","20.5448446327684","26.8581081081081","20.119140625","24.7020142180095","23.2848320158103"
"D2","HOM","31.2257653061224","36.9120879120879","29.0472328244275","39.904","27.9364098837209","36.7125307125307","25.1441062176166","17.8710526315789","19.7996471774194","24.05","26.2855113636364","38.2823153409091"
"D3","WT_H","24.3524305555556","20.5840517241379","17.9111842105263","19.16875","17.57421875","23.3671875","16.75","25.7067307692308","22.5729166666667","27.1625","26.5625","26.203125"
"D4","HOM_H","24.0227272727273","21.23125","20.546875","19.6944444444444","15.4","23.0190476190476","17.3125","20.175","11.0173216885007","26.1041666666667","24.8545454545455","26.36"
"D5","WT","8.285","13.2310606060606","14.2379032258065","17.04375","16.4713541666667","19.8639053254438","19.9189814814815","14.8736111111111","15.5833333333333","15.7022058823529","14.5497685185185","16.5198863636364"
"D6","HOM","14.5760869565217","14.7552795031056","16.6058937823834","19.018","18.5611607142857","15.3432291666667","20.7615445859873","10.8100263852243","15.6398678414097","13.982002617801","19.5347294938918","24.4270833333333"
"D7","WT_H","20.9243421052632","17.3880208333333","17.1916666666667","17.1484375","16.4642857142857","19.2329545454545","15.921875","21.5","18.5147058823529","23.6538461538462","21.9375","21.6875"
"D8","HOM_H","17.495","14.8363095238095","16.1640625","12.3690476190476","8.93055555555556","10.84375","8.625","11.2265625","10.75625","9.76666666666667","17.2142857142857","16.5065789473684"
"E1","WT","15.2965328467153","49.1809210526316","30.8541666666667","58","46.86125","55.6372282608696","35.9546130952381","27.4188596491228","25.5564159292035","26.685141509434","22.3348214285714","18.3778409090909"
"E2","HOM","24.769495412844","45.8767361111111","92.8819444444444","72.4493150684931","40.6135714285714","37.5300687285223","31.193115234375","26.8856707317073","31.2967032967033","36.7308558558559","25.8825757575758","24.9503326996198"
"E3","WT_H","23.3375","18.484375","19.5267857142857","19.0763888888889","19.2613636363636","21.5267857142857","18.1704545454545","23.8892857142857","28.9770408163265","17.1852973568282","22.4647435897436","26.6331967213115"
