"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","31.4415730337079","45.7393258426966","41.8494382022472","58.576404494382","63.6769230769231","60.7157303370787","49.8932584269663","38.3177777777778","64.2786516853933","55.8460674157303","41.6193181818182","39.5505617977528"
"A2","HOM","53.0730337078652","57.6438202247191","115.8","89.7258426966292","151.043956043956","138.45393258427","131.35393258427","93.2111111111111","196.34606741573","109.787640449438","187.276136363636","173.387640449438"
"A3","WT_H","18.4483146067416","11.3101123595506","12.0089887640449","8.00337078651685","6.73076923076923","8.70898876404494","6.83258426966292","8.96555555555556","7.62134831460674","7.6752808988764","6.68636363636364","9.81123595505618"
"A4","HOM_H","17.9056179775281","6.43932584269663","12.8370786516854","9.11123595505618","7.46483516483516","10.0775280898876","8.60674157303371","12.56","10.7202247191011","10.4067415730337","9.85340909090909","10.9213483146067"
"A5","WT","32.0022471910112","21.0977528089888","33.961797752809","53.7955056179775","68.1153846153846","74.3674157303371","67.4741573033708","68.2433333333333","82.5505617977528","59.0516853932584","87.4","97.461797752809"
"A6","HOM","54.776404494382","59.3258426966292","90.3876404494382","115.894382022472","128.521978021978","176.584269662921","122.14606741573","134.524444444444","136.374157303371","103.979775280899","190.213636363636","172.344943820225"
"A7","WT_H","32.3134831460674","16.861797752809","22.414606741573","10.7786516853933","6.68461538461538","13.1483146067416","6.25842696629214","12.5588888888889","11.985393258427","14.147191011236","12.6261363636364","16.2123595505618"
"A8","HOM_H","26.3449438202247","22.7303370786517","17.1741573033708","16.1101123595506","10.8758241758242","17.5112359550562","8.95393258426966","13.29","11.7831460674157","17.1247191011236","12.7954545454545","11.0123595505618"
"B1","WT","63.6101123595506","73.2460674157303","58.3640449438202","103.538202247191","81.8571428571429","72.5629213483146","94.2808988764045","82.1644444444444","114.73595505618","79.1011235955056","78.5568181818182","82.7089887640449"
"B2","HOM","49.9584269662921","56.8786516853933","74.4213483146067","62.5494382022472","68.2351648351648","86.9584269662921","111.511235955056","95.2855555555556","94.1280898876405","123.230337078652","139.488636363636","168.043820224719"
"B3","WT_H","36.1640449438202","24.2730337078652","20.7112359550562","11.5325842696629","13.7450549450549","21.0067415730337","18.4123595505618","14.8311111111111","15.2033707865169","22.7280898876405","15.2761363636364","17.6370786516854"
"B4","HOM_H","21.752808988764","18.485393258427","26.1438202247191","22.4033707865169","29.0395604395604","35.4629213483146","28.8325842696629","25.3688888888889","23.2157303370787","21.3033707865169","31.9011363636364","6.86516853932584"
"B5","WT","29.2730337078652","18.6494382022472","10.5539325842697","27.4258426966292","34.4945054945055","45.7089887640449","32.7325842696629","32.3822222222222","29.1","32.2280898876405","33.8840909090909","39.9943820224719"
"B6","HOM","31.4280898876404","20.9011235955056","20.161797752809","30.7348314606742","28.4758241758242","43","34.1606741573034","42.9644444444444","35.847191011236","37.3685393258427","37.3579545454545","73.0595505617977"
"B7","WT_H","24.8168539325843","15.3898876404494","15.7865168539326","14.3157303370787","9.13186813186813","14.2505617977528","8.1438202247191","9.3","15.5044943820225","15.3089887640449","15.1170454545455","33.0112359550562"
"B8","HOM_H","34.0719101123596","29.0191011235955","25.476404494382","26.6797752808989","25.4637362637363","34.2404494382022","20.5887640449438","28.0566666666667","23.823595505618","52.4393258426966","37.0704545454545","33.485393258427"
"C1","WT","38.7786516853933","69.2089887640449","75.0674157303371","101.94606741573","130.664835164835","66.0314606741573","92.4258426966292","95.5122222222222","130.64606741573","118.408988764045","168.759090909091","151.54606741573"
"C2","HOM","93.714606741573","57.0033707865169","81.9224719101124","141.630337078652","107.37032967033","122.421348314607","114.83595505618","93.03","109.931460674157","88.1011235955056","100.996590909091","102.942696629213"
"C3","WT_H","32.4910112359551","15.6865168539326","14.6494382022472","15.538202247191","8.47692307692308","18.5415730337079","12.7741573033708","17.9611111111111","54.5303370786517","21.5797752808989","20.2318181818182","37.6404494382022"
"C4","HOM_H","27.8078651685393","25.1685393258427","20.9921348314607","33.5056179775281","21.4978021978022","27.0966292134831","17.1337078651685","32.3677777777778","61.5404494382022","16.0977528089888","31.4534090909091","43.2786516853933"
"C5","WT","32.1561797752809","17.3067415730337","20.7707865168539","26.9719101123596","18.6648351648352","31.8561797752809","28.9011235955056","25.2544444444444","28.0629213483146","23.9876404494382","24.7602272727273","39.6359550561798"
"C6","HOM","37.5303370786517","30.6808988764045","59.3460674157303","74.3471910112359","54.3142857142857","77.7393258426966","62.3415730337079","62.7433333333333","52.638202247191","45.1438202247191","63.7897727272727","84.5280898876404"
"C7","WT_H","27.6516853932584","18.7","15.7101123595506","15.4","16.0758241758242","30.1865168539326","20.7168539325843","11.4944444444444","19.4786516853933","22.0202247191011","16.0681818181818","44.6685393258427"
"C8","HOM_H","26.3988764044944","35.8033707865169","34.4629213483146","36.1112359550562","36.5901098901099","48.1426966292135","30.1494382022472","25.2877777777778","25.138202247191","43.3359550561798","29.1215909090909","33.4426966292135"
"D1","WT","32.685393258427","55.147191011236","76.7797752808989","84.9","127.41978021978","108.151685393258","124.884269662921","81.35","149.467415730337","90.4393258426966","117.360227272727","118.062921348315"
"D2","HOM","61.5359550561798","77.4786516853933","85.5685393258427","119.156179775281","112.282417582418","86.5202247191011","127.612359550562","94.0444444444445","120.48202247191","95.3820224719101","102.851136363636","157.077528089888"
"D3","WT_H","36.8449438202247","25.3","22.5067415730337","16.8775280898876","17.0802197802198","20.185393258427","29.552808988764","25.2066666666667","34.5348314606742","27.1292134831461","30.7","36.0988764044944"
"D4","HOM_H","26.552808988764","15.2168539325843","13.6595505617978","21.8831460674157","22.2307692307692","24.7741573033708","21.3393258426966","18.7466666666667","85.1179775280899","9.18539325842697","7.00454545454545","10.0696629213483"
"D5","WT","17.0213483146067","13.4921348314607","13.8775280898876","19.2573033707865","19.9340659340659","33.5011235955056","34.1752808988764","32.5788888888889","35.5","36.2044943820225","39.7261363636364","33.5056179775281"
"D6","HOM","40.614606741573","43.9191011235955","68.2089887640449","66.6876404494382","67.1428571428571","80.9134831460674","93.114606741573","81.4422222222222","90.8865168539326","76.8213483146067","90.9875","118.957303370787"
"D7","WT_H","29.6662921348315","20.5662921348315","11.6662921348315","7.69325842696629","12.3065934065934","19.4786516853933","13.947191011236","10.8588888888889","16.0752808988764","16.4516853932584","14.6306818181818","15.9393258426966"
"D8","HOM_H","19.3752808988764","16.8606741573034","15.5415730337079","9.94269662921348","6.98681318681319","9.53932584269663","5.68988764044944","10.6633333333333","8.13483146067416","11.4337078651685","7.29204545454545","10.9696629213483"
"E1","WT","42.4303370786517","17.7168539325843","24.2460674157303","24.9179775280899","49.2802197802198","53.3067415730337","68.3674157303371","49.7733333333333","74.0719101123595","56.7078651685393","50.1659090909091","46.6730337078652"
"E2","HOM","55.7056179775281","70.0314606741573","131.686516853933","131.140449438202","145.954945054945","104.979775280899","172.358426966292","126.178888888889","133.788764044944","110.812359550562","144.780681818182","151.788764044944"
"E3","WT_H","29.0719101123596","30.0696629213483","36.7932584269663","26.1539325842697","34.6978021978022","47.7966292134831","59.1988764044944","50.9033333333333","71.7741573033708","118.767415730337","96.3556818181818","91.2932584269663"
"E4","HOM_H","36.9191011235955","34.6078651685393","38.5134831460674","42.3685393258427","42.2087912087912","41.5943820224719","33.1067415730337","23.9411111111111","30.0595505617978","60.1629213483146","29.4318181818182","26.3359550561798"
"E5","WT","21.7786516853933","15.0337078651685","10.5898876404494","5.38876404494382","19.8285714285714","24.3752808988764","24.4011235955056","30.0022222222222","23.7640449438202","33.152808988764","30.1034090909091","18.7988764044944"
"E6","HOM","46.6359550561798","48.323595505618","80.9640449438202","139.955056179775","80.7758241758242","97.0348314606742","99.5415730337079","76.0933333333333","76.4426966292135","59.9674157303371","58.8590909090909","56.7865168539326"
"E7","WT_H","36.2404494382022","23.2089887640449","22.6449438202247","21.9629213483146","24.0945054945055","42.6685393258427","36.8797752808989","34.7855555555556","39.8752808988764","38.0393258426966","37.3965909090909","50.3752808988764"
"E8","HOM_H","20.0191011235955","23.8337078651685","35.6078651685393","21.8438202247191","22.9901098901099","33.8550561797753","10.0775280898876","20.6888888888889","17.4213483146067","3.68539325842697","0","0"
"F1","WT","17.7797752808989","41.9516853932584","53.2932584269663","65.6438202247191","48.8175824175824","67.2224719101124","91.085393258427","82.9422222222222","70.8415730337079","74.2134831460674","106.334090909091","92.7977528089888"
