"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","16","16","16","16","16","16","16","16","16","16","16","16"
"A2","HOM","16","16","16","16","16","16","16","16","16","16","16","16"
"A3","WT_H","16","16","16","16","16","16","16","16","16","16","16","16"
"A4","HOM_H","16","16","16","16","16","16","16","16","16","16","16","16"
"A5","WT","16","16","16","16","16","16","16","16","16","16","16","16"
"A6","HOM","16","16","16","16","16","16","16","16","16","16","16","16"
"A7","WT_H","16","16","16","16","16","16","16","16","16","16","16","16"
"A8","HOM_H","16","16","16","16","16","16","16","16","16","16","16","16"
"B1","WT","16","16","16","16","16","16","16","16","16","16","16","16"
"B2","HOM","16","16","16","16","16","16","16","16","16","16","16","16"
"B3","WT_H","16","16","16","16","16","16","16","16","16","16","16","16"
"B4","HOM_H","16","16","16","16","15","16","15","16","16","16","16","12"
"B5","WT","16","16","16","16","16","16","15","15","16","15","15","15"
"B6","HOM","16","16","16","16","16","16","16","16","16","16","16","16"
"B7","WT_H","16","16","16","16","16","16","16","16","16","16","16","16"
"B8","HOM_H","16","16","16","16","16","16","16","16","16","16","16","16"
"C1","WT","15","15","15","15","15","15","15","15","15","15","15","15"
"C2","HOM","16","16","16","16","16","16","16","16","16","16","16","16"
"C3","WT_H","16","16","16","16","16","16","16","16","16","16","16","16"
"C4","HOM_H","16","16","16","16","16","16","16","16","15","16","16","16"
"C5","WT","16","16","16","16","16","16","14","16","16","14","14","14"
"C6","HOM","16","16","16","16","16","16","16","16","16","16","16","16"
"C7","WT_H","16","16","16","16","16","16","16","16","16","16","16","16"
"C8","HOM_H","16","16","16","16","16","16","15","16","16","16","16","16"
"D1","WT","16","16","16","16","16","16","16","16","16","16","16","16"
"D2","HOM","16","16","16","16","16","11","16","16","16","16","16","16"
"D3","WT_H","16","16","16","16","16","16","16","16","16","16","16","16"
"D4","HOM_H","16","16","16","16","16","15","16","16","15","15","15","15"
"D5","WT","16","16","16","15","16","13","16","16","16","16","16","16"
"D6","HOM","16","15","16","16","16","16","16","16","16","16","15","16"
"D7","WT_H","16","16","16","16","16","16","16","16","16","16","16","16"
"D8","HOM_H","16","16","16","16","16","16","16","16","16","16","14","16"
"E1","WT","16","16","16","16","16","16","16","16","16","16","16","16"
"E2","HOM","16","16","16","15","16","12","16","16","16","16","16","16"
"E3","WT_H","16","16","16","16","16","16","16","16","16","16","16","16"
"E4","HOM_H","16","16","16","16","15","16","15","16","16","16","16","16"
"E5","WT","14","14","16","14","15","16","16","16","16","16","16","16"
"E6","HOM","16","16","16","16","16","15","16","14","14","15","15","13"
"E7","WT_H","16","16","16","16","16","16","16","16","16","16","16","16"
"E8","HOM_H","16","16","16","16","16","16","16","16","16","6","0","0"
"F1","WT","16","16","16","16","16","16","16","16","16","16","16","16"
"F2","HOM","16","16","16","16","16","16","16","16","16","16","16","15"
"F3","WT_H","16","16","16","16","16","16","16","16","16","16","16","16"
"F4","HOM_H","16","16","16","16","16","16","15","16","16","16","16","16"
"F5","WT","13","13","14","15","15","13","15","14","13","7","5","0"
"F6","HOM","14","16","15","16","15","14","16","15","15","15","16","16"
"F7","WT_H","16","16","16","16","16","15","16","16","16","16","16","0"
"F8","HOM_H","12","12","13","13","13","12","13","15","0","0","0","0"
