"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","4.23940714908457","5.01979249800479","4.65019505851756","4.41094619666048","3.72727272727273","3.64186807653575","3.81872187218722","4.59183673469388","4.29661319073084","4.12906264719736","4.43807855891919","4.03181662675334"
"A2","HOM","3.75455820476858","3.85036446155962","3.96180118641021","4.05773913043478","2.56683989731388","2.94844606946984","2.6023153942428","3.60314393606745","2.28968202705446","2.51322574661473","2.67889012511069","1.94135995963241"
"A3","WT_H","4.47155883630048","3.22729434141702","2.92525570416994","2.54285714285714","1.91298701298701","2.53464755077658","1.78068410462777","1.4682264586944","1.62996158770807","1.97106288258208","1.64864864864865","1.71144278606965"
"A4","HOM_H","3.8932210899424","2.89491525423729","3.02329317269076","2.52116141732283","1.80659945004583","2.53006819590825","1.75911602209945","1.52285714285714","1.44539116963594","1.96846573681019","1.41214892227302","1.03868413036857"
"A5","WT","3.12386843693422","3.34670086267195","2.36913113869401","3.08136115390001","3.64626191670848","3.23354247584902","3.144363744901","2.81901732060799","3.11352090660414","3.05719835959422","2.91895309141484","2.89123097497294"
"A6","HOM","4.26950925181014","3.2967032967033","3.45522765598651","3.6628987517337","3.98050897322742","1.80197327741485","3.09082161757631","2.22591542844055","1.81134705725089","1.81453372325117","2.70919584882624","1.5730940419794"
"A7","WT_H","4.56532663316583","3.57072771872445","4.54198473282443","3.8894620486367","2.29235880398671","2.61699164345404","1.88","2.2391959798995","1.93156281920327","2.60178306092125","2.12477876106195","1.91240278346296"
"A8","HOM_H","4.65180467091295","4.59810554803789","3.71183800623053","2.87272727272727","2.3778364116095","3.16814159292035","1.85483870967742","2.35472972972973","2.09476309226933","3.02291475710357","1.93333333333333","1.4217961654894"
"B1","WT","3.86300682456845","4.2805524190046","3.81728582259287","3.96661884265901","3.62921958102681","4.39504396482814","1.47573442375982","2.15604220585308","3.34345643019112","3.86151427189163","4.06668519033065","2.723879334649"
"B2","HOM","4.10112660944206","3.85925158617118","2.58834057785733","2.96168038603463","2.14387176325524","3.69890922203191","2.6441920583125","1.96767363071711","1.94692985048165","2.97977910646072","3.16339491916859","2.91855342690298"
"B3","WT_H","4.82516703786192","4.92387706855792","4.31729459827508","2.74131274131274","2.56519367157665","2.85046728971963","2.541567695962","2.34589299171063","2.13447432762836","1.90226607060274","1.84045584045584","1.31125226860254"
"B4","HOM_H","3.39229765013055","3.10617283950617","2.89282700421941","2.54153846153846","1.74691358024691","2.3752276867031","1.27794561933535","1.9076689115794","1.58955223880597","1.09501187648456","1.33562000694686","0.114257678791475"
"B5","WT","1.25528913963329","2.02523598535928","2.64546304957905","2.45417109458023","1.65142457389977","2.54019117966544","2.30555555555556","1.90275893260968","2.61575850601177","1.98951612903226","2.5096105209914","2.52807751596565"
"B6","HOM","2.20615011126846","2.3904958677686","3.1208281829419","3.28119827871566","3.30565371024735","3.21512327119663","1.59050966608084","2.93519055910234","3.17982873453853","3.23954802259887","3.27151828592538","3.71807628524046"
"B7","WT_H","3.40313606474456","3.46128822381262","3.51507692307692","3.37547892720307","2.64396284829721","2.1210139002453","2.02310654685494","1.67963085036256","2.46125686394143","1.29211020663745","1.39376218323587","0.647745400404126"
"B8","HOM_H","5.17744218971213","4.69954128440367","4.68436754176611","3.87461300309598","3.28878048780488","2.71241830065359","1.76827586206897","3.3494713411241","1.98670212765957","2.10680786686838","1.82038834951456","1.81328320802005"
