"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","80","82","66","74","82","96","74","45","103","81","51","97"
"A2","HOM","110","92","143","126","451","389","399","162","795","354","676","584"
"A3","WT_H","34","31","19","28","34","25","22","52","24","27","16","36"
"A4","HOM_H","33","13","20","30","33","24","27","53","20","25","24","52"
"A5","WT","98","62","154","103","147","141","146","192","167","138","337","283"
"A6","HOM","116","146","155","243","226","345","238","286","266","272","712","618"
"A7","WT_H","30","20","26","20","18","11","15","15","15","10","17","37"
"A8","HOM_H","42","33","19","17","28","10","7","14","13","33","11","16"
"B1","WT","153","161","135","156","130","99","110","223","169","100","119","237"
"B2","HOM","112","96","173","141","149","164","359","231","255","358","268","318"
"B3","WT_H","44","35","35","27","29","19","24","23","8","98","13","21"
"B4","HOM_H","25","21","27","16","11","15","6","80","19","78","201","885"
"B5","WT","92","97","33","134","243","173","96","136","63","84","64","70"
"B6","HOM","80","75","54","85","140","115","186","99","74","45","53","77"
"B7","WT_H","37","26","31","27","27","58","24","32","32","132","112","543"
"B8","HOM_H","31","31","35","26","45","27","12","26","18","52","4","16"
"C1","WT","101","153","195","255","282","120","215","298","249","341","872","403"
"C2","HOM","197","86","220","330","304","225","321","230","214","163","316","220"
"C3","WT_H","65","24","34","26","29","35","43","72","398","82","26","212"
"C4","HOM_H","32","28","18","28","29","29","39","59","518","137","218","228"
"C5","WT","50","100","106","165","64","58","81","52","41","28","17","51"
"C6","HOM","110","73","168","239","255","292","188","281","177","170","222","338"
"C7","WT_H","45","35","32","32","57","47","18","20","25","86","26","445"
"C8","HOM_H","20","27","16","18","14","13","9","18","11","143","25","15"
"D1","WT","63","103","123","72","113","114","138","186","252","253","262","252"
"D2","HOM","122","135","161","128","175","162","224","207","318","173","395","288"
"D3","WT_H","55","37","38","22","21","15","27","29","18","35","4","18"
"D4","HOM_H","31","20","10","21","23","17","18","15","609","82","41","84"
"D5","WT","65","61","47","47","87","83","106","57","48","35","65","68"
"D6","HOM","155","176","243","433","498","469","584","586","551","417","270","278"
"D7","WT_H","32","28","16","13","19","46","24","26","32","72","37","9"
"D8","HOM_H","25","21","24","21","9","7","15","21","14","18","8","64"
"E1","WT","140","52","48","59","76","87","141","145","147","100","125","125"
"E2","HOM","123","89","292","338","331","221","306","453","377","165","420","349"
"E3","WT_H","77","31","22","22","33","21","269","132","242","384","369","282"
"E4","HOM_H","63","45","22","34","23","40","39","35","147","283","52","79"
"E5","WT","58","65","42","16","122","90","103","79","81","67","36","63"
"E6","HOM","127","94","138","525","146","177","514","60","244","65","147","204"
"E7","WT_H","58","21","13","19","19","35","90","125","179","200","181","188"
"E8","HOM_H","33","17","32","20","8","11","46","48","24","1009","0","0"
"F1","WT","52","100","148","95","86","117","178","247","197","341","486","274"
"F2","HOM","137","131","211","126","263","121","113","189","599","129","214","966"
"F3","WT_H","43","24","28","39","32","34","32","22","33","20","13","13"
"F4","HOM_H","29","14","12","18","18","22","17","17","20","30","12","20"
"F5","WT","47","95","72","68","83","73","77","106","94","1389","2486","0"
"F6","HOM","76","50","143","59","98","52","38","35","41","31","54","44"
"F7","WT_H","103","18","30","23","23","71","63","82","77","52","128","0"
"F8","HOM_H","30","32","36","25","36","266","123","129","0","0","0","0"
