"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","300.160493827161","383.524390243902","379.272727272727","370.519480519481","281.709677419355","286.445544554455","279.118421052632","354.255319148936","351.029126213592","313.071428571429","341.134615384615","253.440860215054"
"A2","HOM","267.7","279.96","288.098039215686","286.868852459016","177.084233261339","199.60396039604","173.723237597911","244.220238095238","152.985203452528","175.049095607235","168.303851640514","172.036585365854"
"A3","WT_H","302.882352941176","218.935483870968","195.684210526316","171.642857142857","129.970588235294","169.72","120.681818181818","133.763157894737","106.083333333333","131.185185185185","155.272727272727","125.090909090909"
"A4","HOM_H","266.272727272727","197.076923076923","188.2","170.766666666667","119.454545454545","170.041666666667","117.925925925926","123.953488372093","133.285714285714","129.84","113.789473684211","131.153846153846"
"A5","WT","213.453608247423","239.233333333333","144.407894736842","220.04","262.66265060241","230.269503546099","216.465753424658","169.68085106383","196.728395061728","206.773722627737","151.881578947368","171.973484848485"
"A6","HOM","286.864864864865","214.285714285714","222.711956521739","221","242.686098654709","241.542342342342","224.980544747082","245.264984227129","257.054200542005","231.304733727811","143.79086892489","172.10182767624"
"A7","WT_H","302.833333333333","218.35","297.5","263.9","162.352941176471","208.777777777778","144.615384615385","159.142857142857","145.461538461538","159.181818181818","160.066666666667","179.692307692308"
"A8","HOM_H","305.720930232558","299.823529411765","250.842105263158","195.176470588235","160.928571428571","214.8","115","149.357142857143","129.230769230769","199.878787878788","159.5","108.384615384615"
"B1","WT","249.941558441558","308.0125","269.045801526718","316.572519083969","257.2","295.602150537634","240.59649122807","210.696498054475","241.432748538012","306.990384615385","295.676767676768","182.984848484848"
"B2","HOM","273.017857142857","310.46875","202.46","222","208.975961538462","264.722580645161","181.909620991254","248.910714285714","228.777777777778","197.156593406593","197.086330935252","183.202572347267"
"B3","WT_H","342.078947368421","315.575757575758","279.735294117647","331.333333333333","261.222222222222","228.75","178.333333333333","259.416666666667","291","228.518518518519","323","240.833333333333"
"B4","HOM_H","207.88","198.631578947368","171.4","177","141.5","186.285714285714","211.5","133.045454545455","186.375","118.205128205128","115.646616541353","6.54509803921569"
"B5","WT","80.1","119.465909090909","176.75","153.958333333333","109.565400843882","153.848684210526","154.271739130435","125.582089552239","164.91935483871","126.512820512821","162.672131147541","173.939393939394"
"B6","HOM","138.037974683544","172.686567164179","210.395833333333","230.523255813953","246.184210526316","203.685714285714","127.824858757062","172.409090909091","202.545454545455","195.477272727273","184.5","239.146666666667"
"B7","WT_H","217.032258064516","231.304347826087","219.692307692308","211.44","164.230769230769","180.976744186047","143.272727272727","196","224.111111111111","139.898305084746","155.434782608696","44.8674033149171"
"B8","HOM_H","353.903225806452","292.714285714286","270.724137931034","227.545454545455","177.421052631579","166","160.25","231.5","224.1","151.369565217391","375","206.714285714286"
"C1","WT","297.80198019802","329.959731543624","266.194736842105","276.95785440613","269.981884057971","296.322834645669","268.213114754098","198.030508474576","302.230452674897","180.854489164087","195.775229357798","243.505263157895"
"C2","HOM","283.923444976077","442.935483870968","313.932291666667","370.164948453608","220.455056179775","417.142857142857","268.415902140673","194.574898785425","223.254237288136","226.490797546012","172.752161383285","231.233009708738"
"C3","WT_H","289.725","269.75","233.96","263.333333333333","229.533333333333","311.190476190476","205.916666666667","311.615384615385","160.395256916996","250.46511627907","204.923076923077","181.60396039604"
"C4","HOM_H","234.88","195.4","190.666666666667","180.714285714286","151.72","178.636363636364","127.655172413793","171.243243243243","96.678391959799","150","136.339805825243","109.1328125"
"C5","WT","126.041666666667","89.639175257732","128.058139534884","132.011111111111","186.06976744186","218.654545454545","210.326530612245","218.375","197.325","199.481481481481","178","188.382978723404"
"C6","HOM","217.640776699029","239.847222222222","312.060975609756","211.070422535211","182.672811059908","238.78801843318","163.821862348178","151","207.78","174.558620689655","181.292237442922","190.480701754386"
"C7","WT_H","266","244.931034482759","229.04","210.655172413793","104.555555555556","190.116279069767","163.117647058824","240.75","202.875","198.529411764706","202.25","124.117263843648"
"C8","HOM_H","243.5","227.875","202.0625","201.352941176471","209.928571428571","220.125","143.666666666667","204.333333333333","180.4","122.22480620155","237.111111111111","174.8"
"D1","WT","374.428571428571","362.533980582524","338.443548387097","419.75","359.473684210526","410.561403508772","549.98773006135","222.004716981132","262.619047619048","221.45306122449","257.238636363636","221.45045045045"
"D2","HOM","251.619402985075","233.405714285714","259.390476190476","320.005","242.055335968379","219.203821656051","245.79203539823","216.504761904762","211.06162464986","272.975903614458","173.444162436548","247.286259541985"
"D3","WT_H","308.714285714286","280.75","267.578947368421","277.1","252.25","341.125","219.518518518519","306.647058823529","326.666666666667","212.75","207.5","236.571428571429"
"D4","HOM_H","333.217391304348","256.142857142857","259.222222222222","263.684210526316","199.142857142857","261.666666666667","223.6","250.833333333333","117.172597864769","178.571428571429","177.086956521739","148.85"
"D5","WT","102.368421052632","139.755555555556","165.75","194.457142857143","153.75","170.563636363636","207.888888888889","182.94","189.761904761905","195.542857142857","183.48275862069","188.882352941176"
"D6","HOM","147.575949367089","146.685","182.886274509804","150.994444444444","145.563492063492","177.161290322581","167.244239631336","124.4609375","143.450765864333","122.251082251082","154.690410958904","162.448051948052"
"D7","WT_H","260.136363636364","223.423076923077","241.8","239.5","197.6875","198.516129032258","199.478260869565","168.166666666667","218.095238095238","168.6","196.9375","227.666666666667"
"D8","HOM_H","264.48","223.761904761905","251.458333333333","188.714285714286","132.222222222222","134.285714285714","132.066666666667","126.047619047619","133.583333333333","130.411764705882","119.25","85.9137931034483"
"E1","WT","229.73381294964","232","386.078947368421","253.639344262295","372.763157894737","355.817073170732","265.450381679389","207.008","286.523076923077","276.493150684931","249.51724137931","213.027027027027"
"E2","HOM","291.901639344262","415.247191011236","476.940298507463","413.63671875","457.9203187251","337.269709543568","323.91847826087","290.873949579832","309.381818181818","383.239130434783","259.892857142857","290.478260869565"
"E3","WT_H","210.028571428571","226.238095238095","218.666666666667","251.2","200.611111111111","182.166666666667","112.365079365079","222.706896551724","161.429530201342","161.792507204611","145.854237288136","162.393258426966"
"E4","HOM_H","257.041666666667","215.12","289.615384615385","197.434782608696","198","229.9","134.086956521739","229.384615384615","143.651376146789","159.405405405405","214.130434782609","189.911764705882"
"E5","WT","89.55","136.935483870968","169.225","187.266666666667","114.45045045045","179.718309859155","214.071428571429","171.743243243243","158.2","154.870967741935","196.8125","135.509803921569"
