"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","21826","28263","22853","25386","22559","24568","19241","15112","33512","23982","15835","22246"
"A2","HOM","25813","24057","38051","30827","69701","72393","58051","36959","109161","57159","105516","90218"
"A3","WT_H","9652","6645","3681","4735","4343","4213","2638","5018","2497","3518","1683","4046"
"A4","HOM_H","8066","2474","3613","5059","3815","4032","3166","5085","1770","3198","2051","3235"
"A5","WT","19174","13429","20130","19502","23705","29445","28575","29523","29596","25775","45072","42959"
"A6","HOM","29214","30466","34441","47776","49478","58583","46954","52320","48729","45413","92039","76555"
"A7","WT_H","8609","4133","7474","5138","2729","1844","1856","2139","1842","1685","2329","4487"
"A8","HOM_H","12323","9682","4615","3186","4355","2082","788","2062","1653","6533","1240","1363"
"B1","WT","35209","45178","32348","39464","29819","25079","20670","37721","36151","28468","27815","41620"
"B2","HOM","27652","25169","32340","26191","27433","36571","52866","41907","41135","63755","48374","53487"
"B3","WT_H","12300","9865","9119","4746","4501","3565","4209","3051","850","12069","1234","1424"
"B4","HOM_H","4938","3583","3435","2374","787","1380","396","8492","1413","4529","14816","4844"
"B5","WT","6454","9703","5161","17489","23273","22265","13003","14766","9370","9151","9271","10661"
"B6","HOM","9845","10176","9531","18201","14036","19767","17438","14230","12507","7891","8398","16571"
"B7","WT_H","6686","5264","5700","5185","4140","7426","2982","2498","3933","8242","7115","24086"
"B8","HOM_H","10327","7874","8000","4849","4564","3239","1207","5658","2138","6589","365","1424"
"C1","WT","26941","44468","44400","62096","67611","33975","47761","52180","68874","53713","113513","64586"
"C2","HOM","49792","21909","48603","64343","55327","53401","54415","40472","44567","33173","48722","41326"
"C3","WT_H","11263","5169","5893","5402","3358","6075","4751","7918","39337","10487","2571","17910"
"C4","HOM_H","5527","4702","2740","3668","3641","3706","3419","5844","35767","6559","13612","14031"
"C5","WT","3622","8016","10881","13802","8128","11024","10463","9794","7247","5043","2816","8195"
"C6","HOM","20806","15497","30482","30722","30421","37783","25668","33441","25447","22061","36169","47487"
"C7","WT_H","8603","6941","5755","6023","4120","7954","2644","1874","3009","6682","2294","37144"
"C8","HOM_H","4596","5370","2984","3267","2826","1638","797","2344","880","15330","2058","951"
"D1","WT","21204","31796","37492","26554","36497","41464","38395","38963","62861","47230","62367","59451"
"D2","HOM","28600","29843","31750","37199","39266","28322","44260","35943","52564","38936","51414","59142"
"D3","WT_H","12384","8614","9733","5344","3877","2602","5732","4910","1865","4109","393","1624"
"D4","HOM_H","6983","3588","2175","4658","3914","2282","2122","1446","56123","6167","4032","5908"
"D5","WT","5564","6123","5732","6416","7066","9624","9998","8602","7406","6269","10221","9551"
"D6","HOM","21095","24021","31317","42803","48822","57945","66234","54256","58522","40325","36105","40974"
"D7","WT_H","5446","5465","3455","1832","3100","5801","4319","1967","4292","4981","3055","659"
"D8","HOM_H","6216","4457","5710","3832","1175","926","1959","2592","1569","2195","468","4877"
"E1","WT","29352","10831","13762","12881","25428","26519","32284","25255","35220","20841","22494","22719"
"E2","HOM","31750","32915","89929","97619","96587","54899","78908","96783","74620","41443","80939","73875"
"E3","WT_H","6999","4313","1763","2478","3486","2176","26729","12169","22731","51384","38743","26369"
"E4","HOM_H","6080","6233","3639","4842","3013","8356","2952","2863","14990","33019","4714","6335"
"E5","WT","3850","7721","6266","2450","11697","12830","10919","12055","10902","8768","6029","6884"
"E6","HOM","28358","30982","40358","95884","38249","35948","67301","19561","29595","20346","24772","28401"
"E7","WT_H","5385","3576","1508","2066","2388","4086","7149","12962","18372","17842","16399","23106"
"E8","HOM_H","3079","1506","2802","2021","822","1037","2828","5190","1660","3094","0","0"
"F1","WT","10788","22699","30061","29792","19650","28079","38495","46275","33219","45175","62487","46680"
"F2","HOM","36862","36867","45283","38242","55644","29593","25550","43981","80673","36411","47558","109485"
"F3","WT_H","10059","6976","6771","8633","6429","8284","6512","3021","4722","4192","1595","1140"
"F4","HOM_H","8710","3159","2911","3302","3581","3699","2269","2211","2229","4818","1262","2004"
"F5","WT","4278","11264","9987","9044","13928","10167","11693","12986","8658","7844","3762","0"
"F6","HOM","7521","6307","17748","14549","19066","11055","8619","8042","8883","5247","11659","8826"
"F7","WT_H","8535","3741","4484","4384","3523","8371","6826","11769","9587","6479","13135","0"
"F8","HOM_H","2257","4141","5260","3901","3212","11980","8633","11216","0","0","0","0"
